entry_i,exit_i,side,lots,entry_price,exit_price,gross_pnl,cost,net_pnl
280,283,long,1,4792.0,4772.0,-20.0,29.564,-49.564
458,461,short,1,4633.0,4589.0,44.0,29.222,14.777999999999999
531,535,short,1,4202.0,4161.0,41.0,28.363,12.637
698,719,short,1,3994.0,3975.0,19.0,27.969,-8.969000000000001
786,799,long,1,4138.0,4175.0,37.0,28.313000000000002,8.686999999999998
838,847,long,1,4280.0,4318.0,38.0,28.598000000000003,9.401999999999997
1065,1069,short,1,4263.0,4276.0,-13.0,28.539,-41.539
1188,1190,long,1,4558.0,4543.0,-15.0,29.101,-44.101
1196,1199,long,1,4582.0,4557.0,-25.0,29.139000000000003,-54.139
1365,1370,long,1,4781.0,4773.0,-8.0,29.554000000000002,-37.554
1503,1504,long,1,4876.0,4897.0,21.0,29.773000000000003,-8.773000000000003
1506,1507,long,1,4905.0,4923.0,18.0,29.828000000000003,-11.828000000000003
1569,1573,long,1,4992.0,4990.0,-2.0,29.982,-31.982
1586,1594,long,1,5187.0,5197.0,10.0,30.384,-20.384
1706,1717,short,1,4713.0,4700.0,13.0,29.413,-16.413
1812,1827,long,1,4877.0,4904.0,27.0,29.781,-2.780999999999999
1935,1945,short,1,4823.0,4824.0,-1.0,29.647,-30.647
2030,2035,long,1,4884.0,4876.0,-8.0,29.76,-37.760000000000005
2186,2201,long,1,4812.0,4807.0,-5.0,29.619,-34.619
2206,2209,long,1,4858.0,4847.0,-11.0,29.705000000000002,-40.705
2295,2299,long,1,4977.0,4982.0,5.0,29.959,-24.959
2324,2329,short,1,4779.0,4675.0,104.0,29.454,74.54599999999999
2491,2497,short,1,4739.0,4651.0,88.0,29.39,58.61
2500,2510,short,1,4619.0,4638.0,-19.0,29.256999999999998,-48.257
2546,2554,short,1,4307.0,4333.0,-26.0,28.64,-54.64
2598,2605,short,1,4087.0,3896.0,191.0,27.983,163.017
2886,2899,long,1,4231.0,4227.0,-4.0,28.458,-32.458
2972,3001,long,1,4283.0,4319.0,36.0,28.602,7.398
3116,3146,long,1,4280.0,4258.0,-22.0,28.538,-50.538
3339,3355,short,1,4282.0,4275.0,7.0,28.557000000000002,-21.557000000000002
3372,3403,short,1,4238.0,4202.0,36.0,28.439999999999998,7.560000000000002
3414,3421,short,1,4147.0,4127.0,20.0,28.274,-8.274000000000001
3430,3437,short,1,4062.0,4085.0,-23.0,28.147000000000002,-51.147000000000006
3600,3611,short,1,4073.0,4075.0,-2.0,28.148,-30.148
3658,3659,short,1,3996.0,4008.0,-12.0,28.003999999999998,-40.004
3660,3691,short,1,3929.0,3852.0,77.0,27.781,49.219
3704,3709,short,1,3786.0,3698.0,88.0,27.484,60.516
3824,3843,short,1,3630.0,3578.0,52.0,27.208,24.792
3844,3845,short,1,3564.0,3568.0,-4.0,27.131999999999998,-31.131999999999998
3846,3849,short,1,3554.0,3525.0,29.0,27.079,1.9209999999999994
3850,3872,short,1,3520.0,3404.0,116.0,26.924,89.076
4194,4214,short,1,3541.0,3571.0,-30.0,27.112000000000002,-57.112
4264,4271,long,1,3625.0,3600.0,-25.0,27.225,-52.225
4277,4289,long,1,3657.0,3672.0,15.0,27.329,-12.329
4304,4307,long,1,3746.0,3754.0,8.0,27.5,-19.5
4308,4327,long,1,3791.0,3814.0,23.0,27.605,-4.605
4347,4357,long,1,3878.0,3896.0,18.0,27.774,-9.774000000000001
4372,4387,long,1,3989.0,4012.0,23.0,28.001,-5.001000000000001
4458,4462,long,1,4056.0,4018.0,-38.0,28.074,-66.074
4483,4508,long,1,4108.0,4183.0,75.0,28.291,46.709
4560,4579,short,1,4027.0,3992.0,35.0,28.019000000000002,6.980999999999998
4592,4603,short,1,3916.0,3941.0,-25.0,27.857,-52.857
4927,4938,short,1,3495.0,3463.0,32.0,26.958000000000002,5.041999999999998
4939,4941,short,1,3422.0,3442.0,-20.0,26.864,-46.864000000000004
5069,5070,long,1,3614.0,3613.0,-1.0,27.227,-28.227
5071,5084,long,1,3629.0,3617.0,-12.0,27.246000000000002,-39.246
5223,5231,long,1,3741.0,3728.0,-13.0,27.469,-40.469
5233,5247,long,1,3768.0,3825.0,57.0,27.593,29.407
5379,5405,short,1,3667.0,3650.0,17.0,27.317,-10.317
5427,5439,short,1,3585.0,3544.0,41.0,27.129,13.870999999999999
5520,5534,short,1,3485.0,3499.0,-14.0,26.984,-40.984
5548,5566,long,1,3679.0,3649.0,-30.0,27.328000000000003,-57.328
5608,5610,short,1,3614.0,3612.0,2.0,27.226,-25.226
5683,5692,long,1,3710.0,3703.0,-7.0,27.413,-34.413
5761,5774,short,1,3616.0,3634.0,-18.0,27.25,-45.25
5797,5823,short,1,3566.0,3478.0,88.0,27.044,60.956
5824,5843,short,1,3467.0,3485.0,-18.0,26.951999999999998,-44.952
6177,6186,long,1,3407.0,3404.0,-3.0,26.811,-29.811
6305,6310,short,1,3162.0,3180.0,-18.0,26.342,-44.342
6330,6336,short,1,3133.0,3085.0,48.0,26.218,21.782
6573,6590,long,1,3150.0,3128.0,-22.0,26.278,-48.278
6601,6632,short,1,3047.0,3046.0,1.0,26.093,-25.093
6715,6718,short,1,3018.0,3030.0,-12.0,26.048000000000002,-38.048
6739,6758,short,1,2989.0,2976.0,13.0,25.965,-12.965
6772,6792,short,1,2939.0,2915.0,24.0,25.854,-1.8539999999999992
6795,6798,short,1,2879.0,2862.0,17.0,25.741,-8.741
6813,6818,short,1,2802.0,2760.0,42.0,25.561999999999998,16.438000000000002
6863,6867,short,1,2714.0,2635.0,79.0,25.349,53.650999999999996
6887,6891,short,1,2560.0,2595.0,-35.0,25.155,-60.155
6929,6944,long,1,2655.0,2636.0,-19.0,25.291,-44.291
7084,7104,short,1,2460.0,2455.0,5.0,24.915,-19.915
7919,7920,short,1,2377.0,2376.0,1.0,24.753,-23.753
7946,7959,short,1,2318.0,2327.0,-9.0,24.645,-33.644999999999996
8087,8094,long,1,2384.0,2384.0,0.0,24.768,-24.768
8102,8106,long,1,2409.0,2411.0,2.0,24.82,-22.82
8228,8235,short,1,2366.0,2359.0,7.0,24.725,-17.725
8578,8585,short,1,2125.0,2135.0,-10.0,24.259999999999998,-34.26
9009,9014,short,1,1946.0,1938.0,8.0,23.884,-15.884
9216,9221,short,1,1886.0,1887.0,-1.0,23.773,-24.773
9258,9274,short,1,1867.0,1836.0,31.0,23.703000000000003,7.296999999999997
9609,9613,short,1,1732.0,1736.0,-4.0,23.468,-27.468
9617,9619,short,1,1714.0,1701.0,13.0,23.415,-10.415
9639,9646,short,1,1677.0,1660.0,17.0,23.337,-6.337
9696,9701,short,1,1622.0,1628.0,-6.0,23.25,-29.25
10066,10067,long,1,1799.0,1797.0,-2.0,23.596,-25.596
10284,10285,long,1,1915.0,1933.0,18.0,23.848,-5.847999999999999
10673,10674,long,1,2351.0,2352.0,1.0,24.703,-23.703
10724,10729,long,1,2462.0,2503.0,41.0,24.965,16.035
10733,10740,long,1,2590.0,2615.0,25.0,25.205,-0.2049999999999983
