entry_i,exit_i,side,lots,entry_price,exit_price,gross_pnl,cost,net_pnl
85,161,short,1,4302.0,4157.0,145.0,28.459,116.541
247,339,long,1,4627.0,4769.0,142.0,29.396,112.604
385,406,long,1,4881.0,4830.0,-51.0,29.711,-80.711
451,478,short,1,4686.0,4670.0,16.0,29.356,-13.356000000000002
529,563,short,1,4250.0,4318.0,-68.0,28.568,-96.568
621,643,short,1,4017.0,4117.0,-100.0,28.134,-128.13400000000001
693,775,short,1,4039.0,4058.0,-19.0,28.097,-47.097
781,821,long,1,4093.0,4157.0,64.0,28.25,35.75
835,893,long,1,4249.0,4301.0,52.0,28.55,23.45
1063,1088,short,1,4277.0,4286.0,-9.0,28.563000000000002,-37.563
1219,1239,long,1,4804.0,4588.0,-216.0,29.392000000000003,-245.392
1342,1417,long,1,4759.0,4761.0,2.0,29.52,-27.52
1502,1555,long,1,4873.0,4913.0,40.0,29.786,10.213999999999999
1567,1609,long,1,4986.0,5125.0,139.0,30.111,108.889
1648,1727,short,1,4896.0,4768.0,128.0,29.664,98.336
1807,1849,long,1,4848.0,4845.0,-3.0,29.692999999999998,-32.693
2029,2083,long,1,4879.0,4814.0,-65.0,29.693,-94.693
2107,2133,short,1,4756.0,4736.0,20.0,29.492,-9.492
2173,2266,long,1,4789.0,4889.0,100.0,29.678,70.322
2293,2317,long,1,4971.0,4839.0,-132.0,29.810000000000002,-161.81
2481,2675,short,1,4763.0,4120.0,643.0,28.883000000000003,614.117
2689,2695,long,1,4178.0,4069.0,-109.0,28.247,-137.247
2855,2909,long,1,4189.0,4203.0,14.0,28.392,-14.392
2968,3001,long,1,4242.0,4319.0,77.0,28.561,48.439
3071,3093,short,1,4187.0,4208.0,-21.0,28.395000000000003,-49.395
3115,3146,long,1,4276.0,4258.0,-18.0,28.534,-46.534
3275,3307,long,1,4387.0,4355.0,-32.0,28.742,-60.742000000000004
3328,3451,short,1,4311.0,4097.0,214.0,28.408,185.59199999999998
3457,3477,short,1,4024.0,4085.0,-61.0,28.109,-89.10900000000001
3601,3734,short,1,4061.0,3744.0,317.0,27.805,289.195
3825,3915,short,1,3615.0,3375.0,240.0,26.990000000000002,213.01
3965,3971,long,1,3636.0,3528.0,-108.0,27.164,-135.164
4009,4039,long,1,3664.0,3605.0,-59.0,27.269,-86.269
4189,4249,short,1,3567.0,3485.0,82.0,27.052,54.948
4262,4408,long,1,3620.0,3936.0,316.0,27.556,288.444
4457,4515,long,1,4053.0,4106.0,53.0,28.159,24.841
4593,4670,short,1,3898.0,3885.0,13.0,27.783,-14.783000000000001
4712,4732,short,1,3752.0,3826.0,-74.0,27.578000000000003,-101.578
4928,4994,short,1,3482.0,3460.0,22.0,26.942,-4.942
5068,5174,long,1,3589.0,3650.0,61.0,27.239,33.760999999999996
5219,5284,long,1,3717.0,3765.0,48.0,27.482,20.518
5378,5466,short,1,3674.0,3614.0,60.0,27.288,32.712
5519,5540,short,1,3504.0,3640.0,-136.0,27.144,-163.144
5546,5600,long,1,3658.0,3643.0,-15.0,27.301000000000002,-42.301
5672,5744,long,1,3691.0,3661.0,-30.0,27.352,-57.352000000000004
5760,5858,short,1,3627.0,3489.0,138.0,27.116,110.884
5882,5902,short,1,3415.0,3477.0,-62.0,26.892,-88.892
6056,6146,short,1,3224.0,3312.0,-88.0,26.536,-114.536
