signal_type,window_id,split,model,model_kind,auc,accuracy,precision,recall,f1,macro_f1,weighted_f1,mfe_mae_mae,mae_mae,mfe_rmse,mae_rmse,mfe_r2,mae_r2
atr_breakout,0,train,trade_filter,hist_gradient_boosting,1.0,1.0,1.0,1.0,1.0,,,,,,,,
atr_breakout,0,train,regime_classifier,random_forest,,0.9876543209876543,,,,0.6625180375180375,0.9815198947143392,,,,,,
atr_breakout,0,train,mfe_mae,random_forest,,,,,,,,1.9620940976157195,0.8369760093106648,6.234981147769581,1.3904252175337528,0.37070426307439475,0.557930848146651
atr_breakout,0,valid,trade_filter,hist_gradient_boosting,0.675,0.7058823529411765,0.7692307692307693,0.8333333333333334,0.8,,,,,,,,
atr_breakout,0,valid,regime_classifier,random_forest,,0.9705882352941176,,,,0.6559139784946236,0.9563567362428842,,,,,,
atr_breakout,0,valid,mfe_mae,random_forest,,,,,,,,2.43190919563591,1.1620740008071082,3.2995925128259156,1.452683901137773,-3.0776867087437916,-0.03570557878982705
atr_breakout,0,test,trade_filter,hist_gradient_boosting,0.4967948717948718,0.4574468085106383,0.43283582089552236,0.6904761904761905,0.5321100917431193,,,,,,,,
atr_breakout,0,test,regime_classifier,random_forest,,0.9574468085106383,,,,0.6520634920634921,0.9366362715298886,,,,,,
atr_breakout,0,test,mfe_mae,random_forest,,,,,,,,2.166172424403825,1.8164200202139273,3.046373508661943,2.6096610424076285,-0.40896606120606505,-0.17241689528551696
breakout_pullback_continuation,0,train,trade_filter,hist_gradient_boosting,1.0,1.0,1.0,1.0,1.0,,,,,,,,
breakout_pullback_continuation,0,train,regime_classifier,random_forest,,0.995085995085995,,,,0.6648351648351648,0.9926424926424927,,,,,,
breakout_pullback_continuation,0,train,mfe_mae,random_forest,,,,,,,,0.960601654879272,0.37525120619807695,1.431556683462835,0.6740951906602792,0.6520281450403287,0.5168429395621092
breakout_pullback_continuation,0,valid,trade_filter,hist_gradient_boosting,0.9440993788819876,0.8923076923076924,0.8076923076923077,0.9130434782608695,0.8571428571428571,,,,,,,,
breakout_pullback_continuation,0,valid,regime_classifier,random_forest,,1.0,,,,1.0,1.0,,,,,,
breakout_pullback_continuation,0,valid,mfe_mae,random_forest,,,,,,,,1.2146699984173381,0.6549080719232798,1.5883186237690798,0.7910808881862442,0.019562767627054556,-0.3649317389100766
breakout_pullback_continuation,0,test,trade_filter,hist_gradient_boosting,0.826086956521739,0.7777777777777778,0.7241379310344828,0.9130434782608695,0.8076923076923077,,,,,,,,
breakout_pullback_continuation,0,test,regime_classifier,random_forest,,1.0,,,,1.0,1.0,,,,,,
breakout_pullback_continuation,0,test,mfe_mae,random_forest,,,,,,,,1.3968474376524886,0.6808101693321664,1.6858107456366545,0.8819046991880821,0.006035519563460712,-0.1952074590657027
donchian_breakout,0,train,trade_filter,hist_gradient_boosting,1.0,1.0,1.0,1.0,1.0,,,,,,,,
donchian_breakout,0,train,regime_classifier,random_forest,,0.9891041162227603,,,,0.6629515019046035,0.9836903121468111,,,,,,
donchian_breakout,0,train,mfe_mae,random_forest,,,,,,,,1.190098872197758,0.7413593418606063,4.612879039093139,1.3520369475441874,0.33530816240540606,0.5179089151312475
donchian_breakout,0,valid,trade_filter,hist_gradient_boosting,0.8362804878048781,0.7459016393442623,0.576271186440678,0.85,0.6868686868686869,,,,,,,,
donchian_breakout,0,valid,regime_classifier,random_forest,,0.9918032786885246,,,,0.6638655462184874,0.9877393580382973,,,,,,
donchian_breakout,0,valid,mfe_mae,random_forest,,,,,,,,1.9681644851410554,0.8658440851378549,2.3978543311176654,1.1120709404922955,-0.5845211001082529,-0.02223054180103934
donchian_breakout,0,test,trade_filter,hist_gradient_boosting,0.8456876456876457,0.738255033557047,0.5,0.7435897435897436,0.5979381443298969,,,,,,,,
donchian_breakout,0,test,regime_classifier,random_forest,,1.0,,,,1.0,1.0,,,,,,
donchian_breakout,0,test,mfe_mae,random_forest,,,,,,,,1.8591998999496084,1.5756906942526887,2.579909105163117,2.034842490880642,-0.10341645985938985,-0.16548040722177326
tight_range_breakout,0,train,trade_filter,hist_gradient_boosting,0.9977064761096175,0.98,0.9947089947089947,0.8468468468468469,0.9148418491484185,,,,,,,,
tight_range_breakout,0,train,regime_classifier,random_forest,,0.9994285714285714,,,,0.9994162896104376,0.9994284126645981,,,,,,
tight_range_breakout,0,train,mfe_mae,random_forest,,,,,,,,0.9778946810769573,0.5876230819384437,1.7840848631137534,0.823040739206501,0.5495621881404362,0.6627671432805031
tight_range_breakout,0,valid,trade_filter,hist_gradient_boosting,0.8267183835468158,0.8606271777003485,0.5882352941176471,0.43478260869565216,0.5,,,,,,,,
tight_range_breakout,0,valid,regime_classifier,random_forest,,0.9790940766550522,,,,0.9798227933148568,0.979199203232719,,,,,,
tight_range_breakout,0,valid,mfe_mae,random_forest,,,,,,,,1.4328577328842613,1.1177100903126598,1.674695463146524,1.494979095200576,-0.2686853503237323,-0.151523831278638
tight_range_breakout,0,test,trade_filter,hist_gradient_boosting,0.8814814814814815,0.8461538461538461,0.6363636363636364,0.7777777777777778,0.7,,,,,,,,
tight_range_breakout,0,test,regime_classifier,random_forest,,1.0,,,,1.0,1.0,,,,,,
tight_range_breakout,0,test,mfe_mae,random_forest,,,,,,,,1.7875144940540169,2.10555432232249,2.253334819347213,3.0686923310753724,0.21831154909305084,-0.4080918732201515
