signal_type,window_id,model,model_kind,rank,feature,importance
atr_breakout,0,trade_filter,hist_gradient_boosting,1,feature_tr_range_atr,0.008780984626395205
atr_breakout,0,trade_filter,hist_gradient_boosting,2,generic_setup_quality_score,0.00545026631983155
atr_breakout,0,trade_filter,hist_gradient_boosting,3,generic_macd_dea,0.004651994990159225
atr_breakout,0,trade_filter,hist_gradient_boosting,4,feature_turnover,0.004211569428960689
atr_breakout,0,trade_filter,hist_gradient_boosting,5,generic_compression_score,0.0026287900684036267
atr_breakout,0,trade_filter,hist_gradient_boosting,6,feature_volume,0.0023535240926544723
atr_breakout,0,trade_filter,hist_gradient_boosting,7,generic_breakout_quality_score,0.0022984708975047155
atr_breakout,0,trade_filter,hist_gradient_boosting,8,generic_stoch_k,0.0022847075987172762
atr_breakout,0,trade_filter,hist_gradient_boosting,9,generic_macd_dif,0.0013625665799578874
atr_breakout,0,trade_filter,hist_gradient_boosting,10,feature_don_atr20,0.0003853723660487048
atr_breakout,0,regime_classifier,random_forest,1,feature_trend_score,0.18103022120623832
atr_breakout,0,regime_classifier,random_forest,2,generic_rsi_14,0.17734021536639014
atr_breakout,0,regime_classifier,random_forest,3,generic_mfi_14,0.12266596274410273
atr_breakout,0,regime_classifier,random_forest,4,generic_stoch_k,0.11612256087049246
atr_breakout,0,regime_classifier,random_forest,5,generic_stoch_d,0.11394279676235167
atr_breakout,0,regime_classifier,random_forest,6,generic_macd_dif,0.08677430242541448
atr_breakout,0,regime_classifier,random_forest,7,generic_trend_score,0.0743342342251617
atr_breakout,0,regime_classifier,random_forest,8,feature_trend_dir,0.051700101865631426
atr_breakout,0,regime_classifier,random_forest,9,generic_macd_dea,0.03847840284572192
atr_breakout,0,regime_classifier,random_forest,10,generic_setup_quality_score,0.012519389870174863
atr_breakout,0,mfe_mae,random_forest,1,feature_turnover,0.14681567801262504
atr_breakout,0,mfe_mae,random_forest,2,generic_setup_quality_score,0.06651155858119967
atr_breakout,0,mfe_mae,random_forest,3,generic_rsi_14,0.058031451166609294
atr_breakout,0,mfe_mae,random_forest,4,generic_breakout_quality_score,0.056007636667121205
atr_breakout,0,mfe_mae,random_forest,5,generic_macd_dea,0.0505077154777175
atr_breakout,0,mfe_mae,random_forest,6,feature_tr_range_atr,0.049984248302733736
atr_breakout,0,mfe_mae,random_forest,7,generic_atr_14,0.04117432666630657
atr_breakout,0,mfe_mae,random_forest,8,generic_macd_dif,0.03694703237295002
atr_breakout,0,mfe_mae,random_forest,9,generic_mfi_14,0.035996801959988986
