signal_type,window_id,split,model,model_kind,train_executed_count,train_non_executed_count,auc,accuracy,precision,recall,f1,macro_f1,weighted_f1,mfe_mae_mae,mae_mae,mfe_rmse,mae_rmse,mfe_r2,mae_r2
atr_breakout,0,train,trade_filter,hist_gradient_boosting,91,0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
atr_breakout,0,train,regime_classifier,random_forest,91,0,,0.9560439560439561,,,,0.6521242866201649,0.9346526650267931,,,,,,
atr_breakout,0,train,mfe_mae,random_forest,91,0,,,,,,,,1.5271469811426663,0.9922962583618585,2.1269350182242865,1.3913255957795176,0.6463135196003323,0.5921762791790999
atr_breakout,0,valid,trade_filter,hist_gradient_boosting,91,0,0.4444444444444445,0.4444444444444444,0.6,0.5,0.5454545454545454,,,,,,,,
atr_breakout,0,valid,regime_classifier,random_forest,91,0,,1.0,,,,1.0,1.0,,,,,,
atr_breakout,0,valid,mfe_mae,random_forest,91,0,,,,,,,,3.0680186377089433,1.4284008207625754,3.4254327913519815,1.5666310249123638,-0.6399863665795658,-0.5321018136626605
atr_breakout,0,test,trade_filter,hist_gradient_boosting,91,0,0.6875,0.625,0.5714285714285714,1.0,0.7272727272727273,,,,,,,,
atr_breakout,0,test,regime_classifier,random_forest,91,0,,0.875,,,,0.6296296296296297,0.8194444444444444,,,,,,
atr_breakout,0,test,mfe_mae,random_forest,91,0,,,,,,,,1.779523620802286,1.0830843999775746,2.0480213640278473,1.3288668694188566,0.048086294052859135,-0.23719623068991225
breakout_pullback_continuation,0,train,trade_filter,hist_gradient_boosting,34,22,0.9653846153846154,0.8571428571428571,0.875,0.8076923076923077,0.84,,,,,,,,
breakout_pullback_continuation,0,train,regime_classifier,random_forest,34,22,,1.0,,,,1.0,1.0,,,,,,
breakout_pullback_continuation,0,train,mfe_mae,random_forest,34,22,,,,,,,,1.4962965825560524,0.44481831909176917,1.9726622076084281,0.5626883700884665,0.7895132058983687,0.7208790508105387
breakout_pullback_continuation,0,valid,trade_filter,hist_gradient_boosting,34,22,1.0,0.9,0.75,1.0,0.8571428571428571,,,,,,,,
breakout_pullback_continuation,0,valid,regime_classifier,random_forest,34,22,,1.0,,,,1.0,1.0,,,,,,
breakout_pullback_continuation,0,valid,mfe_mae,random_forest,34,22,,,,,,,,2.28769367656598,0.7283316229240018,2.9639167799379584,0.7529671964392276,-1.5059151742100991,-0.22114244767141011
breakout_pullback_continuation,0,test,trade_filter,hist_gradient_boosting,34,22,0.0,0.0,0.0,0.0,0.0,,,,,,,,
breakout_pullback_continuation,0,test,regime_classifier,random_forest,34,22,,1.0,,,,1.0,1.0,,,,,,
breakout_pullback_continuation,0,test,mfe_mae,random_forest,34,22,,,,,,,,2.4009935430621336,0.6730184913303324,2.4463684580881204,0.7147607868541053,-16.341552984956984,-0.48738659537591045
donchian_breakout,0,train,trade_filter,hist_gradient_boosting,105,57,1.0,1.0,1.0,1.0,1.0,,,,,,,,
donchian_breakout,0,train,regime_classifier,random_forest,105,57,,1.0,,,,1.0,1.0,,,,,,
donchian_breakout,0,train,mfe_mae,random_forest,105,57,,,,,,,,1.2046238505778528,0.774658489122514,1.6402862116488193,1.0949330004977502,0.8011378200762201,0.7634849251027913
donchian_breakout,0,valid,trade_filter,hist_gradient_boosting,105,57,0.7285714285714285,0.6470588235294118,0.6666666666666666,0.2857142857142857,0.4,,,,,,,,
donchian_breakout,0,valid,regime_classifier,random_forest,105,57,,1.0,,,,1.0,1.0,,,,,,
donchian_breakout,0,valid,mfe_mae,random_forest,105,57,,,,,,,,1.825090093113977,1.1193822026823006,2.3584762890791255,1.2706087785117341,-1.0767714567447557,-0.21743590566061655
donchian_breakout,0,test,trade_filter,hist_gradient_boosting,105,57,0.875,0.7777777777777778,0.3333333333333333,1.0,0.5,,,,,,,,
donchian_breakout,0,test,regime_classifier,random_forest,105,57,,0.8888888888888888,,,,0.6363636363636364,0.8383838383838383,,,,,,
donchian_breakout,0,test,mfe_mae,random_forest,105,57,,,,,,,,3.594258099380113,1.4366544462483333,4.013178371072282,1.6956633229283105,-37.522426656713876,-1.9868718632270346
tight_range_breakout,0,train,trade_filter,hist_gradient_boosting,6,11,0.5,0.7647058823529411,0.0,0.0,0.0,,,,,,,,
tight_range_breakout,0,train,regime_classifier,random_forest,6,11,,0.8823529411764706,,,,0.6111111111111112,0.8333333333333334,,,,,,
tight_range_breakout,0,train,mfe_mae,dummy,6,11,,,,,,,,1.8213244451066506,2.1377688340008336,2.109062978369693,2.314649249159547,0.0,0.0
tight_range_breakout,0,valid,trade_filter,hist_gradient_boosting,6,11,0.5,0.6666666666666666,0.0,0.0,0.0,,,,,,,,
tight_range_breakout,0,valid,regime_classifier,random_forest,6,11,,0.3333333333333333,,,,0.25,0.16666666666666666,,,,,,
tight_range_breakout,0,valid,mfe_mae,dummy,6,11,,,,,,,,1.1986018990624208,0.7200483167477937,1.6486068381628323,0.7278541438201375,-1.1212780866256775,-0.021798918768915376
tight_range_breakout,0,test,trade_filter,hist_gradient_boosting,6,11,,1.0,0.0,0.0,0.0,,,,,,,,
tight_range_breakout,0,test,regime_classifier,random_forest,6,11,,1.0,,,,1.0,1.0,,,,,,
tight_range_breakout,0,test,mfe_mae,dummy,6,11,,,,,,,,3.5117536410331387,1.6149992376333322,3.5117536410331387,1.6149992376333322,,
