signal_type,window_id,model,model_kind,rank,feature,importance,feature_meaning
atr_breakout,0,trade_filter,hist_gradient_boosting,1,generic_compression_score,0.07272376543209873,"压缩体制分 [0, 1]"
atr_breakout,0,trade_filter,hist_gradient_boosting,2,generic_setup_quality_score,0.017746913580246937,"形态质量分 [0, 1]"
atr_breakout,0,trade_filter,hist_gradient_boosting,3,generic_breakout_quality_score,0.017361111111111088,"突破质量分 [0, 1]"
atr_breakout,0,trade_filter,hist_gradient_boosting,4,feature_don_atr20,0.011574074074074034,Donchian 宽度/ATR20
atr_breakout,0,trade_filter,hist_gradient_boosting,5,feature_tr_range_atr,0.00752314814814814,tight range / ATR 比值
atr_breakout,0,trade_filter,hist_gradient_boosting,6,generic_rsi_14,0.007330246913580307,未在 FEATURES.md 登记（自定义/衍生特征）
atr_breakout,0,trade_filter,hist_gradient_boosting,7,generic_mfi_14,0.0069444444444444935,资金流量指数
atr_breakout,0,trade_filter,hist_gradient_boosting,8,generic_regime_conf,0.004629629629629613,首位 - 次位得分差
atr_breakout,0,trade_filter,hist_gradient_boosting,9,feature_volume,0.0030864197530864703,信号时点成交量
atr_breakout,0,trade_filter,hist_gradient_boosting,10,generic_stoch_k,0.0011574074074074032,KDJ-K 值
atr_breakout,0,regime_classifier,random_forest,1,feature_trend_score,0.16538065431738883,趋势强弱分数
atr_breakout,0,regime_classifier,random_forest,2,generic_stoch_k,0.16388267122078018,KDJ-K 值
atr_breakout,0,regime_classifier,random_forest,3,generic_rsi_14,0.12873357645727931,未在 FEATURES.md 登记（自定义/衍生特征）
atr_breakout,0,regime_classifier,random_forest,4,generic_stoch_d,0.10786300834756937,KDJ-D 值
atr_breakout,0,regime_classifier,random_forest,5,generic_trend_score,0.08116819070586782,"综合趋势得分 [-1, 1]"
atr_breakout,0,regime_classifier,random_forest,6,generic_setup_quality_score,0.07046843818101815,"形态质量分 [0, 1]"
atr_breakout,0,regime_classifier,random_forest,7,generic_mfi_14,0.07032164833749145,资金流量指数
atr_breakout,0,regime_classifier,random_forest,8,generic_macd_dif,0.06019650859179353,MACD 快慢线差
atr_breakout,0,regime_classifier,random_forest,9,feature_trend_dir,0.042694340918062124,趋势方向编码
atr_breakout,0,regime_classifier,random_forest,10,generic_macd_dea,0.02482307761771202,MACD 信号线
atr_breakout,0,mfe_mae,random_forest,1,generic_context_score,0.11112453770500297,"大环境配合分 [0, 1]"
atr_breakout,0,mfe_mae,random_forest,2,generic_trend_score,0.07184131497579557,"综合趋势得分 [-1, 1]"
atr_breakout,0,mfe_mae,random_forest,3,generic_mfi_14,0.06772326684127777,资金流量指数
atr_breakout,0,mfe_mae,random_forest,4,generic_breakout_mode_score,0.06379120496648473,"突破模式整体分 [0, 1]"
atr_breakout,0,mfe_mae,random_forest,5,feature_don_atr20,0.06229768243931563,Donchian 宽度/ATR20
atr_breakout,0,mfe_mae,random_forest,6,generic_stoch_k,0.045368927492846475,KDJ-K 值
atr_breakout,0,mfe_mae,random_forest,7,generic_setup_quality_score,0.04391070174148033,"形态质量分 [0, 1]"
atr_breakout,0,mfe_mae,random_forest,8,generic_bb_width,0.04273100636048219,布林带宽度
atr_breakout,0,mfe_mae,random_forest,9,generic_compression_score,0.035811494221938536,"压缩体制分 [0, 1]"
atr_breakout,0,mfe_mae,random_forest,10,feature_volume,0.0351968004854884,信号时点成交量
breakout_pullback_continuation,0,trade_filter,hist_gradient_boosting,1,generic_breakout_mode_score,0.08418803418803418,"突破模式整体分 [0, 1]"
breakout_pullback_continuation,0,trade_filter,hist_gradient_boosting,2,feature_tr_range_atr,0.08226495726495724,tight range / ATR 比值
breakout_pullback_continuation,0,trade_filter,hist_gradient_boosting,3,generic_bb_width,0.07606837606837609,布林带宽度
breakout_pullback_continuation,0,trade_filter,hist_gradient_boosting,4,generic_rsi_14,0.03504273504273503,未在 FEATURES.md 登记（自定义/衍生特征）
breakout_pullback_continuation,0,trade_filter,hist_gradient_boosting,5,feature_open_interest,0.033760683760683786,信号时点持仓量
breakout_pullback_continuation,0,trade_filter,hist_gradient_boosting,6,generic_breakout_quality_score,0.027350427350427364,"突破质量分 [0, 1]"
breakout_pullback_continuation,0,trade_filter,hist_gradient_boosting,7,generic_setup_quality_score,0.02564102564102566,"形态质量分 [0, 1]"
breakout_pullback_continuation,0,trade_filter,hist_gradient_boosting,8,feature_atr14,0.024572649572649596,14周期 ATR 波动率
breakout_pullback_continuation,0,trade_filter,hist_gradient_boosting,9,generic_context_score,0.02264957264957268,"大环境配合分 [0, 1]"
breakout_pullback_continuation,0,trade_filter,hist_gradient_boosting,10,generic_ema_20,0.002564102564102555,未在 FEATURES.md 登记（自定义/衍生特征）
breakout_pullback_continuation,0,regime_classifier,random_forest,1,generic_stoch_k,0.12202591126824762,KDJ-K 值
breakout_pullback_continuation,0,regime_classifier,random_forest,2,generic_trend_score,0.11925350539750701,"综合趋势得分 [-1, 1]"
breakout_pullback_continuation,0,regime_classifier,random_forest,3,generic_macd_dea,0.11343812424190583,MACD 信号线
breakout_pullback_continuation,0,regime_classifier,random_forest,4,generic_macd_dif,0.11108067737734503,MACD 快慢线差
breakout_pullback_continuation,0,regime_classifier,random_forest,5,generic_rsi_14,0.1075222854791418,未在 FEATURES.md 登记（自定义/衍生特征）
breakout_pullback_continuation,0,regime_classifier,random_forest,6,feature_trend_score,0.10453997347719064,趋势强弱分数
breakout_pullback_continuation,0,regime_classifier,random_forest,7,generic_stoch_d,0.09304241304196456,KDJ-D 值
breakout_pullback_continuation,0,regime_classifier,random_forest,8,feature_trend_dir,0.07554215656811492,趋势方向编码
breakout_pullback_continuation,0,regime_classifier,random_forest,9,generic_mfi_14,0.06445551802826989,资金流量指数
breakout_pullback_continuation,0,regime_classifier,random_forest,10,feature_volume,0.01648919969648389,信号时点成交量
breakout_pullback_continuation,0,mfe_mae,random_forest,1,generic_breakout_quality_score,0.10615111114657474,"突破质量分 [0, 1]"
breakout_pullback_continuation,0,mfe_mae,random_forest,2,generic_regime_conf,0.09581063827842128,首位 - 次位得分差
breakout_pullback_continuation,0,mfe_mae,random_forest,3,generic_atr_14,0.0825813477196971,未在 FEATURES.md 登记（自定义/衍生特征）
breakout_pullback_continuation,0,mfe_mae,random_forest,4,feature_atr_value,0.07766675624638522,未在 FEATURES.md 登记（自定义/衍生特征）
breakout_pullback_continuation,0,mfe_mae,random_forest,5,feature_atr14,0.07374289521864552,14周期 ATR 波动率
breakout_pullback_continuation,0,mfe_mae,random_forest,6,feature_volume,0.06647887116031152,信号时点成交量
breakout_pullback_continuation,0,mfe_mae,random_forest,7,feature_don_atr20,0.0659698845031395,Donchian 宽度/ATR20
breakout_pullback_continuation,0,mfe_mae,random_forest,8,generic_mfi_14,0.062134445615537034,资金流量指数
breakout_pullback_continuation,0,mfe_mae,random_forest,9,generic_stoch_d,0.056867831135166934,KDJ-D 值
breakout_pullback_continuation,0,mfe_mae,random_forest,10,generic_context_score,0.05371907006004416,"大环境配合分 [0, 1]"
donchian_breakout,0,trade_filter,hist_gradient_boosting,1,feature_volume,0.05588157546920436,信号时点成交量
donchian_breakout,0,trade_filter,hist_gradient_boosting,2,generic_breakout_quality_score,0.013904308749669525,"突破质量分 [0, 1]"
