rank,feature,importance,feature_meaning,model_kind
1,generic_context_score,0.11112453770500297,"大环境配合分 [0, 1]",random_forest
2,generic_trend_score,0.07184131497579557,"综合趋势得分 [-1, 1]",random_forest
3,generic_mfi_14,0.06772326684127777,资金流量指数,random_forest
4,generic_breakout_mode_score,0.06379120496648473,"突破模式整体分 [0, 1]",random_forest
5,feature_don_atr20,0.06229768243931563,Donchian 宽度/ATR20,random_forest
6,generic_stoch_k,0.045368927492846475,KDJ-K 值,random_forest
7,generic_setup_quality_score,0.04391070174148033,"形态质量分 [0, 1]",random_forest
8,generic_bb_width,0.04273100636048219,布林带宽度,random_forest
9,generic_compression_score,0.035811494221938536,"压缩体制分 [0, 1]",random_forest
10,feature_volume,0.0351968004854884,信号时点成交量,random_forest
11,feature_open_interest,0.031015136641446464,信号时点持仓量,random_forest
12,generic_macd_dif,0.030558675759917418,MACD 快慢线差,random_forest
13,generic_regime_conf,0.02943654070688453,首位 - 次位得分差,random_forest
14,feature_don_upper_entry,0.028048252940889827,Donchian 上轨入场价,random_forest
15,generic_breakout_quality_score,0.025836582851642052,"突破质量分 [0, 1]",random_forest
16,feature_tr_range_atr,0.024612199972069856,tight range / ATR 比值,random_forest
17,feature_don_lower_entry,0.023917727674315097,Donchian 下轨入场价,random_forest
18,generic_macd_dea,0.021757894155972565,MACD 信号线,random_forest
19,feature_atr_upper,0.019419349587196835,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
20,generic_rsi_14,0.019298367753474637,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
21,feature_trend_score,0.018795417818300617,趋势强弱分数,random_forest
22,generic_stoch_d,0.016838417591707722,KDJ-D 值,random_forest
23,feature_high,0.014199859535738955,信号时点最高价,random_forest
24,feature_don_upper_exit,0.013602824538942668,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
25,feature_atr_value,0.012328593934011282,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
26,feature_atr14,0.011520762238195195,14周期 ATR 波动率,random_forest
27,feature_open,0.010815624520862186,信号时点开盘价,random_forest
28,feature_close,0.010190286419569185,信号时点收盘价,random_forest
29,feature_atr_lower,0.009576219767041351,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
30,generic_sma_20,0.008589883330804486,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
31,feature_low,0.008441859325250035,信号时点最低价,random_forest
32,generic_atr_14,0.007743738864316425,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
33,feature_don_lower_exit,0.007119669395234495,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
34,feature_atr_ma,0.00604883490461184,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
35,generic_ema_20,0.005106774949759895,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
36,feature_bp_confirmed,0.002802552797285609,突破回踩确认标记,random_forest
37,feature_bp_breakout_level,0.0018103641997369961,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
38,feature_trend_dir,0.000770650594709097,趋势方向编码,random_forest
39,feature_bp_bars_since_breakout,0.0,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
40,feature_turnover,0.0,信号时点成交额,random_forest
