rank,feature,importance,feature_meaning,model_kind
1,feature_trend_score,0.16538065431738883,趋势强弱分数,random_forest
2,generic_stoch_k,0.16388267122078018,KDJ-K 值,random_forest
3,generic_rsi_14,0.12873357645727931,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
4,generic_stoch_d,0.10786300834756937,KDJ-D 值,random_forest
5,generic_trend_score,0.08116819070586782,"综合趋势得分 [-1, 1]",random_forest
6,generic_setup_quality_score,0.07046843818101815,"形态质量分 [0, 1]",random_forest
7,generic_mfi_14,0.07032164833749145,资金流量指数,random_forest
8,generic_macd_dif,0.06019650859179353,MACD 快慢线差,random_forest
9,feature_trend_dir,0.042694340918062124,趋势方向编码,random_forest
10,generic_macd_dea,0.02482307761771202,MACD 信号线,random_forest
11,generic_breakout_quality_score,0.024420652534524155,"突破质量分 [0, 1]",random_forest
12,feature_volume,0.0089540766802143,信号时点成交量,random_forest
13,feature_atr_value,0.007191717137172501,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
14,feature_don_atr20,0.006008162397263193,Donchian 宽度/ATR20,random_forest
15,generic_bb_width,0.005460392504085617,布林带宽度,random_forest
16,feature_atr14,0.004749691568218138,14周期 ATR 波动率,random_forest
17,generic_context_score,0.003752709655931419,"大环境配合分 [0, 1]",random_forest
18,generic_atr_14,0.0037512428937179847,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
19,feature_don_lower_entry,0.003038446441851465,Donchian 下轨入场价,random_forest
20,feature_atr_lower,0.00216175798462792,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
21,generic_compression_score,0.0020884862777026175,"压缩体制分 [0, 1]",random_forest
22,generic_sma_20,0.0016697509500676578,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
23,feature_don_upper_exit,0.0016236790556616737,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
24,feature_atr_upper,0.0013824519465557789,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
25,feature_tr_range_atr,0.0011765889434979231,tight range / ATR 比值,random_forest
26,feature_open,0.0009480871006528652,信号时点开盘价,random_forest
27,feature_close,0.0009165025002801442,信号时点收盘价,random_forest
28,generic_regime_conf,0.0008878210526320683,首位 - 次位得分差,random_forest
29,feature_atr_ma,0.000771723975711063,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
30,feature_don_lower_exit,0.0007515638636333809,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
31,feature_don_upper_entry,0.0005616984509906165,Donchian 上轨入场价,random_forest
32,generic_breakout_mode_score,0.0004963756988497907,"突破模式整体分 [0, 1]",random_forest
33,feature_low,0.00049396182459667,信号时点最低价,random_forest
34,feature_open_interest,0.000448772965413644,信号时点持仓量,random_forest
35,feature_high,0.0004068588533305482,信号时点最高价,random_forest
36,generic_ema_20,0.0003547120478542496,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
37,feature_bp_bars_since_breakout,0.0,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
38,feature_bp_breakout_level,0.0,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
39,feature_bp_confirmed,0.0,突破回踩确认标记,random_forest
40,feature_turnover,0.0,信号时点成交额,random_forest
