rank,feature,importance,feature_meaning,model_kind
1,generic_breakout_quality_score,0.10615111114657474,"突破质量分 [0, 1]",random_forest
2,generic_regime_conf,0.09581063827842128,首位 - 次位得分差,random_forest
3,generic_atr_14,0.0825813477196971,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
4,feature_atr_value,0.07766675624638522,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
5,feature_atr14,0.07374289521864552,14周期 ATR 波动率,random_forest
6,feature_volume,0.06647887116031152,信号时点成交量,random_forest
7,feature_don_atr20,0.0659698845031395,Donchian 宽度/ATR20,random_forest
8,generic_mfi_14,0.062134445615537034,资金流量指数,random_forest
9,generic_stoch_d,0.056867831135166934,KDJ-D 值,random_forest
10,generic_context_score,0.05371907006004416,"大环境配合分 [0, 1]",random_forest
11,generic_trend_score,0.03760646234779081,"综合趋势得分 [-1, 1]",random_forest
12,feature_tr_range_atr,0.03675705944401525,tight range / ATR 比值,random_forest
13,generic_setup_quality_score,0.025720570686576637,"形态质量分 [0, 1]",random_forest
14,generic_stoch_k,0.02546426454263482,KDJ-K 值,random_forest
15,generic_bb_width,0.021790340976020672,布林带宽度,random_forest
16,feature_bp_bars_since_breakout,0.01452495230833892,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
17,feature_open_interest,0.0135833511989366,信号时点持仓量,random_forest
18,feature_don_lower_entry,0.011177774082381204,Donchian 下轨入场价,random_forest
19,generic_breakout_mode_score,0.010923558723964949,"突破模式整体分 [0, 1]",random_forest
20,generic_rsi_14,0.008111763312275222,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
21,feature_don_upper_entry,0.00787370998098352,Donchian 上轨入场价,random_forest
22,generic_macd_dea,0.0064520960377269995,MACD 信号线,random_forest
23,generic_compression_score,0.005887958087650667,"压缩体制分 [0, 1]",random_forest
24,generic_macd_dif,0.0054726401582708565,MACD 快慢线差,random_forest
25,feature_trend_score,0.004382824763587112,趋势强弱分数,random_forest
26,feature_high,0.003984493376062256,信号时点最高价,random_forest
27,feature_open,0.003910255816612697,信号时点开盘价,random_forest
28,feature_atr_lower,0.003831084915331733,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
29,feature_atr_upper,0.002494300013240585,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
30,feature_don_lower_exit,0.0022238659454226826,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
31,feature_close,0.0019730595070155876,信号时点收盘价,random_forest
32,feature_don_upper_exit,0.0016137393710072816,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
33,feature_low,0.001129390316092244,信号时点最低价,random_forest
34,feature_atr_ma,0.0009509511026378869,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
35,feature_bp_breakout_level,0.0008040997907088158,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
36,generic_ema_20,0.0001565659868078306,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
37,generic_sma_20,7.601612398314299e-05,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
38,feature_bp_confirmed,0.0,突破回踩确认标记,random_forest
39,feature_trend_dir,0.0,趋势方向编码,random_forest
40,feature_turnover,0.0,信号时点成交额,random_forest
