rank,feature,importance,feature_meaning,model_kind
1,generic_stoch_k,0.12202591126824762,KDJ-K 值,random_forest
2,generic_trend_score,0.11925350539750701,"综合趋势得分 [-1, 1]",random_forest
3,generic_macd_dea,0.11343812424190583,MACD 信号线,random_forest
4,generic_macd_dif,0.11108067737734503,MACD 快慢线差,random_forest
5,generic_rsi_14,0.1075222854791418,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
6,feature_trend_score,0.10453997347719064,趋势强弱分数,random_forest
7,generic_stoch_d,0.09304241304196456,KDJ-D 值,random_forest
8,feature_trend_dir,0.07554215656811492,趋势方向编码,random_forest
9,generic_mfi_14,0.06445551802826989,资金流量指数,random_forest
10,feature_volume,0.01648919969648389,信号时点成交量,random_forest
11,generic_bb_width,0.012492400652446188,布林带宽度,random_forest
12,feature_atr_value,0.010101742743347797,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
13,generic_context_score,0.006739733396839935,"大环境配合分 [0, 1]",random_forest
14,feature_don_lower_entry,0.005494147963061072,Donchian 下轨入场价,random_forest
15,generic_setup_quality_score,0.005489568352210455,"形态质量分 [0, 1]",random_forest
16,feature_low,0.004960480307177085,信号时点最低价,random_forest
17,generic_breakout_quality_score,0.004222450466679711,"突破质量分 [0, 1]",random_forest
18,generic_atr_14,0.00360160257508392,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
19,feature_don_atr20,0.002548086731626662,Donchian 宽度/ATR20,random_forest
20,generic_ema_20,0.002098968456538479,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
21,feature_bp_breakout_level,0.0020247250072300427,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
22,generic_compression_score,0.001683249454585191,"压缩体制分 [0, 1]",random_forest
23,generic_sma_20,0.0014884958477099598,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
24,feature_open_interest,0.00128291795523058,信号时点持仓量,random_forest
25,feature_high,0.0012296325858855706,信号时点最高价,random_forest
26,feature_atr14,0.001173517577972989,14周期 ATR 波动率,random_forest
27,feature_atr_lower,0.0011298387316536138,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
28,feature_atr_ma,0.0007847574506150295,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
29,generic_breakout_mode_score,0.0007067218086572928,"突破模式整体分 [0, 1]",random_forest
30,feature_open,0.0006584238911696054,信号时点开盘价,random_forest
31,feature_close,0.0006454040083844938,信号时点收盘价,random_forest
32,generic_regime_conf,0.0005342216838279836,首位 - 次位得分差,random_forest
33,feature_don_upper_entry,0.0005154757881542937,Donchian 上轨入场价,random_forest
34,feature_don_upper_exit,0.0003849193974614383,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
35,feature_atr_upper,0.00028635821291263437,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
36,feature_don_lower_exit,0.0001826086956521737,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
37,feature_tr_range_atr,0.0001497856817145463,tight range / ATR 比值,random_forest
38,feature_bp_bars_since_breakout,0.0,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
39,feature_bp_confirmed,0.0,突破回踩确认标记,random_forest
40,feature_turnover,0.0,信号时点成交额,random_forest
