rank,feature,importance,feature_meaning,model_kind
1,feature_volume,0.14459763973572368,信号时点成交量,random_forest
2,generic_context_score,0.09080730400427828,"大环境配合分 [0, 1]",random_forest
3,feature_don_atr20,0.08237019675054948,Donchian 宽度/ATR20,random_forest
4,generic_mfi_14,0.07856253418578768,资金流量指数,random_forest
5,feature_trend_score,0.06833285728175362,趋势强弱分数,random_forest
6,generic_atr_14,0.060614935407303006,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
7,feature_atr_value,0.06059893055150686,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
8,feature_atr14,0.06006069238528002,14周期 ATR 波动率,random_forest
9,feature_low,0.03826633382382719,信号时点最低价,random_forest
10,generic_bb_width,0.032063901344267745,布林带宽度,random_forest
11,generic_trend_score,0.028782684381578594,"综合趋势得分 [-1, 1]",random_forest
12,generic_rsi_14,0.022033613310552317,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
13,feature_don_lower_exit,0.021358058760905768,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
14,feature_close,0.020242590016400108,信号时点收盘价,random_forest
15,generic_macd_dea,0.01815890116219045,MACD 信号线,random_forest
16,generic_regime_conf,0.015405762518807542,首位 - 次位得分差,random_forest
17,feature_open_interest,0.014745614034184163,信号时点持仓量,random_forest
18,generic_breakout_quality_score,0.0141813310410633,"突破质量分 [0, 1]",random_forest
19,feature_tr_range_atr,0.01314814197537518,tight range / ATR 比值,random_forest
20,feature_open,0.012444495089766534,信号时点开盘价,random_forest
21,generic_macd_dif,0.011608940484057096,MACD 快慢线差,random_forest
22,generic_stoch_d,0.011240942104837746,KDJ-D 值,random_forest
23,generic_stoch_k,0.01036044140475437,KDJ-K 值,random_forest
24,generic_compression_score,0.010316062158842194,"压缩体制分 [0, 1]",random_forest
25,feature_high,0.010025977955459488,信号时点最高价,random_forest
26,generic_setup_quality_score,0.009721823271335032,"形态质量分 [0, 1]",random_forest
27,feature_don_lower_entry,0.006071057086296389,Donchian 下轨入场价,random_forest
28,feature_atr_upper,0.005347160038722518,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
29,feature_don_upper_entry,0.004512061728211661,Donchian 上轨入场价,random_forest
30,feature_don_upper_exit,0.004452241705865218,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
31,generic_breakout_mode_score,0.00433599380527508,"突破模式整体分 [0, 1]",random_forest
32,generic_sma_20,0.003829722611553009,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
33,feature_atr_ma,0.0034874962400284993,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
34,feature_atr_lower,0.00270128487352603,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
35,generic_ema_20,0.001864771697295396,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
36,feature_bp_breakout_level,0.0014586179097658867,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
37,feature_trend_dir,0.0013166038381991756,趋势方向编码,random_forest
38,feature_bp_confirmed,0.0005722833248737085,突破回踩确认标记,random_forest
39,feature_bp_bars_since_breakout,0.0,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
40,feature_turnover,0.0,信号时点成交额,random_forest
