rank,feature,importance,feature_meaning,model_kind
1,generic_stoch_k,0.169646896556676,KDJ-K 值,random_forest
2,generic_rsi_14,0.12069276997055703,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
3,generic_macd_dif,0.12008873022129658,MACD 快慢线差,random_forest
4,feature_trend_score,0.1200094374001628,趋势强弱分数,random_forest
5,generic_stoch_d,0.11445220560103352,KDJ-D 值,random_forest
6,generic_macd_dea,0.08135206945661787,MACD 信号线,random_forest
7,generic_mfi_14,0.07708349549188084,资金流量指数,random_forest
8,generic_trend_score,0.06387702768191615,"综合趋势得分 [-1, 1]",random_forest
9,feature_trend_dir,0.054495429925563506,趋势方向编码,random_forest
10,generic_setup_quality_score,0.035481194683403036,"形态质量分 [0, 1]",random_forest
11,generic_breakout_quality_score,0.012068086892324408,"突破质量分 [0, 1]",random_forest
12,feature_atr_value,0.006760493488387499,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
13,feature_close,0.0035430649970969305,信号时点收盘价,random_forest
14,feature_high,0.002993404241630312,信号时点最高价,random_forest
15,feature_don_atr20,0.0028163433700391584,Donchian 宽度/ATR20,random_forest
16,generic_atr_14,0.002439843351200243,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
17,feature_low,0.0020785336932868407,信号时点最低价,random_forest
18,feature_don_lower_entry,0.0018511063184952021,Donchian 下轨入场价,random_forest
19,feature_atr14,0.0016850650671217057,14周期 ATR 波动率,random_forest
20,generic_bb_width,0.000972097002034481,布林带宽度,random_forest
21,feature_open,0.0009517559630437335,信号时点开盘价,random_forest
22,generic_sma_20,0.0008593490828294553,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
23,feature_don_upper_entry,0.0007461119085759699,Donchian 上轨入场价,random_forest
24,feature_volume,0.0006026539202455958,信号时点成交量,random_forest
25,feature_atr_ma,0.0005829042836080783,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
26,feature_don_lower_exit,0.0005161794960830924,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
27,feature_tr_range_atr,0.0003865309318182996,tight range / ATR 比值,random_forest
28,generic_ema_20,0.00028999362682391656,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
29,generic_regime_conf,0.0002701769819448318,首位 - 次位得分差,random_forest
30,generic_compression_score,0.0002679030489047266,"压缩体制分 [0, 1]",random_forest
31,feature_open_interest,6.844522720779567e-05,信号时点持仓量,random_forest
32,generic_breakout_mode_score,2.8238616307800726e-05,"突破模式整体分 [0, 1]",random_forest
33,feature_atr_lower,2.4109513992883983e-05,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
34,feature_atr_upper,1.626353009971321e-05,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
35,feature_don_upper_exit,2.088457789947398e-06,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
36,feature_bp_bars_since_breakout,0.0,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
37,feature_bp_breakout_level,0.0,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
38,feature_bp_confirmed,0.0,突破回踩确认标记,random_forest
39,feature_turnover,0.0,信号时点成交额,random_forest
40,generic_context_score,0.0,"大环境配合分 [0, 1]",random_forest
