rank,feature,importance,feature_meaning,model_kind
1,generic_macd_dea,0.08118081180811809,MACD 信号线,random_forest
2,generic_rsi_14,0.08118081180811809,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
3,generic_sma_20,0.06273062730627307,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
4,feature_don_upper_entry,0.059040590405904064,Donchian 上轨入场价,random_forest
5,feature_high,0.059040590405904064,信号时点最高价,random_forest
6,feature_trend_score,0.059040590405904064,趋势强弱分数,random_forest
7,generic_macd_dif,0.05166051660516606,MACD 快慢线差,random_forest
8,feature_atr_ma,0.04428044280442805,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
9,feature_atr_lower,0.03321033210332104,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
10,feature_low,0.03321033210332104,信号时点最低价,random_forest
11,generic_stoch_d,0.03321033210332104,KDJ-D 值,random_forest
12,feature_close,0.029520295202952032,信号时点收盘价,random_forest
13,feature_don_atr20,0.029520295202952032,Donchian 宽度/ATR20,random_forest
14,generic_stoch_k,0.029520295202952032,KDJ-K 值,random_forest
15,feature_don_lower_entry,0.02583025830258303,Donchian 下轨入场价,random_forest
16,generic_ema_20,0.02583025830258303,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
17,generic_setup_quality_score,0.02583025830258303,"形态质量分 [0, 1]",random_forest
18,feature_atr_value,0.022140221402214024,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
19,feature_open,0.022140221402214024,信号时点开盘价,random_forest
20,generic_atr_14,0.022140221402214024,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
21,feature_atr_upper,0.018450184501845022,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
22,feature_don_lower_exit,0.018450184501845022,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
23,feature_don_upper_exit,0.018450184501845022,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
24,feature_open_interest,0.018450184501845022,信号时点持仓量,random_forest
25,generic_bb_width,0.018450184501845022,布林带宽度,random_forest
26,generic_breakout_mode_score,0.018450184501845022,"突破模式整体分 [0, 1]",random_forest
27,feature_atr14,0.014760147601476016,14周期 ATR 波动率,random_forest
28,feature_trend_dir,0.011070110701107012,趋势方向编码,random_forest
29,feature_volume,0.011070110701107012,信号时点成交量,random_forest
30,generic_context_score,0.007380073800738008,"大环境配合分 [0, 1]",random_forest
31,generic_regime_conf,0.007380073800738008,首位 - 次位得分差,random_forest
32,feature_tr_range_atr,0.003690036900369004,tight range / ATR 比值,random_forest
33,generic_trend_score,0.003690036900369004,"综合趋势得分 [-1, 1]",random_forest
34,feature_bp_confirmed,0.0,突破回踩确认标记,random_forest
35,feature_breakout_score,0.0,突破质量分数,random_forest
36,feature_turnover,0.0,信号时点成交额,random_forest
37,generic_breakout_quality_score,0.0,"突破质量分 [0, 1]",random_forest
38,generic_compression_score,0.0,"压缩体制分 [0, 1]",random_forest
39,generic_mfi_14,0.0,资金流量指数,random_forest
