rank,feature,importance,feature_meaning,model_kind
1,feature_atr14,0.0,14周期 ATR 波动率,hist_gradient_boosting
2,feature_atr_lower,0.0,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
3,feature_atr_ma,0.0,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
4,feature_atr_upper,0.0,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
5,feature_atr_value,0.0,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
6,feature_bp_confirmed,0.0,突破回踩确认标记,hist_gradient_boosting
7,feature_breakout_score,0.0,突破质量分数,hist_gradient_boosting
8,feature_close,0.0,信号时点收盘价,hist_gradient_boosting
9,feature_don_atr20,0.0,Donchian 宽度/ATR20,hist_gradient_boosting
10,feature_don_lower_entry,0.0,Donchian 下轨入场价,hist_gradient_boosting
11,feature_don_lower_exit,0.0,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
12,feature_don_upper_entry,0.0,Donchian 上轨入场价,hist_gradient_boosting
13,feature_don_upper_exit,0.0,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
14,feature_high,0.0,信号时点最高价,hist_gradient_boosting
15,feature_low,0.0,信号时点最低价,hist_gradient_boosting
16,feature_open,0.0,信号时点开盘价,hist_gradient_boosting
17,feature_open_interest,0.0,信号时点持仓量,hist_gradient_boosting
18,feature_tr_range_atr,0.0,tight range / ATR 比值,hist_gradient_boosting
19,feature_trend_dir,0.0,趋势方向编码,hist_gradient_boosting
20,feature_trend_score,0.0,趋势强弱分数,hist_gradient_boosting
21,feature_turnover,0.0,信号时点成交额,hist_gradient_boosting
22,feature_volume,0.0,信号时点成交量,hist_gradient_boosting
23,generic_atr_14,0.0,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
24,generic_bb_width,0.0,布林带宽度,hist_gradient_boosting
25,generic_breakout_mode_score,0.0,"突破模式整体分 [0, 1]",hist_gradient_boosting
26,generic_breakout_quality_score,0.0,"突破质量分 [0, 1]",hist_gradient_boosting
27,generic_compression_score,0.0,"压缩体制分 [0, 1]",hist_gradient_boosting
28,generic_context_score,0.0,"大环境配合分 [0, 1]",hist_gradient_boosting
29,generic_ema_20,0.0,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
30,generic_macd_dea,0.0,MACD 信号线,hist_gradient_boosting
31,generic_macd_dif,0.0,MACD 快慢线差,hist_gradient_boosting
32,generic_mfi_14,0.0,资金流量指数,hist_gradient_boosting
33,generic_regime_conf,0.0,首位 - 次位得分差,hist_gradient_boosting
34,generic_rsi_14,0.0,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
35,generic_setup_quality_score,0.0,"形态质量分 [0, 1]",hist_gradient_boosting
36,generic_sma_20,0.0,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
37,generic_stoch_d,0.0,KDJ-D 值,hist_gradient_boosting
38,generic_stoch_k,0.0,KDJ-K 值,hist_gradient_boosting
39,generic_trend_score,0.0,"综合趋势得分 [-1, 1]",hist_gradient_boosting
