symbol,exchange,interval,datetime,signal_datetime,signal_type,side,order_type,signal_i,entry_i,horizon_i,entry_price,stop_price,trigger,future_mfe_atr,future_mae_atr,future_pnl_atr,atr_warmed,label_class,regime_label,candidate_status,is_executed,is_filtered,is_triggered,filtered_reason,feature_open,feature_high,feature_low,feature_close,feature_volume,feature_open_interest,feature_turnover,feature_atr14,feature_trend_score,feature_trend_dir,feature_tr_range_atr,feature_breakout_score,feature_don_upper_entry,feature_don_lower_entry,feature_don_upper_exit,feature_don_lower_exit,feature_don_atr20,feature_atr_ma,feature_atr_value,feature_atr_upper,feature_atr_lower,feature_bp_breakout_level,feature_bp_bars_since_breakout,feature_bp_confirmed
RB0,SHFE,minute15,2010-01-04 13:30:00,2010-01-04 11:30:00,tight_range_breakout,short,stop,10,11,31,,4522.0,4522.0,-2.2486077310439168,3.8799505947424446,-2.9540532937243613,1,0,range,not_triggered,0,0,0,,4580.0,4580.0,4577.0,4578.0,3247.0,494890.0,148658780.0,22.579216646359253,0.2,0,1.4880941410081105,0.5666666666666667,,,4588.0,4523.0,25.53300429508993,4570.545454545455,22.579216646359253,4626.9934961613535,4514.097412929556,,,False
RB0,SHFE,minute15,2010-01-04 13:45:00,2010-01-04 13:30:00,tight_range_breakout,long,stop,11,12,32,4598.0,4598.0,4598.0,0.5529060036006704,1.1518875075013968,-0.5989815039007262,1,0,range,filled,1,0,1,,4577.0,4597.0,4573.0,4596.0,62948.0,505348.0,2888004860.0,22.680701171619308,0.2,0,1.2698020128248,0.7801054351913091,,,4588.0,4523.0,25.456354080335434,4572.666666666667,22.680701171619308,4629.368419595715,4515.964913737619,,,False
RB0,SHFE,minute15,2010-01-06 09:00:00,2010-01-05 15:00:00,tight_range_breakout,short,stop,35,36,56,,4580.0,4580.0,-0.1631078061907934,5.708773216677769,-4.322356864056025,1,0,trend_down,not_triggered,0,0,0,,4589.0,4591.0,4588.0,4589.0,10864.0,0.0,498633200.0,11.666584891546343,-0.25,0,1.3371522296386689,0.4,4610.0,4523.0,4606.0,4573.0,14.354194575253246,4589.25,11.666584891546343,4618.416462228866,4560.083537771134,,,False
RB0,SHFE,minute15,2010-01-06 09:15:00,2010-01-06 09:00:00,tight_range_breakout,long,stop,36,37,57,4602.0,4602.0,4602.0,3.4745960921710393,0.4343245115213799,2.461172231954486,1,1,range,filled,1,0,1,,4587.0,4602.0,4582.0,4598.0,159008.0,0.0,7306104850.0,12.261828827864461,0.0,0,1.2722408882881886,0.584297025571714,4610.0,4523.0,4606.0,4573.0,14.636484846490584,4590.25,12.261828827864461,4620.904572069661,4559.595427930339,,,False
RB0,SHFE,minute15,2010-01-06 09:30:00,2010-01-06 09:15:00,donchian_breakout,long,stop,37,38,58,4631.0,4631.0,4631.0,1.3883870961131282,17.68366722417774,-6.941935480565641,1,0,trend_up,filled,1,0,1,,4598.0,4630.0,4596.0,4622.0,267862.0,0.0,12364298610.0,13.814555340159856,0.65,1,1.1292437299555877,0.9176470588235295,4610.0,4523.0,4606.0,4573.0,15.604660604166055,4592.4,13.814555340159856,4626.936388350399,4557.8636116496,,,False
RB0,SHFE,minute15,2010-01-06 09:30:00,2010-01-06 09:15:00,tight_range_breakout,long,stop,37,38,58,4631.0,4631.0,4631.0,1.3883870961131282,17.68366722417774,-6.941935480565641,1,0,trend_up,filled,1,0,1,,4598.0,4630.0,4596.0,4622.0,267862.0,0.0,12364298610.0,13.814555340159856,0.65,1,1.1292437299555877,0.9176470588235295,4610.0,4523.0,4606.0,4573.0,15.604660604166055,4592.4,13.814555340159856,4626.936388350399,4557.8636116496,,,False
RB0,SHFE,minute15,2010-01-06 09:45:00,2010-01-06 09:30:00,atr_breakout,long,market,38,39,59,4630.0,,,1.49012043358401,17.955951224687322,-7.52510818959925,1,0,trend_up,filled,1,0,1,,4620.0,4632.0,4620.0,4630.0,122454.0,0.0,5663974190.0,13.684944244434153,0.65,1,3.2444414246012045,,4630.0,4523.0,4630.0,4573.0,15.424427573957752,4594.45,13.684944244434153,4628.662360611085,4560.237639388914,,,False
RB0,SHFE,minute15,2010-01-06 14:45:00,2010-01-06 14:30:00,tight_range_breakout,short,stop,51,52,72,4621.0,4621.0,4621.0,21.65791149590595,2.7072389369882437,11.669133349087257,1,1,trend_up,filled,1,0,1,,4625.0,4629.0,4613.0,4622.0,106386.0,0.0,4916322780.0,10.612945555054585,0.45,0,0.6784167470425667,0.30662175254530233,4635.0,4523.0,4635.0,4581.0,12.104114268466725,4617.75,10.612945555054585,4644.282363887636,4591.217636112364,,,False
RB0,SHFE,minute15,2010-01-06 15:00:00,2010-01-06 14:45:00,tight_range_breakout,short,stop,52,53,73,,4612.0,4612.0,22.101673577491034,3.766204466119549,12.983494343727918,1,0,trend_up,not_triggered,0,0,0,,4622.0,4624.0,4612.0,4621.0,122240.0,0.0,5644987880.0,10.712020872550687,0.45,0,0.8961894412099013,0.6708333333333334,4635.0,4523.0,4635.0,4581.0,12.098908555043389,4619.55,10.712020872550687,4646.330052181377,4592.769947818623,,,False
RB0,SHFE,minute15,2010-01-07 09:00:00,2010-01-06 15:00:00,tight_range_breakout,short,stop,53,54,74,,4611.0,4611.0,19.526717395403477,3.4303692721654757,11.434564240551586,1,0,trend_up,not_triggered,0,0,0,,4621.0,4622.0,4620.0,4622.0,18300.0,0.0,845676540.0,10.089733667368495,0.45,0,1.0703949535287138,0.625,4635.0,4523.0,4635.0,4582.0,11.593963127291218,4621.0,10.089733667368495,4646.224334168422,4595.775665831578,,,False
RB0,SHFE,minute15,2010-01-07 09:15:00,2010-01-07 09:00:00,tight_range_breakout,long,stop,54,55,75,,4651.0,4651.0,-0.778751220310542,22.670313302373554,-14.882801099268136,1,0,trend_up,not_triggered,0,0,0,,4641.0,4650.0,4635.0,4642.0,155348.0,0.0,7211537330.0,11.369038405413603,0.6871865446983738,1,0.9499484138304393,0.63,4635.0,4523.0,4635.0,4582.0,12.414264970926657,4623.65,11.369038405413603,4652.072596013533,4595.227403986466,,,False
RB0,SHFE,minute15,2010-01-07 09:15:00,2010-01-07 09:00:00,donchian_breakout,long,stop,54,55,75,,4651.0,4651.0,-0.778751220310542,22.670313302373554,-14.882801099268136,1,0,trend_up,not_triggered,0,0,0,,4641.0,4650.0,4635.0,4642.0,155348.0,0.0,7211537330.0,11.369038405413603,0.6871865446983738,1,0.9499484138304393,0.63,4635.0,4523.0,4635.0,4582.0,12.414264970926657,4623.65,11.369038405413603,4652.072596013533,4595.227403986466,,,False
RB0,SHFE,minute15,2010-01-07 10:15:00,2010-01-07 10:00:00,tight_range_breakout,short,stop,58,59,79,,4388.0,4388.0,-0.8738013232398713,6.080200874210771,-1.5655607041381028,1,0,trend_down,not_triggered,0,0,0,,4635.0,4636.0,4389.0,4536.0,345970.0,0.0,15773830510.0,28.502059191405092,-0.43390178209211805,0,0.8841466446606482,0.7803643724696356,4650.0,4553.0,4650.0,4612.0,24.223033907975832,4623.65,28.502059191405092,4694.905147978512,4552.394852021487,,,False
RB0,SHFE,minute15,2010-01-07 10:15:00,2010-01-07 10:00:00,atr_breakout,short,market,58,59,79,4533.0,,,4.4054150046676845,0.8009845463032154,3.713655623769453,1,1,trend_down,filled,1,0,1,,4635.0,4636.0,4389.0,4536.0,345970.0,0.0,15773830510.0,28.502059191405092,-0.43390178209211805,0,0.8841466446606482,0.7803643724696356,4650.0,4553.0,4650.0,4612.0,24.223033907975832,4623.65,28.502059191405092,4694.905147978512,4552.394852021487,,,False
RB0,SHFE,minute15,2010-01-07 10:15:00,2010-01-07 10:00:00,donchian_breakout,short,stop,58,59,79,,4388.0,4388.0,-0.8738013232398713,6.080200874210771,-1.5655607041381028,1,0,trend_down,not_triggered,0,0,0,,4635.0,4636.0,4389.0,4536.0,345970.0,0.0,15773830510.0,28.502059191405092,-0.43390178209211805,0,0.8841466446606482,0.7803643724696356,4650.0,4553.0,4650.0,4612.0,24.223033907975832,4623.65,28.502059191405092,4694.905147978512,4552.394852021487,,,False
RB0,SHFE,minute15,2010-01-07 10:30:00,2010-01-07 10:15:00,breakout_pullback_continuation,short,stop,59,60,80,4524.0,4524.0,4524.0,3.6802278930964514,1.0186345061249107,2.39871996603608,1,1,trend_down,filled,1,0,1,,4533.0,4539.0,4525.0,4529.0,21894.0,0.0,991855940.0,27.466197820590445,-0.6681960724239072,-1,4.631147013171318,,4650.0,4389.0,4650.0,4389.0,23.71188221257704,4619.0,27.466197820590445,4687.6654945514765,4550.3345054485235,4553.0,1.0,True
RB0,SHFE,minute15,2010-01-11 09:45:00,2010-01-11 09:30:00,atr_breakout,long,market,92,93,113,4512.0,,,0.25536515823406225,1.6343370126979984,-1.1746797278766863,1,0,trend_up,filled,1,0,1,,4512.0,4517.0,4503.0,4513.0,124114.0,0.0,5597736050.0,20.009020760724347,0.4210233658746303,0,4.0481741194948775,,4650.0,4389.0,4512.0,4412.0,20.424464191390417,4461.85,20.009020760724347,4511.872551901812,4411.827448098189,,,False
RB0,SHFE,minute15,2010-01-13 09:15:00,2010-01-13 09:00:00,atr_breakout,short,market,126,127,147,4423.0,,,0.8302425770804157,2.0023497447233556,-1.562809556857253,1,0,trend_down,filled,1,0,1,,4420.0,4426.0,4354.0,4424.0,274338.0,0.0,12059556310.0,20.897169793893006,-0.21118632058617648,0,1.5504491909458755,,4528.0,4412.0,4528.0,4480.0,18.872853960692428,4495.3,20.897169793893006,4547.542924484733,4443.057075515268,,,False
RB0,SHFE,minute15,2010-01-13 11:30:00,2010-01-13 11:15:00,atr_breakout,short,market,135,136,156,4418.0,,,0.6886249824552827,2.639729099411917,-1.9511041169566343,1,0,trend_down,filled,1,0,1,,4436.0,4438.0,4416.0,4418.0,107294.0,0.0,4748190220.0,18.45880215929591,-0.5281038659392094,-1,6.240925007259201,,4528.0,4354.0,4528.0,4354.0,17.791102081738515,4469.1,18.45880215929591,4515.24700539824,4422.952994601761,,,False
