signal_type,window_id,split,model,model_kind,train_executed_count,train_non_executed_count,auc,accuracy,precision,recall,f1,macro_f1,weighted_f1,mfe_mae_mae,mae_mae,mfe_rmse,mae_rmse,mfe_r2,mae_r2
atr_breakout,0,train,trade_filter,hist_gradient_boosting,1142,0,0.9830275685484873,0.9168126094570929,0.9067669172932331,0.9481132075471698,0.9269792467332821,,,,,,,,
atr_breakout,0,train,regime_classifier,random_forest,1142,0,,0.999124343257443,,,,0.996100412678067,0.9991200496434421,,,,,,
atr_breakout,0,train,mfe_mae,random_forest,1142,0,,,,,,,,1.2677493461733933,1.297287750660184,2.1635258206962673,5.18176562270035,0.49748564069213097,0.2427403700162778
atr_breakout,0,valid,trade_filter,hist_gradient_boosting,1142,0,0.4527777777777778,0.603448275862069,0.6847826086956522,0.7875,0.7325581395348837,,,,,,,,
atr_breakout,0,valid,regime_classifier,random_forest,1142,0,,0.9913793103448276,,,,0.9307888040712468,0.9905501447749407,,,,,,
atr_breakout,0,valid,mfe_mae,random_forest,1142,0,,,,,,,,1.5855337037776793,1.496864009476488,2.0914493275853365,3.4055874210452064,0.00566774322811836,-6.8121715478049145
atr_breakout,0,test,trade_filter,hist_gradient_boosting,1142,0,0.55359375,0.5614035087719298,0.57,0.890625,0.6951219512195121,,,,,,,,
atr_breakout,0,test,regime_classifier,random_forest,1142,0,,0.9912280701754386,,,,0.6634920634920635,0.9868838763575606,,,,,,
atr_breakout,0,test,mfe_mae,random_forest,1142,0,,,,,,,,1.9829769106586097,1.9120129673680717,2.570975496092275,3.7352670139998057,-0.05855264379996461,-0.27026832221987895
breakout_pullback_continuation,0,train,trade_filter,hist_gradient_boosting,394,320,0.996215367643939,0.9649859943977591,0.9717741935483871,0.9305019305019305,0.9506903353057199,,,,,,,,
breakout_pullback_continuation,0,train,regime_classifier,random_forest,394,320,,0.9873949579831933,,,,0.8192148619493071,0.9840999644306606,,,,,,
breakout_pullback_continuation,0,train,mfe_mae,random_forest,394,320,,,,,,,,1.0131603766518609,0.3520469166533925,1.461843683000724,0.47194353342202017,0.7009636913257309,0.6970202429736138
breakout_pullback_continuation,0,valid,trade_filter,hist_gradient_boosting,394,320,0.5983564458140729,0.6012658227848101,0.4666666666666667,0.4745762711864407,0.47058823529411764,,,,,,,,
breakout_pullback_continuation,0,valid,regime_classifier,random_forest,394,320,,0.9873417721518988,,,,0.663265306122449,0.9810772410229914,,,,,,
breakout_pullback_continuation,0,valid,mfe_mae,random_forest,394,320,,,,,,,,1.7854160086323823,0.6201647392308253,2.2436011306538646,0.8855982770523466,-0.038412791129345925,0.1319107856040157
breakout_pullback_continuation,0,test,trade_filter,hist_gradient_boosting,394,320,0.641068798653482,0.6575342465753424,0.4857142857142857,0.3469387755102041,0.40476190476190477,,,,,,,,
breakout_pullback_continuation,0,test,regime_classifier,random_forest,394,320,,1.0,,,,1.0,1.0,,,,,,
