rank,feature,importance,feature_meaning,model_kind
1,feature_volume,0.03093693290575979,信号时点成交量,hist_gradient_boosting
2,feature_high,0.02929727960490876,信号时点最高价,hist_gradient_boosting
3,generic_stoch_d,0.024785384609010475,KDJ-D 值,hist_gradient_boosting
4,generic_stoch_k,0.023835566493482802,KDJ-K 值,hist_gradient_boosting
5,feature_atr14,0.023288670130343598,14周期 ATR 波动率,hist_gradient_boosting
6,generic_macd_dea,0.021801277748775678,MACD 信号线,hist_gradient_boosting
7,feature_tr_range_atr,0.021559939012769164,tight range / ATR 比值,hist_gradient_boosting
8,feature_atr_ma,0.01836453128495789,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
9,generic_rsi_14,0.017859066464480655,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
10,feature_don_atr20,0.015121477283085105,Donchian 宽度/ATR20,hist_gradient_boosting
11,generic_setup_quality_score,0.015052079449126085,"形态质量分 [0, 1]",hist_gradient_boosting
12,feature_trend_score,0.013599903878820966,趋势强弱分数,hist_gradient_boosting
13,generic_breakout_quality_score,0.013584367050322732,"突破质量分 [0, 1]",hist_gradient_boosting
14,generic_bb_width,0.013247735766193461,布林带宽度,hist_gradient_boosting
15,generic_trend_score,0.009244412956471973,"综合趋势得分 [-1, 1]",hist_gradient_boosting
16,feature_don_lower_exit,0.008851849089749083,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
17,feature_turnover,0.00830806009230937,信号时点成交额,hist_gradient_boosting
18,generic_context_score,0.007472178719102403,"大环境配合分 [0, 1]",hist_gradient_boosting
19,generic_macd_dif,0.007145905320638672,MACD 快慢线差,hist_gradient_boosting
20,feature_don_upper_exit,0.006331775507329181,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
21,feature_open,0.005670942401869346,信号时点开盘价,hist_gradient_boosting
22,generic_mfi_14,0.005502108865521493,资金流量指数,hist_gradient_boosting
23,feature_low,0.005281485900845984,信号时点最低价,hist_gradient_boosting
24,generic_regime_conf,0.004867170474225357,首位 - 次位得分差,hist_gradient_boosting
25,feature_bp_breakout_level,0.004623760161085788,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
26,feature_atr_lower,0.004238446814328685,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
27,generic_breakout_mode_score,0.0027945575525557542,"突破模式整体分 [0, 1]",hist_gradient_boosting
28,feature_open_interest,0.0023854210687680824,信号时点持仓量,hist_gradient_boosting
29,generic_compression_score,0.0015516112726940978,"压缩体制分 [0, 1]",hist_gradient_boosting
30,generic_ema_20,0.0012129084114316975,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
31,feature_breakout_score,0.0011859779087013782,突破质量分数,hist_gradient_boosting
32,feature_close,0.0008534897788383677,信号时点收盘价,hist_gradient_boosting
33,feature_don_upper_entry,0.0008130940247428701,Donchian 上轨入场价,hist_gradient_boosting
34,feature_don_lower_entry,0.0005520753059718997,Donchian 下轨入场价,hist_gradient_boosting
35,feature_bp_confirmed,0.0004298522551188233,突破回踩确认标记,hist_gradient_boosting
36,feature_atr_value,0.0,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
37,feature_bp_bars_since_breakout,0.0,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
38,feature_trend_dir,0.0,趋势方向编码,hist_gradient_boosting
39,generic_atr_14,0.0,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
40,generic_sma_20,0.0,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
41,feature_atr_upper,-0.00012740199368588279,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
