rank,feature,importance,feature_meaning,model_kind
1,feature_trend_score,0.20382859020785538,趋势强弱分数,random_forest
2,generic_rsi_14,0.18685859147948528,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
3,generic_macd_dif,0.12918088614265097,MACD 快慢线差,random_forest
4,generic_macd_dea,0.1014843480295349,MACD 信号线,random_forest
5,generic_trend_score,0.0966420811177462,"综合趋势得分 [-1, 1]",random_forest
6,generic_stoch_k,0.07827143008383326,KDJ-K 值,random_forest
7,generic_setup_quality_score,0.06364067972418692,"形态质量分 [0, 1]",random_forest
8,generic_mfi_14,0.04764388951606431,资金流量指数,random_forest
9,generic_stoch_d,0.04398822641636777,KDJ-D 值,random_forest
10,feature_trend_dir,0.02680359310443179,趋势方向编码,random_forest
11,generic_breakout_quality_score,0.007820172651363685,"突破质量分 [0, 1]",random_forest
12,feature_don_atr20,0.0013907997508458623,Donchian 宽度/ATR20,random_forest
13,feature_close,0.0009655972040313416,信号时点收盘价,random_forest
14,feature_tr_range_atr,0.0008642820629151866,tight range / ATR 比值,random_forest
15,generic_atr_14,0.0008576566993776566,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
16,feature_atr_value,0.0008270496222673007,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
17,feature_open_interest,0.0007014264030855351,信号时点持仓量,random_forest
18,generic_context_score,0.000695350451713356,"大环境配合分 [0, 1]",random_forest
19,feature_atr14,0.0006832169157006354,14周期 ATR 波动率,random_forest
20,generic_bb_width,0.0006775918346833055,布林带宽度,random_forest
21,feature_don_lower_entry,0.0006625431600394174,Donchian 下轨入场价,random_forest
22,generic_regime_conf,0.0006014920091194928,首位 - 次位得分差,random_forest
23,feature_volume,0.0005830821125781966,信号时点成交量,random_forest
24,feature_open,0.0005353557722248793,信号时点开盘价,random_forest
25,feature_turnover,0.0003872181839253619,信号时点成交额,random_forest
26,feature_atr_lower,0.0003811546879864802,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
27,generic_ema_20,0.00036770641568656376,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
28,feature_don_lower_exit,0.00035022140523146455,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
29,feature_low,0.00033161334304817377,信号时点最低价,random_forest
30,generic_sma_20,0.0003062566294984192,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
31,feature_high,0.00030275623256239024,信号时点最高价,random_forest
32,feature_don_upper_entry,0.00028398726875943374,Donchian 上轨入场价,random_forest
33,feature_atr_ma,0.0002500691383784491,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
34,feature_don_upper_exit,0.0002402077480410995,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
35,generic_breakout_mode_score,0.00019536492319376098,"突破模式整体分 [0, 1]",random_forest
36,generic_compression_score,0.00014801626263961806,"压缩体制分 [0, 1]",random_forest
37,feature_atr_upper,0.0001222223128686114,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
38,feature_breakout_score,7.929304172553823e-05,突破质量分数,random_forest
39,feature_bp_breakout_level,4.2172566237157296e-05,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
40,feature_bp_confirmed,3.807368114827352e-06,突破回踩确认标记,random_forest
41,feature_bp_bars_since_breakout,0.0,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
