rank,feature,importance,feature_meaning,model_kind
1,feature_breakout_score,0.07393340050562718,突破质量分数,hist_gradient_boosting
2,feature_open_interest,0.048010639070182326,信号时点持仓量,hist_gradient_boosting
3,generic_macd_dea,0.038024943099004206,MACD 信号线,hist_gradient_boosting
4,generic_stoch_k,0.02603923595903605,KDJ-K 值,hist_gradient_boosting
5,feature_atr14,0.02596982990730708,14周期 ATR 波动率,hist_gradient_boosting
6,generic_stoch_d,0.02490719932221408,KDJ-D 值,hist_gradient_boosting
7,generic_setup_quality_score,0.02412937288042305,"形态质量分 [0, 1]",hist_gradient_boosting
8,generic_bb_width,0.023744049627720403,布林带宽度,hist_gradient_boosting
9,generic_macd_dif,0.018715700845557254,MACD 快慢线差,hist_gradient_boosting
10,generic_mfi_14,0.01568417214934596,资金流量指数,hist_gradient_boosting
11,generic_trend_score,0.014496291562856775,"综合趋势得分 [-1, 1]",hist_gradient_boosting
12,generic_context_score,0.012962178488431989,"大环境配合分 [0, 1]",hist_gradient_boosting
13,feature_turnover,0.012423683259499718,信号时点成交额,hist_gradient_boosting
14,feature_tr_range_atr,0.012413312240275864,tight range / ATR 比值,hist_gradient_boosting
15,generic_regime_conf,0.011412109999816566,首位 - 次位得分差,hist_gradient_boosting
16,feature_don_lower_exit,0.010305602025699448,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
17,feature_trend_score,0.009996066990402083,趋势强弱分数,hist_gradient_boosting
18,generic_rsi_14,0.009690520808652367,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
19,feature_don_upper_entry,0.00800562907012651,Donchian 上轨入场价,hist_gradient_boosting
20,feature_don_atr20,0.00792824531130217,Donchian 宽度/ATR20,hist_gradient_boosting
21,feature_volume,0.005426436366218312,信号时点成交量,hist_gradient_boosting
22,feature_don_upper_exit,0.005372187957970305,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
23,generic_breakout_mode_score,0.004702060561965686,"突破模式整体分 [0, 1]",hist_gradient_boosting
24,feature_don_lower_entry,0.004473100368330818,Donchian 下轨入场价,hist_gradient_boosting
25,feature_atr_upper,0.004128463421814203,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
26,feature_atr_lower,0.0013753567032285992,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
27,generic_compression_score,0.0011288455539840703,"压缩体制分 [0, 1]",hist_gradient_boosting
28,feature_open,0.0008225016015247869,信号时点开盘价,hist_gradient_boosting
29,generic_ema_20,0.0006693296252951638,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
30,generic_breakout_quality_score,0.000618272299885203,"突破质量分 [0, 1]",hist_gradient_boosting
31,feature_close,0.0005424840824800325,信号时点收盘价,hist_gradient_boosting
32,feature_high,0.0005281242097084174,信号时点最高价,hist_gradient_boosting
33,feature_atr_ma,0.00047228026004135043,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
34,feature_low,0.00041643631037428336,信号时点最低价,hist_gradient_boosting
35,generic_sma_20,0.00026087102201621803,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
36,feature_atr_value,0.0,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
37,feature_bp_bars_since_breakout,0.0,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
38,feature_bp_breakout_level,0.0,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
39,feature_bp_confirmed,0.0,突破回踩确认标记,hist_gradient_boosting
40,feature_trend_dir,0.0,趋势方向编码,hist_gradient_boosting
41,generic_atr_14,0.0,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
