signal_type,window_id,model,model_kind,rank,feature,importance,feature_meaning
atr_breakout,0,trade_filter,hist_gradient_boosting,1,generic_mfi_14,0.018563420337210184,资金流量指数
atr_breakout,0,trade_filter,hist_gradient_boosting,2,generic_regime_conf,0.01344173160622201,首位 - 次位得分差
atr_breakout,0,trade_filter,hist_gradient_boosting,3,feature_turnover,0.011782045131370081,信号时点成交额
atr_breakout,0,trade_filter,hist_gradient_boosting,4,feature_tr_range_atr,0.009037511507591653,tight range / ATR 比值
atr_breakout,0,trade_filter,hist_gradient_boosting,5,feature_don_upper_entry,0.008371908077572968,Donchian 上轨入场价
atr_breakout,0,trade_filter,hist_gradient_boosting,6,generic_bb_width,0.008013173761394063,布林带宽度
atr_breakout,0,trade_filter,hist_gradient_boosting,7,generic_context_score,0.006167636978160325,"大环境配合分 [0, 1]"
atr_breakout,0,trade_filter,hist_gradient_boosting,8,generic_macd_dif,0.005839157363345911,MACD 快慢线差
atr_breakout,0,trade_filter,hist_gradient_boosting,9,generic_trend_score,0.005065501428454004,"综合趋势得分 [-1, 1]"
atr_breakout,0,trade_filter,hist_gradient_boosting,10,feature_don_atr20,0.0050568572280641115,Donchian 宽度/ATR20
atr_breakout,0,regime_classifier,random_forest,1,feature_trend_score,0.20778569467744643,趋势强弱分数
atr_breakout,0,regime_classifier,random_forest,2,generic_rsi_14,0.18348360360985932,未在 FEATURES.md 登记（自定义/衍生特征）
atr_breakout,0,regime_classifier,random_forest,3,generic_mfi_14,0.11803930648300759,资金流量指数
atr_breakout,0,regime_classifier,random_forest,4,generic_stoch_k,0.10042164296333582,KDJ-K 值
atr_breakout,0,regime_classifier,random_forest,5,generic_macd_dif,0.09116439515067119,MACD 快慢线差
atr_breakout,0,regime_classifier,random_forest,6,generic_stoch_d,0.08064300883460146,KDJ-D 值
atr_breakout,0,regime_classifier,random_forest,7,generic_trend_score,0.061231857476738795,"综合趋势得分 [-1, 1]"
atr_breakout,0,regime_classifier,random_forest,8,generic_setup_quality_score,0.056923162074782485,"形态质量分 [0, 1]"
atr_breakout,0,regime_classifier,random_forest,9,feature_trend_dir,0.03752376203432146,趋势方向编码
