rank,feature,importance,feature_meaning,model_kind
1,feature_volume,0.012729320411368946,信号时点成交量,hist_gradient_boosting
2,generic_breakout_quality_score,0.010600357626231164,"突破质量分 [0, 1]",hist_gradient_boosting
3,feature_turnover,0.00944449384033271,信号时点成交额,hist_gradient_boosting
4,feature_open_interest,0.008313327998577388,信号时点持仓量,hist_gradient_boosting
5,generic_rsi_14,0.007858885826343828,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
6,generic_stoch_k,0.006821572172332406,KDJ-K 值,hist_gradient_boosting
7,generic_trend_score,0.006125090147496144,"综合趋势得分 [-1, 1]",hist_gradient_boosting
8,generic_setup_quality_score,0.0041690129713601864,"形态质量分 [0, 1]",hist_gradient_boosting
9,generic_context_score,0.0037343291544411628,"大环境配合分 [0, 1]",hist_gradient_boosting
10,feature_atr14,0.0028649615206030044,14周期 ATR 波动率,hist_gradient_boosting
11,generic_macd_dif,0.0025142507137706125,MACD 快慢线差,hist_gradient_boosting
12,feature_tr_range_atr,0.002282090038825143,tight range / ATR 比值,hist_gradient_boosting
13,generic_stoch_d,0.0019758355314503464,KDJ-D 值,hist_gradient_boosting
14,generic_bb_width,0.0018770437548778496,布林带宽度,hist_gradient_boosting
15,generic_mfi_14,0.001847406221906119,资金流量指数,hist_gradient_boosting
16,generic_compression_score,0.001842466633077448,"压缩体制分 [0, 1]",hist_gradient_boosting
17,feature_trend_score,0.0015658496586744193,趋势强弱分数,hist_gradient_boosting
18,generic_regime_conf,0.001294172273099951,首位 - 次位得分差,hist_gradient_boosting
19,feature_bp_bars_since_breakout,0.0007853946237515267,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
20,feature_atr_lower,0.0006322673700640546,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
21,generic_macd_dea,0.0005680527152919593,MACD 信号线,hist_gradient_boosting
22,feature_high,0.00046432134989079127,信号时点最高价,hist_gradient_boosting
23,feature_atr_ma,0.0004593817610622312,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
24,feature_don_upper_exit,0.0004593817610622312,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
25,feature_don_lower_exit,0.0004149254616045613,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
26,generic_breakout_mode_score,0.0004149254616045613,"突破模式整体分 [0, 1]",hist_gradient_boosting
27,feature_low,0.00029637532971752795,信号时点最低价,hist_gradient_boosting
28,feature_atr_upper,0.00019264396431639685,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
29,feature_don_atr20,0.00019264396431639685,Donchian 宽度/ATR20,hist_gradient_boosting
30,feature_don_upper_entry,0.00015312725368736105,Donchian 上轨入场价,hist_gradient_boosting
31,feature_bp_breakout_level,8.891259891522878e-05,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
32,feature_open,6.421465477213228e-05,信号时点开盘价,hist_gradient_boosting
33,generic_ema_20,3.457712180036469e-05,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
34,feature_don_lower_entry,1.975835531446239e-05,Donchian 下轨入场价,hist_gradient_boosting
35,feature_close,1.4818766485865295e-05,信号时点收盘价,hist_gradient_boosting
36,feature_atr_value,0.0,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
37,feature_bp_confirmed,0.0,突破回踩确认标记,hist_gradient_boosting
38,feature_breakout_score,0.0,突破质量分数,hist_gradient_boosting
39,feature_trend_dir,0.0,趋势方向编码,hist_gradient_boosting
40,generic_atr_14,0.0,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
41,generic_sma_20,0.0,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
