rank,feature,importance,feature_meaning,model_kind
1,generic_breakout_quality_score,0.07541320520167143,"突破质量分 [0, 1]",hist_gradient_boosting
2,generic_macd_dea,0.02236481772596936,MACD 信号线,hist_gradient_boosting
3,generic_compression_score,0.020601781626630584,"压缩体制分 [0, 1]",hist_gradient_boosting
4,feature_tr_range_atr,0.020588502675708553,tight range / ATR 比值,hist_gradient_boosting
5,feature_volume,0.016593581363707293,信号时点成交量,hist_gradient_boosting
6,generic_bb_width,0.015869367809575635,布林带宽度,hist_gradient_boosting
7,generic_stoch_k,0.015324930821772961,KDJ-K 值,hist_gradient_boosting
8,feature_trend_score,0.014269764952354103,趋势强弱分数,hist_gradient_boosting
9,feature_turnover,0.01304708000976503,信号时点成交额,hist_gradient_boosting
10,generic_mfi_14,0.012320823540106959,资金流量指数,hist_gradient_boosting
11,feature_atr14,0.010379032332202498,14周期 ATR 波动率,hist_gradient_boosting
12,generic_regime_conf,0.010285058217985163,首位 - 次位得分差,hist_gradient_boosting
13,generic_trend_score,0.008205370212044335,"综合趋势得分 [-1, 1]",hist_gradient_boosting
14,generic_context_score,0.007977585130843531,"大环境配合分 [0, 1]",hist_gradient_boosting
15,feature_bp_breakout_level,0.005801880095158918,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
16,feature_don_atr20,0.005660918923832914,Donchian 宽度/ATR20,hist_gradient_boosting
17,generic_setup_quality_score,0.005451520082370302,"形态质量分 [0, 1]",hist_gradient_boosting
18,feature_close,0.004678276555603452,信号时点收盘价,hist_gradient_boosting
19,feature_open_interest,0.0043268950850516115,信号时点持仓量,hist_gradient_boosting
20,feature_don_lower_exit,0.0038733678381764522,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
21,generic_rsi_14,0.003351402921164907,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
22,generic_macd_dif,0.0032206563274710756,MACD 快慢线差,hist_gradient_boosting
23,feature_don_lower_entry,0.0031440469952287073,Donchian 下轨入场价,hist_gradient_boosting
24,feature_breakout_score,0.0026486399800611147,突破质量分数,hist_gradient_boosting
25,generic_stoch_d,0.002626167909270024,KDJ-D 值,hist_gradient_boosting
26,feature_don_upper_entry,0.0024055330324118294,Donchian 上轨入场价,hist_gradient_boosting
27,generic_breakout_mode_score,0.0016711049006478869,"突破模式整体分 [0, 1]",hist_gradient_boosting
28,feature_high,0.0016047101460377282,信号时点最高价,hist_gradient_boosting
29,feature_low,0.0014913283343189383,信号时点最低价,hist_gradient_boosting
30,feature_atr_lower,0.001454555854842628,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
31,feature_don_upper_exit,0.0011062387575804244,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
32,feature_atr_ma,0.0006394325597832706,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
33,feature_open,0.0004320766338471449,信号时点开盘价,hist_gradient_boosting
34,feature_bp_confirmed,0.0001430040868524903,突破回踩确认标记,hist_gradient_boosting
35,feature_atr_upper,0.0001378967980362559,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
36,generic_ema_20,6.026600803066273e-05,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
37,feature_atr_value,0.0,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
38,feature_bp_bars_since_breakout,0.0,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
39,feature_trend_dir,0.0,趋势方向编码,hist_gradient_boosting
40,generic_atr_14,0.0,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
41,generic_sma_20,0.0,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
