rank,feature,importance,feature_meaning,model_kind
1,feature_don_atr20,0.11504541273361898,Donchian 宽度/ATR20,random_forest
2,generic_bb_width,0.10758304477182978,布林带宽度,random_forest
3,generic_mfi_14,0.055715773201854626,资金流量指数,random_forest
4,generic_context_score,0.045603030823705065,"大环境配合分 [0, 1]",random_forest
5,generic_rsi_14,0.041917825783883124,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
6,generic_trend_score,0.03857154784245988,"综合趋势得分 [-1, 1]",random_forest
7,generic_macd_dea,0.037155554666530914,MACD 信号线,random_forest
8,feature_volume,0.03616249201846501,信号时点成交量,random_forest
9,feature_trend_score,0.03462074191821539,趋势强弱分数,random_forest
10,feature_tr_range_atr,0.033253395369592126,tight range / ATR 比值,random_forest
11,generic_stoch_d,0.030941514935722905,KDJ-D 值,random_forest
12,feature_turnover,0.030256572396388348,信号时点成交额,random_forest
13,feature_breakout_score,0.029950824190539353,突破质量分数,random_forest
14,generic_setup_quality_score,0.02922763305781735,"形态质量分 [0, 1]",random_forest
15,generic_regime_conf,0.029131457020640586,首位 - 次位得分差,random_forest
16,generic_stoch_k,0.02592605654061199,KDJ-K 值,random_forest
17,generic_breakout_mode_score,0.024205699743571674,"突破模式整体分 [0, 1]",random_forest
18,generic_macd_dif,0.023727611814355593,MACD 快慢线差,random_forest
19,feature_atr14,0.023479387994843226,14周期 ATR 波动率,random_forest
20,feature_atr_value,0.021727272844477966,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
21,feature_open_interest,0.021684589597778442,信号时点持仓量,random_forest
22,generic_compression_score,0.019855328997723416,"压缩体制分 [0, 1]",random_forest
23,generic_atr_14,0.017719597182149775,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
24,feature_don_lower_entry,0.016902949478635236,Donchian 下轨入场价,random_forest
25,feature_don_upper_entry,0.012838199247864794,Donchian 上轨入场价,random_forest
26,generic_breakout_quality_score,0.011794894043120854,"突破质量分 [0, 1]",random_forest
27,feature_don_upper_exit,0.010294292504199066,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
28,feature_atr_lower,0.010263689078674474,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
29,feature_atr_upper,0.009925555284876392,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
30,feature_don_lower_exit,0.008908490505235029,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
31,feature_atr_ma,0.008578626739932297,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
32,feature_high,0.006946084228441931,信号时点最高价,random_forest
33,feature_close,0.006537002117765882,信号时点收盘价,random_forest
34,generic_ema_20,0.006520772910875588,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
35,feature_open,0.006095599600351419,信号时点开盘价,random_forest
36,generic_sma_20,0.005478307921253485,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
37,feature_low,0.0052109100214774075,信号时点最低价,random_forest
38,feature_trend_dir,0.00024226087052048572,趋势方向编码,random_forest
39,feature_bp_bars_since_breakout,0.0,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
40,feature_bp_breakout_level,0.0,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
41,feature_bp_confirmed,0.0,突破回踩确认标记,random_forest
