rank,feature,importance,feature_meaning,model_kind
1,generic_pa_swing_high_idx,0.19650579502964452,最近 swing high 索引,random_forest
2,generic_vol_ratio_5_20,0.03613026590371114,波动率比率,random_forest
3,feature_turnover,0.03263831632107401,信号时点成交额,random_forest
4,generic_pa_always_in_dir,0.02290308442784601,Always In 方向,random_forest
5,generic_hurst_20,0.022360663190005178,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
6,generic_vol_ma_10,0.016913312141973585,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
7,generic_pa_trend_bar_net,0.01548647615174856,趋势K线净占比,random_forest
8,generic_vol_ratio_10_60,0.014054723441322116,波动率比率,random_forest
9,generic_pa_channel_width_chg,0.013369612959886224,通道宽度变化率,random_forest
10,generic_pa_ii_pattern,0.012889776851380149,ii 模式,random_forest
11,generic_pa_channel_touch_20,0.012763440469520524,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
12,generic_pa_consec_bear,0.010229306546325005,连续阴线根数,random_forest
13,generic_pa_trend_channel_slope,0.009318734398084786,通道斜率,random_forest
14,generic_pa_support_density,0.009144389000890832,下方支撑密度,random_forest
15,generic_vol_ma_5,0.009082119301119454,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
16,generic_entropy_60,0.008963909745859332,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
17,generic_force_idx_13,0.008675368012005726,力量指数,random_forest
18,generic_pa_ema_slope_accel,0.008523661407913509,EMA 斜率加速度,random_forest
19,feature_open,0.007990893475251015,信号时点开盘价,random_forest
20,generic_transition_risk,0.007288725664285124,过渡风险分,random_forest
21,generic_vol_ma_20,0.006783422455774832,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
22,generic_pa_leg_ema_sep_20,0.006436251725635236,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
23,generic_entropy_20,0.00639145489108256,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
24,generic_hist_vol_60,0.006264182469230102,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
25,generic_vol_of_vol_20,0.006209017312524965,波动率的波动率,random_forest
26,generic_sma_120,0.006035648659874708,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
27,generic_ad_line,0.005802647824661476,A/D 累积分布线,random_forest
28,generic_pa_channel_width_atr,0.005795662704160431,通道宽度 / ATR,random_forest
29,generic_stoch_j,0.005663397642620182,KDJ-J 值,random_forest
30,generic_pa_pullback_retrace,0.005394436947945499,回调深度比,random_forest
