rank,feature,importance,feature_meaning,model_kind
1,feature_trend_score,0.05241226444145773,趋势强弱分数,random_forest
2,generic_rsi_14,0.03316103540348416,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
3,generic_pa_pullback_depth_20,0.032672903275051214,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
4,generic_price_pos_10,0.030332128386391818,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
5,generic_pa_range_zone_20,0.029547386159109134,区间位置分区,random_forest
6,generic_pa_ema_slope_20,0.02941483112511265,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
7,generic_roc_10,0.02649169114638347,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
8,generic_log_ret_1,0.02615498675939066,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
9,generic_log_ret_10,0.02606452444293438,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
10,generic_pa_dist_to_ema_20,0.023137352856867584,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
11,generic_pa_pb_overlap_20,0.023123006557055903,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
12,generic_pct_ret_1,0.023059461470076374,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
13,generic_rsi_3,0.02298660597613463,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
14,generic_bias_5,0.02290951753695562,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
15,generic_pa_always_in_dir,0.020200478837515128,Always In 方向,random_forest
16,generic_breakout_dist_atr_down_20,0.019997814228163657,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
17,generic_williams_r_14,0.01990104240575019,威廉 %R,random_forest
18,generic_bb_pctb,0.01980334940126549,布林带 %B,random_forest
19,generic_pa_space_ratio_ud,0.01978505147477715,上下空间比,random_forest
20,generic_cci_20,0.019761376069634837,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
21,generic_rsi_6,0.019727672139868535,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
22,generic_roc_20,0.019658676869159394,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
23,generic_zscore_close_10,0.01965560546324555,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
24,generic_cci_14,0.017042903817811844,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
25,generic_pa_pullback_depth_10,0.01668302540830904,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
26,generic_macd_hist,0.016476398306409186,MACD 柱状图,random_forest
27,generic_price_pos_20,0.016413888046444707,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
28,generic_bias_10,0.01640773913177043,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
29,generic_breakout_dist_atr_10,0.01640535679932963,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
30,generic_zscore_close_20,0.01635089916121982,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
31,generic_consecutive_days,0.01621292729072782,连涨/连跌天数,random_forest
32,generic_momentum_10,0.01424530040882088,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
33,generic_force_idx_13,0.013488354527128727,力量指数,random_forest
34,generic_breakout_dist_atr_20,0.013302060734155251,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
35,generic_bias_3,0.013179254477818685,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
36,generic_pa_pullback_depth_3,0.013163369240136313,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
37,generic_log_ret_20,0.013157486086827796,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
38,generic_momentum_20,0.013117860202422813,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
39,generic_supertrend_dir,0.01298315669247385,SuperTrend 方向,random_forest
40,generic_roc_ma_12_6,0.010140352011222473,ROC 移动平均,random_forest
41,generic_cci_3,0.010099348999842961,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
42,generic_stoch_k,0.00997554052897266,KDJ-K 值,random_forest
43,generic_pa_space_to_high_20,0.00994080258150533,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
44,generic_breakout_dist_atr_down_10,0.009830659918352537,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
45,generic_bias_20,0.009827549198114426,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
46,generic_mfi_14,0.009459298479664488,资金流量指数,random_forest
47,generic_price_pos_3,0.007083137216527177,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
