rank,feature,importance,feature_meaning,model_kind
1,generic_vol_ma_20,0.05712265081018339,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
2,generic_vol_ma_5,0.029360643377115792,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
3,generic_pa_bar_range_rel_3,0.028725877945525474,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
4,generic_pa_space_to_low_60,0.026012973211918883,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
5,generic_pa_space_to_low_20,0.024861134079314264,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
6,generic_range_height_atr_5,0.02263626469809491,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
7,generic_transition_risk,0.02047104108356461,过渡风险分,random_forest
8,generic_vol_ratio_5,0.01732339826825795,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
9,generic_momentum_5,0.017160943495109014,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
10,generic_htf_trend_score_day,0.01590173616753364,日线视角趋势得分,random_forest
11,generic_pa_bar_overlap_avg_5,0.01565756495776411,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
12,generic_vol_ma_10,0.014599271688631756,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
13,generic_dom,0.013779605617919159,日期,random_forest
14,generic_vol_of_vol_20,0.012419906996470265,波动率的波动率,random_forest
15,generic_regime_conf,0.011723763442802924,首位 - 次位得分差,random_forest
16,generic_zscore_close_10,0.011276124697357785,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
17,generic_days_to_month_end,0.01104399660479401,距月末天数,random_forest
18,generic_pa_bar_range_rel_10,0.010056278906588945,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
19,generic_hist_vol_10,0.009816758243060452,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
20,generic_ultimate_osc,0.009763058169176629,终极震荡指标,random_forest
21,generic_range_ratio_60,0.009002014005779083,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
