rank,feature,importance,feature_meaning,model_kind
1,generic_hurst_20,0.07619643490466164,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
2,generic_atr_5,0.07318130369606982,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
3,generic_pa_swing_high_idx,0.046623492159259566,最近 swing high 索引,random_forest
4,generic_ad_line,0.017964286740972828,A/D 累积分布线,random_forest
5,generic_pa_consec_bear,0.01787119006742135,连续阴线根数,random_forest
6,generic_pa_channel_width_atr,0.014374277524862294,通道宽度 / ATR,random_forest
7,generic_vol_ma_5,0.013542168294137976,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
8,generic_pa_leg_ema_sep_20,0.01237252731972094,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
9,generic_atr_3,0.011864450591275394,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
10,generic_htf_trend_score_day,0.01123832185239464,日线视角趋势得分,random_forest
11,generic_adx,0.010799429441539792,平均方向指数,random_forest
12,generic_pa_trend_channel_slope,0.010773706072152327,通道斜率,random_forest
13,generic_doy,0.009123059755820947,年内天序,random_forest
14,generic_range_ratio_60,0.008973759097711987,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
15,generic_pa_ltf_quality,0.008629198892550018,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
16,generic_atr_pct_zscore_252,0.008570238866978828,natr_14 的 252 日分位 zscore,random_forest
17,generic_obv_ma_20,0.008383487906787243,OBV 移动平均,random_forest
18,generic_rsi_3,0.008357383926358814,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
19,generic_tsi,0.008075354016353432,真实强度指数,random_forest
20,generic_pa_tight_channel_20,0.007927919585925727,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
21,generic_minus_di,0.007574844158092528,-DI 负方向指标,random_forest
22,generic_transition_risk,0.007350835939588218,过渡风险分,random_forest
23,generic_entropy_60,0.007166538565617223,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
24,generic_pa_range_shrinking_20,0.0071194905310394165,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
25,generic_pv_corr_20,0.007044279394066931,价量相关系数,random_forest
26,generic_pa_leg_range,0.0069581327539516725,当前腿幅度,random_forest
27,generic_sma_120,0.006849419779239071,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
28,generic_context_score,0.00676504354530062,"大环境配合分 [0, 1]",random_forest
29,generic_woy,0.006544216194665839,年内周序,random_forest
30,generic_pa_shadow_pressure_10,0.006450860737672178,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
31,generic_pa_trend_channel_top,0.006216357094797174,由近 3 swing high 拟合的上沿,random_forest
32,generic_range_height_atr_5,0.005978972064011158,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
33,generic_pa_leg_length,0.005918167725966075,当前腿长度,random_forest
34,generic_pa_ema_slope_60,0.005890969659684407,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
35,generic_avg_range_20,0.005828107116925191,平均振幅,random_forest
36,generic_natr_14,0.005779402573605908,标准化 ATR,random_forest
37,generic_pa_range_false_bo,0.005726394549208502,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
38,generic_range_ratio_10,0.005658217254999594,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
39,generic_vol_ma_20,0.005608740964978681,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
40,feature_volume,0.005581677247920673,信号时点成交量,random_forest
41,generic_pa_leg_body_cv_20,0.00552366840278582,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
42,generic_pa_leg_ema_sep_10,0.005287158279331276,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
43,generic_parkinson_vol_20,0.0052508534284507365,Parkinson 波动率,random_forest
44,generic_vol_ratio_10_60,0.0052326362570284035,波动率比率,random_forest
45,generic_pa_dist_measured_move,0.005205229915999548,距等距目标距离%,random_forest
46,generic_bb_width_zscore_252,0.0052051001525037326,bb_width 的 252 日 zscore,random_forest
47,generic_pa_leg_ratio,0.005179015935879881,腿幅比,random_forest
48,generic_slope_60,0.0051736372065770255,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
49,generic_bb_width,0.005129802930281696,布林带宽度,random_forest
50,generic_hist_vol_10,0.005057890576577082,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
51,generic_obv,0.0050313631155697106,能量潮,random_forest
52,generic_pa_ema_slope_accel,0.00481538858289359,EMA 斜率加速度,random_forest
53,generic_oi_ma_20,0.004769168816486303,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
54,generic_pa_resistance_density,0.00475040620202198,上方阻力密度,random_forest
55,generic_pa_swing_low_idx,0.004681015721082297,最近 swing low 索引,random_forest
56,generic_pa_bar_overlap_avg_10,0.004658992252272148,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
57,generic_entropy_20,0.004565618361450911,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
58,generic_pa_prior_leg_slope,0.004558674540215396,前腿斜率,random_forest
59,generic_pa_trend_bar_net,0.004515303021804419,趋势K线净占比,random_forest
60,generic_regime_age,0.004513883491528545,自上次切换以来的 bar 数,random_forest
61,generic_pa_dist_swing_low,0.00447228113496838,距最近 Swing Low,random_forest
62,generic_pa_space_to_low_60,0.004408883139772671,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
63,generic_pa_leg_accel_10,0.004280792743563919,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
64,generic_pa_momentum_decay,0.004218086844790638,动量衰减,random_forest
65,generic_pa_trading_range_20,0.004180957888573169,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
