rank,feature,importance,feature_meaning,model_kind
1,feature_trend_score,0.1559047517089994,趋势强弱分数,random_forest
2,generic_adx,0.041419359388008864,平均方向指数,random_forest
3,generic_pa_ema_slope_20,0.03765307900774785,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
4,generic_tsi,0.028697399112823294,真实强度指数,random_forest
5,generic_trend_score,0.02683475707429233,"综合趋势得分 [-1, 1]",random_forest
6,generic_rsi_24,0.023590107301708383,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
7,generic_bias_60,0.022160813012403698,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
8,generic_aroon_osc,0.019798141772147657,Aroon 震荡,random_forest
9,generic_zscore_close_60,0.019287938152563928,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
10,generic_macd_dif,0.018785796473968674,MACD 快慢线差,random_forest
11,generic_pa_leg_ema_sep_10,0.018474200412305214,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
12,generic_pa_dist_to_ema_60,0.018310934242137755,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
13,generic_pa_high_slope_20,0.018140218015392718,高点斜率,random_forest
14,generic_rsi_14,0.017404850254248892,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
15,generic_aroon_down,0.0173755408249058,Aroon 下行,random_forest
16,generic_price_pos_60,0.01618019210832397,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
17,generic_log_ret_20,0.016091986805523616,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
18,generic_macd_dea,0.013735355331273957,MACD 信号线,random_forest
19,generic_pa_pullback_depth_60,0.013431660554573923,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
20,generic_momentum_20,0.013347423583103023,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
21,generic_days_since_20d_low,0.013254806663227082,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
22,generic_pa_ema_slope_60,0.01320630693811459,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
23,generic_slope_20,0.010906073333151124,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
24,generic_breakout_dist_atr_20,0.010645226193399299,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
25,feature_trend_dir,0.010504221304498892,趋势方向编码,random_forest
26,generic_roc_20,0.010417955672901599,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
27,generic_minus_di,0.010313866331291232,-DI 负方向指标,random_forest
28,generic_aroon_up,0.01004874345518025,Aroon 上行,random_forest
29,generic_pa_leg_ema_sep_20,0.009729129573151304,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
30,generic_pct_ret_20,0.008862205372462868,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
31,generic_days_since_60d_low,0.008853306218159518,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
32,generic_pa_low_slope_20,0.00884316307308725,低点斜率,random_forest
33,generic_pa_space_to_low_60,0.007772882366490757,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
34,generic_pa_space_to_high_60,0.006702423432054999,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
35,generic_plus_di,0.00561754441439808,+DI 正方向指标,random_forest
36,generic_days_since_20d_high,0.005606412271031458,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
37,generic_breakout_dist_atr_down_20,0.005293735861755762,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
38,generic_pa_always_in_dir,0.005048192207609541,Always In 方向,random_forest
39,generic_pa_range_maturity_20,0.00499785828115394,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
40,generic_days_since_60d_high,0.004667751859325409,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
41,generic_slope_60,0.004042832028611315,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
42,generic_pa_expected_reward,0.003954995588824387,预期回报(ATR单位),random_forest
43,generic_range_height_atr_20,0.0037726669869400757,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
44,generic_pa_pb_overlap_20,0.0036985569354335153,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
45,generic_price_pos_20,0.003563036639849863,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
46,generic_setup_quality_score,0.0033281126679467316,"形态质量分 [0, 1]",random_forest
47,generic_roc_ma_12_6,0.0032967478584277807,ROC 移动平均,random_forest
48,generic_mtf_trend_score_30m,0.003282020414044147,30m 视角,random_forest
49,generic_pa_range_over_atr_20,0.0032213259851013,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
50,generic_pa_channel_width_chg,0.0032207252277778875,通道宽度变化率,random_forest
51,generic_ma_alignment,0.003212893537832984,均线排列,random_forest
