signal_type,window_id,split,model,model_kind,train_executed_count,train_non_executed_count,selected_params,selection_train_auc,selection_valid_auc,selection_auc_gap,split_start,split_end,split_sample_count,split_executed_count,split_non_executed_count,feature_count,feature_null_ratio_mean,feature_null_ratio_max,feature_null_feature_count,feature_all_null_count,label_ic_abs_mean,label_ic_abs_top,label_ic_top_feature,regime_ic_abs_mean,regime_ic_abs_top,regime_ic_top_feature,return_ic_abs_mean,return_ic_abs_top,return_ic_top_feature,auc,accuracy,precision,recall,f1,macro_f1,weighted_f1,direction_auc,mfe_mae_mae,mae_mae,mfe_rmse,mae_rmse,mfe_r2,mae_r2
atr_breakout,0,train,trade_filter,hist_gradient_boosting,11280,0,"{""l2_regularization"": 3.0, ""learning_rate"": 0.05, ""max_depth"": 2, ""max_iter"": 140, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 40}",0.5871166223332718,0.5241609022713283,0.0629557200619435,2010-01-06 11:00:00,2022-12-30 15:00:00,11280,11280,0,438,0.8906331973185663,0.9817375886524823,419,0,0.05097603852462992,0.20211028606039602,generic_htf_trend_score_day,0.3627712213221058,0.9500367367182992,generic_supertrend_dir,0.0548876267031087,0.21561266901089762,feature_bp_bars_since_breakout,0.5871166223332718,0.5300531914893617,0.6621098200045569,0.4321832242712671,0.5229910915144426,,,,,,,,,
atr_breakout,0,train,regime_classifier,random_forest,11280,0,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 6, ""max_features"": 0.6, ""min_samples_leaf"": 30, ""n_estimators"": 320}",1.0,1.0,0.0,2010-01-06 11:00:00,2022-12-30 15:00:00,11280,11280,0,438,0.8906331973185663,0.9817375886524823,419,0,0.05097603852462992,0.20211028606039602,generic_htf_trend_score_day,0.3627712213221058,0.9500367367182992,generic_supertrend_dir,0.0548876267031087,0.21561266901089762,feature_bp_bars_since_breakout,1.0,1.0,,,,1.0,1.0,,,,,,,
atr_breakout,0,train,mfe_mae,random_forest,11280,0,"{""max_depth"": 4, ""max_features"": 0.3, ""min_samples_leaf"": 40, ""min_samples_split"": 120, ""n_estimators"": 180}",0.5786532027374065,0.5296247814597372,0.049028421277669265,2010-01-06 11:00:00,2022-12-30 15:00:00,11280,11280,0,438,0.8906331973185663,0.9817375886524823,419,0,0.05097603852462992,0.20211028606039602,generic_htf_trend_score_day,0.3627712213221058,0.9500367367182992,generic_supertrend_dir,0.0548876267031087,0.21561266901089762,feature_bp_bars_since_breakout,,,,,,,,0.5786532027374065,1.8594252512033427,1.5655110952739708,2.877202952736558,2.1424620618576324,0.023681145021957617,0.024407052915377925
atr_breakout,0,valid,trade_filter,hist_gradient_boosting,11280,0,"{""l2_regularization"": 3.0, ""learning_rate"": 0.05, ""max_depth"": 2, ""max_iter"": 140, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 40}",0.5871166223332718,0.5241609022713283,0.0629557200619435,2023-01-03 09:00:00,2024-12-31 00:00:00,3292,3292,0,438,0.9011558392560907,0.9893681652490887,417,0,0.07772198596328994,0.21940275093419984,generic_force_idx_13,0.36180832636827326,0.8861635017395316,generic_supertrend_dir,0.05207848304672783,0.2314905385987085,generic_pa_range_over_atr_10,0.5241609022713283,0.4866342648845686,0.5986394557823129,0.19490586932447398,0.29406850459482037,,,,,,,,,
atr_breakout,0,valid,regime_classifier,random_forest,11280,0,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 6, ""max_features"": 0.6, ""min_samples_leaf"": 30, ""n_estimators"": 320}",1.0,1.0,0.0,2023-01-03 09:00:00,2024-12-31 00:00:00,3292,3292,0,438,0.9011558392560907,0.9893681652490887,417,0,0.07772198596328994,0.21940275093419984,generic_force_idx_13,0.36180832636827326,0.8861635017395316,generic_supertrend_dir,0.05207848304672783,0.2314905385987085,generic_pa_range_over_atr_10,1.0,1.0,,,,1.0,1.0,,,,,,,
atr_breakout,0,valid,mfe_mae,random_forest,11280,0,"{""max_depth"": 4, ""max_features"": 0.3, ""min_samples_leaf"": 40, ""min_samples_split"": 120, ""n_estimators"": 180}",0.5786532027374065,0.5296247814597372,0.049028421277669265,2023-01-03 09:00:00,2024-12-31 00:00:00,3292,3292,0,438,0.9011558392560907,0.9893681652490887,417,0,0.07772198596328994,0.21940275093419984,generic_force_idx_13,0.36180832636827326,0.8861635017395316,generic_supertrend_dir,0.05207848304672783,0.2314905385987085,generic_pa_range_over_atr_10,,,,,,,,0.5296247814597372,1.8219392881138072,1.605828581903595,2.4278659713917956,2.2402212557099395,0.0004933447917696565,0.0032258963308481325
atr_breakout,0,test,trade_filter,hist_gradient_boosting,11280,0,"{""l2_regularization"": 3.0, ""learning_rate"": 0.05, ""max_depth"": 2, ""max_iter"": 140, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 40}",0.5871166223332718,0.5241609022713283,0.0629557200619435,2024-12-31 10:00:00,2025-12-30 10:00:00,1617,1617,0,438,0.9005755062506531,0.9901051329622759,417,0,0.10775932131455569,0.35447990845702065,feature_bp_bars_since_breakout,0.38891654039674706,0.9942362632324556,generic_supertrend_dir,0.12720416773402293,0.35639097744360904,feature_breakout_score,0.5179480902585325,0.48917748917748916,0.5943775100401606,0.16953035509736541,0.2638146167557932,,,,,,,,,
atr_breakout,0,test,regime_classifier,random_forest,11280,0,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 6, ""max_features"": 0.6, ""min_samples_leaf"": 30, ""n_estimators"": 320}",1.0,1.0,0.0,2024-12-31 10:00:00,2025-12-30 10:00:00,1617,1617,0,438,0.9005755062506531,0.9901051329622759,417,0,0.10775932131455569,0.35447990845702065,feature_bp_bars_since_breakout,0.38891654039674706,0.9942362632324556,generic_supertrend_dir,0.12720416773402293,0.35639097744360904,feature_breakout_score,1.0,1.0,,,,1.0,1.0,,,,,,,
atr_breakout,0,test,mfe_mae,random_forest,11280,0,"{""max_depth"": 4, ""max_features"": 0.3, ""min_samples_leaf"": 40, ""min_samples_split"": 120, ""n_estimators"": 180}",0.5786532027374065,0.5296247814597372,0.049028421277669265,2024-12-31 10:00:00,2025-12-30 10:00:00,1617,1617,0,438,0.9005755062506531,0.9901051329622759,417,0,0.10775932131455569,0.35447990845702065,feature_bp_bars_since_breakout,0.38891654039674706,0.9942362632324556,generic_supertrend_dir,0.12720416773402293,0.35639097744360904,feature_breakout_score,,,,,,,,0.48868535146386827,1.9128746325010177,1.6638512318874055,2.6480811098497306,2.2127391320556966,-0.013421849638274974,0.0022507845985535457
breakout_pullback_continuation,0,train,trade_filter,hist_gradient_boosting,3748,4503,"{""l2_regularization"": 1.5, ""learning_rate"": 0.03, ""max_depth"": 4, ""max_iter"": 160, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 25}",0.741243111331608,0.723243723727127,0.017999387604481054,2010-01-13 11:00:00,2022-12-30 11:00:00,8251,3748,4503,438,0.874047368825918,0.9895770209671555,415,0,0.058356333123320475,0.3131134386010912,generic_vol_zscore_20,0.3681554454203437,0.9768675212864516,generic_supertrend_dir,0.06832007757573949,0.2894883348006215,feature_breakout_score,0.741243111331608,0.7003999515210277,0.5343021290976682,0.5910280373831776,0.5612353567625133,,,,,,,,,
