signal_type,window_id,model,model_kind,rank,feature,importance,feature_meaning
atr_breakout,0,trade_filter,hist_gradient_boosting,1,feature_bp_confirmed,0.01600131946565127,突破回踩确认标记
atr_breakout,0,trade_filter,hist_gradient_boosting,2,feature_open,0.012256128851487635,信号时点开盘价
atr_breakout,0,trade_filter,hist_gradient_boosting,3,feature_open_interest,0.010286200215270122,信号时点持仓量
atr_breakout,0,trade_filter,hist_gradient_boosting,4,feature_trend_score,0.00953919096326931,趋势强弱分数
atr_breakout,0,trade_filter,hist_gradient_boosting,5,feature_bp_bars_since_breakout,0.006063175539653372,未在 FEATURES.md 登记（自定义/衍生特征）
atr_breakout,0,trade_filter,hist_gradient_boosting,6,feature_high,0.005379830855137491,信号时点最高价
atr_breakout,0,trade_filter,hist_gradient_boosting,7,generic_breakout_quality_score,0.004998018352885565,"突破质量分 [0, 1]"
atr_breakout,0,trade_filter,hist_gradient_boosting,8,feature_don_atr20,0.0047730935347931975,Donchian 宽度/ATR20
atr_breakout,0,trade_filter,hist_gradient_boosting,9,feature_tr_range_atr,0.0035685389296586565,tight range / ATR 比值
atr_breakout,0,trade_filter,hist_gradient_boosting,10,feature_don_lower_entry,0.0033149300756663003,Donchian 下轨入场价
atr_breakout,0,regime_classifier,random_forest,1,feature_trend_score,0.8391830254842807,趋势强弱分数
atr_breakout,0,regime_classifier,random_forest,2,feature_trend_dir,0.15044776242932292,趋势方向编码
atr_breakout,0,regime_classifier,random_forest,3,generic_pa_dist_to_ema_60,0.002969588839765558,未在 FEATURES.md 登记（自定义/衍生特征）
atr_breakout,0,regime_classifier,random_forest,4,generic_rsi_24,0.001172905076009584,未在 FEATURES.md 登记（自定义/衍生特征）
atr_breakout,0,regime_classifier,random_forest,5,generic_zscore_close_60,0.0010014244338246681,未在 FEATURES.md 登记（自定义/衍生特征）
atr_breakout,0,regime_classifier,random_forest,6,generic_bias_60,0.0007014976272361197,未在 FEATURES.md 登记（自定义/衍生特征）
atr_breakout,0,regime_classifier,random_forest,7,generic_pa_pullback_depth_60,0.0006635054632522982,未在 FEATURES.md 登记（自定义/衍生特征）
atr_breakout,0,regime_classifier,random_forest,8,generic_rsi_14,0.0004886752319620871,未在 FEATURES.md 登记（自定义/衍生特征）
atr_breakout,0,regime_classifier,random_forest,9,generic_pa_ema_slope_20,0.00043876548742143305,未在 FEATURES.md 登记（自定义/衍生特征）
atr_breakout,0,regime_classifier,random_forest,10,generic_pa_htf_align,0.0002737032860732452,未在 FEATURES.md 登记（自定义/衍生特征）
atr_breakout,0,mfe_mae,random_forest,1,feature_bp_confirmed,0.12113674560521917,突破回踩确认标记
atr_breakout,0,mfe_mae,random_forest,2,feature_open_interest,0.10490272041352572,信号时点持仓量
atr_breakout,0,mfe_mae,random_forest,3,feature_bp_breakout_level,0.059392395641674936,未在 FEATURES.md 登记（自定义/衍生特征）
atr_breakout,0,mfe_mae,random_forest,4,feature_atr_value,0.05483648253089465,未在 FEATURES.md 登记（自定义/衍生特征）
atr_breakout,0,mfe_mae,random_forest,5,feature_bp_bars_since_breakout,0.05166744578741924,未在 FEATURES.md 登记（自定义/衍生特征）
