rank,feature,importance,feature_meaning,model_kind
1,generic_chaikin_osc,0.039680114614163625,佳庆震荡指标,random_forest
2,generic_pa_swing_high_idx,0.02759630808501172,最近 swing high 索引,random_forest
3,generic_pa_bar_overlap_avg_10,0.026426271804854604,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
4,generic_pa_swing_low_idx,0.02568404917073471,最近 swing low 索引,random_forest
5,generic_pa_overlap_ratio_20,0.018715732754466773,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
6,generic_oi_ma_20,0.017907845712314647,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
7,generic_hurst_20,0.015410392647733522,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
8,generic_vol_ma_20,0.01241340277930492,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
9,generic_htf_trend_score_day,0.011078584530307314,日线视角趋势得分,random_forest
10,generic_dom,0.011071200339519013,日期,random_forest
11,generic_month_sin,0.010897828189513445,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
12,generic_vol_ma_10,0.010255249071284642,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
13,generic_oi_concentration_20,0.009413763167753485,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
14,generic_vol_ratio_10_60,0.009332925719417327,波动率比率,random_forest
15,generic_pa_ema_slope_60,0.008872444054491549,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
16,generic_entropy_20,0.008537806366951988,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
17,generic_bb_width_zscore_252,0.00842309004784789,bb_width 的 252 日 zscore,random_forest
18,generic_slope_60,0.00841913095906374,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
19,generic_pa_trading_range_20,0.00839202154021115,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
20,generic_atr_pct_zscore_252,0.008250671250830878,natr_14 的 252 日分位 zscore,random_forest
21,generic_minus_di,0.007847254451882658,-DI 负方向指标,random_forest
22,generic_adx,0.007779359730258496,平均方向指数,random_forest
23,generic_oi_change_pct,0.007646204180375911,持仓量变化率,random_forest
24,generic_doy,0.007605528600737536,年内天序,random_forest
25,generic_context_score,0.0074867099483441725,"大环境配合分 [0, 1]",random_forest
26,generic_hurst_60,0.007454452819639102,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
27,generic_plus_di,0.0071342001790759765,+DI 正方向指标,random_forest
28,generic_pa_bar_overlap_avg_5,0.007057845747777641,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
29,generic_pa_shadow_pressure_10,0.006767752853308993,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
30,generic_days_to_month_end,0.006701011566049492,距月末天数,random_forest
31,generic_vol_of_vol_20,0.0066875373756653325,波动率的波动率,random_forest
32,feature_volume,0.006667461343477411,信号时点成交量,random_forest
33,generic_pa_trading_range_10,0.006560848094546148,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
34,generic_mtf_conflict_score,0.006421151827915437,多周期分歧度,random_forest
35,generic_vol_ma_5,0.006411385377280076,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
36,generic_transition_risk,0.006359737287458108,过渡风险分,random_forest
37,generic_natr_14,0.006265889716599929,标准化 ATR,random_forest
38,generic_ad_line,0.006141030474168351,A/D 累积分布线,random_forest
39,generic_entropy_60,0.0060695570248785295,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
40,generic_pa_leg_body_cv_5,0.005964510815725114,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
41,generic_pa_leg_ratio,0.0058555948554173815,腿幅比,random_forest
42,generic_cmf_20,0.005813525132215023,佳庆资金流,random_forest
43,generic_pa_trend_channel_slope,0.005722546699092403,通道斜率,random_forest
44,generic_mfi_14,0.005494172445603298,资金流量指数,random_forest
45,generic_days_since_60d_high,0.00548066943823763,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
46,generic_pa_pullback_retrace,0.005307280733977461,回调深度比,random_forest
47,generic_oi_acceleration_5,0.0051292667312362395,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
48,feature_turnover,0.004861546357601468,信号时点成交额,random_forest
49,generic_pa_leg_accel_10,0.0048372726256699205,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
50,generic_pa_dist_swing_high,0.004763181341417301,距最近 Swing High,random_forest
51,generic_pa_channel_width_atr,0.004722071803051784,通道宽度 / ATR,random_forest
52,generic_pa_dist_swing_low,0.004713234090214883,距最近 Swing Low,random_forest
53,generic_trend_score,0.00468627315923359,"综合趋势得分 [-1, 1]",random_forest
54,generic_pa_tight_channel_20,0.0046816213511293794,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
55,generic_aroon_osc,0.004524538249659306,Aroon 震荡,random_forest
56,generic_macd_dea,0.004504417605396384,MACD 信号线,random_forest
57,generic_pa_leg_ema_sep_10,0.004492937731133505,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
58,generic_regime_age,0.0044568760680880355,自上次切换以来的 bar 数,random_forest
59,generic_pa_range_shrinking_20,0.0044361046059471386,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
60,generic_pa_bar_range_rel_3,0.0044310176088907804,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
61,generic_pa_leg_body_cv_20,0.004387319941055691,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
62,generic_price_pos_60,0.004347099235325639,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
63,generic_hist_vol_3,0.004344888066209749,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
64,generic_pv_corr_20,0.004313550391354996,价量相关系数,random_forest
65,generic_hist_vol_10,0.0042876962663257,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
66,generic_range_ratio_60,0.004220289557769658,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
