rank,feature,importance,feature_meaning,model_kind
1,feature_trend_score,0.8391830254842807,趋势强弱分数,random_forest
2,feature_trend_dir,0.15044776242932292,趋势方向编码,random_forest
3,generic_pa_dist_to_ema_60,0.002969588839765558,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
4,generic_rsi_24,0.001172905076009584,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
5,generic_zscore_close_60,0.0010014244338246681,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
6,generic_bias_60,0.0007014976272361197,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
7,generic_pa_pullback_depth_60,0.0006635054632522982,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
8,generic_rsi_14,0.0004886752319620871,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
9,generic_pa_ema_slope_20,0.00043876548742143305,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
10,generic_pa_htf_align,0.0002737032860732452,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
11,feature_volume,0.00025075524555483256,信号时点成交量,random_forest
12,generic_pa_tf_conflict,0.00022553841696582836,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
13,feature_don_lower_entry,0.0002153290624919967,Donchian 下轨入场价,random_forest
14,feature_atr14,0.0001967364916508975,14周期 ATR 波动率,random_forest
15,feature_don_upper_entry,0.00016390904318351978,Donchian 上轨入场价,random_forest
16,feature_bp_confirmed,0.00015556861148680233,突破回踩确认标记,random_forest
17,feature_close,0.0001489666324605726,信号时点收盘价,random_forest
18,feature_open_interest,0.00014084170027267625,信号时点持仓量,random_forest
19,feature_don_atr20,0.00012410678662974338,Donchian 宽度/ATR20,random_forest
20,feature_atr_value,0.00012043849483351776,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
21,feature_turnover,9.864001310496922e-05,信号时点成交额,random_forest
22,feature_don_upper_exit,9.184689538344873e-05,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
23,feature_tr_range_atr,7.670385906084664e-05,tight range / ATR 比值,random_forest
24,generic_pct_ret_20,6.358100753410513e-05,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
25,generic_price_pos_60,5.128515096823802e-05,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
26,generic_pa_always_in_dir,4.9854890962821574e-05,Always In 方向,random_forest
27,generic_minus_di,4.833455398982984e-05,-DI 负方向指标,random_forest
28,generic_mtf_trend_score_30m,4.482067896777974e-05,30m 视角,random_forest
29,generic_cci_3,4.159582440429409e-05,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
30,generic_slope_20,4.100755801893135e-05,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
31,feature_low,4.0424861591355246e-05,信号时点最低价,random_forest
32,feature_high,3.0426336922131643e-05,信号时点最高价,random_forest
33,feature_open,3.0425174528126222e-05,信号时点开盘价,random_forest
34,generic_pa_space_to_high_60,3.0362374998555437e-05,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
35,generic_tsi,2.9364007867498623e-05,真实强度指数,random_forest
36,generic_pa_leg_ema_sep_10,2.8814163131885705e-05,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
37,feature_don_lower_exit,2.8384403155091774e-05,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
38,generic_pa_space_to_low_60,2.763062501486288e-05,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
39,feature_atr_lower,2.198242633510377e-05,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
40,feature_atr_upper,2.0217892323835956e-05,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
41,feature_atr_ma,1.2567835717483028e-05,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
42,generic_bb_pctb,7.231267966727052e-06,布林带 %B,random_forest
43,generic_pa_trend_channel_slope,5.601705888427799e-07,通道斜率,random_forest
44,generic_bias_10,3.229908223947346e-07,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
45,generic_plus_di,1.4681336514948854e-07,+DI 正方向指标,random_forest
46,generic_stoch_k,1.3593170980573284e-07,KDJ-K 值,random_forest
47,generic_oi_ma_20,1.0720875306363141e-07,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
48,generic_aroon_down,7.998153836283077e-08,Aroon 下行,random_forest
49,generic_pa_close_pos_bias_5,5.8640550601824576e-08,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
50,generic_pa_leg_close_cons_10,1.6229012394733417e-08,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
51,generic_pa_high_slope_20,1.4940219078879156e-08,高点斜率,random_forest
52,generic_macd_dea,1.1446776011452092e-08,MACD 信号线,random_forest
53,generic_macd_hist,1.324655453679868e-15,MACD 柱状图,random_forest
54,generic_micro_channel_stop_short,1.2723253637077109e-15,微通道上沿止损,random_forest
55,feature_bp_breakout_level,1.24449946486575e-15,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
56,generic_pa_leg_accel_10,1.1651191293007064e-15,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
57,generic_gap,1.0475750696732407e-15,缺口,random_forest
58,generic_pa_bpb_flag,9.882719642637376e-16,breakout-pullback-continuation,random_forest
59,generic_pa_leg_body_cv_10,9.380577093226222e-16,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
60,generic_consecutive_ll_5,9.373330733193831e-16,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
61,generic_aroon_osc,7.787246315410139e-16,Aroon 震荡,random_forest
62,feature_bp_bars_since_breakout,7.003319120117213e-16,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
63,generic_pa_tight_channel_20,6.693683812574024e-16,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
64,generic_mtf_trend_score_60m,6.564193633095345e-16,60m 视角趋势得分,random_forest
65,generic_pa_higher_low,6.210310043996201e-16,Higher Low,random_forest
66,generic_pa_leg_close_cons_20,6.047098861400996e-16,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
67,generic_pa_doji_density_5,5.918876500031923e-16,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
68,generic_pa_leg_ema_sep_20,5.884376946312291e-16,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
69,generic_days_since_3d_high,5.416997176587258e-16,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
70,generic_oi_ma_5,4.824489680751679e-16,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
71,generic_gk_vol_20,4.796013552005835e-16,Garman-Klass 波动率,random_forest
72,generic_pa_doji_density_10,4.731553633076452e-16,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
73,generic_pa_expected_rr,4.593547764385485e-16,预期风险回报比,random_forest
74,generic_pa_breakout_strength_3,4.548771548364978e-16,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
75,generic_pa_close_pos_bias_10,4.483570297118334e-16,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
76,generic_vol_regime_3,4.460828892652206e-16,波动率体制分类,random_forest
