rank,feature,importance,feature_meaning,model_kind
1,generic_pa_swing_high_idx,0.03046831707748861,最近 swing high 索引,hist_gradient_boosting
2,generic_pa_swing_low_idx,0.03028744439823709,最近 swing low 索引,hist_gradient_boosting
3,generic_pa_bar_range_rel_3,0.010737831336575835,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
4,generic_oi_change_pct,0.010362118975813775,持仓量变化率,hist_gradient_boosting
5,generic_pa_bar_overlap_avg_10,0.009166543582459311,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
6,generic_trend_score,0.008482509646833872,"综合趋势得分 [-1, 1]",hist_gradient_boosting
7,generic_htf_trend_score_day,0.007318010833505399,日线视角趋势得分,hist_gradient_boosting
8,generic_pa_inside_bar_ratio_10,0.006826023178938656,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
9,generic_oi_concentration_20,0.006775043620693884,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
10,generic_entropy_20,0.006131164816562655,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
11,generic_mtf_conflict_score,0.0058546181718381884,多周期分歧度,hist_gradient_boosting
12,generic_pa_channel_width_atr,0.0056744438426994765,通道宽度 / ATR,hist_gradient_boosting
13,generic_pa_tight_channel_20,0.00535355196580319,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
14,generic_is_month_start,0.005263464801233926,月度首个交易日,hist_gradient_boosting
15,feature_bp_confirmed,0.005186995463866843,突破回踩确认标记,hist_gradient_boosting
16,generic_dom,0.004873087088100044,日期,hist_gradient_boosting
17,generic_transition_risk,0.004782301573417709,过渡风险分,hist_gradient_boosting
18,generic_bb_width_zscore_252,0.004493184626660263,bb_width 的 252 日 zscore,hist_gradient_boosting
19,generic_hurst_60,0.004439411667963948,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
20,generic_pa_pullback_retrace,0.0042595865138816595,回调深度比,hist_gradient_boosting
21,generic_price_pos_20,0.00405496993079002,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
22,generic_pa_leg_body_cv_10,0.003998403571641866,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
23,generic_pa_trend_bar_cluster_20,0.003913204857863099,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
24,generic_range_ratio_60,0.0038974919803219286,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
25,generic_regime_conf,0.003852099222980835,首位 - 次位得分差,hist_gradient_boosting
26,generic_vol_ma_5,0.0038255619186890653,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
27,generic_pa_scalp_score,0.0038046114153008257,Scalp可行性,hist_gradient_boosting
28,generic_entropy_60,0.00353400074653624,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
29,generic_pa_bar_since_sig,0.0034121386518281747,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
30,generic_pa_range_false_bo,0.0033695392949388467,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
31,generic_atr_pct_zscore_252,0.003356968992905829,natr_14 的 252 日分位 zscore,hist_gradient_boosting
32,generic_pa_close_pos_bias_10,0.00321799732043071,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
