rank,feature,importance,feature_meaning,model_kind
1,generic_bias_3,0.033275462399238315,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
2,generic_pa_bar_overlap_avg_5,0.02838007445617867,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
3,generic_range_height_atr_5,0.02580595727089672,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
4,generic_natr_14,0.023246964670891143,标准化 ATR,random_forest
5,generic_oi_ma_20,0.021587660038475807,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
6,generic_pa_channel_age_20,0.020690033781675634,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
7,generic_zscore_close_10,0.017384357077331467,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
8,generic_pa_ema_slope_60,0.01402698438480671,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
9,generic_pa_bar_overlap,0.013637990614584957,相邻K线重叠度,random_forest
10,generic_cci_14,0.012659391188757954,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
11,generic_htf_trend_score_day,0.011941821860537247,日线视角趋势得分,random_forest
12,generic_oi_concentration_20,0.011362366424443375,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
13,generic_context_score,0.01091337493685559,"大环境配合分 [0, 1]",random_forest
14,generic_pa_channel_width_chg,0.009956570615022298,通道宽度变化率,random_forest
15,generic_hurst_60,0.009926965935847534,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
16,generic_atr_pct_zscore_252,0.009400788235739081,natr_14 的 252 日分位 zscore,random_forest
17,generic_minus_di,0.008833027467566631,-DI 负方向指标,random_forest
18,generic_vol_of_vol_20,0.008172596419091573,波动率的波动率,random_forest
19,generic_pa_leg_ratio,0.008040366367760126,腿幅比,random_forest
20,generic_setup_quality_score,0.007888601622122328,"形态质量分 [0, 1]",random_forest
21,generic_pa_bar_range_rel_3,0.007817262604005067,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
22,generic_month_sin,0.0076417944837496015,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
23,generic_transition_risk,0.007544401098521128,过渡风险分,random_forest
24,generic_hurst_20,0.007331192617558541,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
25,generic_mfi_14,0.00731267109902224,资金流量指数,random_forest
