rank,feature,importance,feature_meaning,model_kind
1,feature_trend_score,0.06001535021634266,趋势强弱分数,random_forest
2,generic_pa_ema_slope_20,0.049901419372888334,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
3,generic_log_ret_20,0.049697743950343966,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
4,generic_cci_20,0.049396290645903236,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
5,generic_pa_dist_to_ema_60,0.03674627669657616,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
6,generic_rsi_6,0.03628460218801016,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
7,generic_momentum_20,0.03291915435104508,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
8,generic_pa_pullback_depth_20,0.03284207077978146,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
9,generic_zscore_close_10,0.029593387111444092,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
10,generic_zscore_close_20,0.02637194991564787,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
11,generic_log_ret_10,0.026339995792073006,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
12,generic_bb_pctb,0.026312897262641074,布林带 %B,random_forest
13,generic_bias_10,0.023412792230581014,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
14,generic_roc_20,0.023257711183630174,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
15,generic_rsi_14,0.023062990647520588,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
16,generic_rsi_3,0.023059041141318154,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
17,generic_rsi_24,0.019892974246749275,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
18,generic_pa_always_in_dir,0.019868925049827513,Always In 方向,random_forest
19,generic_aroon_osc,0.019845773987315476,Aroon 震荡,random_forest
20,generic_pa_dist_to_ema_20,0.01977450845242118,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
21,generic_cci_14,0.019746526598323908,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
22,generic_price_pos_20,0.01971233912616959,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
23,generic_bias_60,0.019703167617378566,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
24,generic_macd_dif,0.016678451520457393,MACD 快慢线差,random_forest
25,generic_tsi,0.01449478518852807,真实强度指数,random_forest
26,generic_pa_ema_slope_60,0.013438563035158406,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
27,generic_pct_ret_20,0.0133533534074114,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
28,generic_zscore_close_60,0.013307299052991089,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
29,generic_bias_20,0.013288879642972677,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
30,generic_pct_ret_5,0.013233720720802143,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
31,generic_momentum_10,0.013218341076978932,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
32,generic_pct_ret_10,0.0131599373181564,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
33,generic_williams_r_14,0.013095424452334902,威廉 %R,random_forest
34,generic_price_pos_60,0.009957404964608113,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
35,generic_pa_pullback_depth_60,0.009918688006800302,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
36,generic_roc_10,0.00991624571630011,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
37,generic_momentum_5,0.00980080258390671,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
38,generic_pa_pullback_depth_10,0.009797637665842497,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
39,generic_pa_pb_overlap_20,0.0067325178500156554,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
40,generic_slope_20,0.006537277044432236,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
41,generic_force_idx_13,0.006530931171392513,力量指数,random_forest
42,generic_slope_10,0.0065288210437739295,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
43,generic_breakout_dist_atr_20,0.006461625813463981,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
44,generic_macd_dea,0.006370610461095983,MACD 信号线,random_forest
45,generic_breakout_dist_atr_down_10,0.006154063081546473,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
46,generic_roc_5,0.003626922771621058,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
47,generic_aroon_up,0.003464307120336756,Aroon 上行,random_forest
48,generic_stoch_k,0.0034481795826005316,KDJ-K 值,random_forest
49,generic_bias_5,0.003398563629263987,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
50,generic_days_since_20d_high,0.0033408972524434986,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
51,generic_log_ret_5,0.003335662269212553,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
52,generic_breakout_dist_atr_down_20,0.0033242845673615447,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
53,generic_trend_score,0.0033175601140340064,"综合趋势得分 [-1, 1]",random_forest
54,generic_roc_ma_12_6,0.0033005864879834465,ROC 移动平均,random_forest
55,generic_price_pos_10,0.003290014098620745,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
56,generic_pa_range_zone_20,0.0032249341708156156,区间位置分区,random_forest
57,generic_log_ret_3,0.0032195600127951107,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
58,generic_aroon_down,0.0032093746192065516,Aroon 下行,random_forest
59,generic_supertrend_dir,0.0031949176247008967,SuperTrend 方向,random_forest
60,generic_stoch_d,0.003178217792620957,KDJ-D 值,random_forest
61,generic_roc_3,0.003176213272637922,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
62,generic_days_since_60d_high,0.003169751404512085,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
63,generic_pa_low_slope_20,0.0031309824311465716,低点斜率,random_forest
64,generic_momentum_3,0.003112054009076895,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
65,generic_mfi_14,0.002889033853532279,资金流量指数,random_forest
66,generic_macd_hist,0.0028647304191843524,MACD 柱状图,random_forest
67,generic_pa_lh_ll_count_3,0.0025331554003108717,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
68,generic_pa_double_top_20,0.002310667738701861,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
69,generic_pa_leg_ema_sep_10,0.00016796938368384486,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
70,generic_consecutive_days,0.0001490371781465485,连涨/连跌天数,random_forest
71,generic_pa_breakout_pullback_20,0.00014704037693531556,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
72,generic_minus_di,0.00014526008016656924,-DI 负方向指标,random_forest
73,generic_plus_di,0.00012027113118152819,+DI 正方向指标,random_forest
74,generic_ma_alignment,0.00011768638224079304,均线排列,random_forest
75,generic_days_since_20d_low,0.00010750030492671234,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
76,generic_pa_space_to_high_60,0.00010202788985290309,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
77,generic_pa_expected_reward,9.167325231319782e-05,预期回报(ATR单位),random_forest
78,generic_pa_high_slope_20,9.162976992244574e-05,高点斜率,random_forest
