rank,feature,importance,feature_meaning,model_kind
1,generic_pa_dist_swing_high,0.10983524869515855,距最近 Swing High,hist_gradient_boosting
2,generic_pa_dist_swing_low,0.0723038797691451,距最近 Swing Low,hist_gradient_boosting
3,generic_pa_swing_low_idx,0.028377778117554747,最近 swing low 索引,hist_gradient_boosting
4,generic_pa_swing_high_idx,0.024259681584573294,最近 swing high 索引,hist_gradient_boosting
5,feature_bp_bars_since_breakout,0.014688949238501134,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
6,generic_hurst_20,0.004489368183470195,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
7,generic_pa_close_position,0.003176391670812554,收盘位置,hist_gradient_boosting
8,generic_oi_acceleration_5,0.0029321443231310473,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
9,feature_open_interest,0.0028019836177854605,信号时点持仓量,hist_gradient_boosting
10,generic_bias_3,0.0023977797406430357,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
11,generic_mtf_conflict_score,0.0019390808693951305,多周期分歧度,hist_gradient_boosting
12,generic_aroon_down,0.0018943871332222084,Aroon 下行,hist_gradient_boosting
13,generic_cci_14,0.0018579264537128177,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
14,generic_breakout_mode_score,0.0015960368417523945,"突破模式整体分 [0, 1]",hist_gradient_boosting
15,generic_atr_3,0.001547030552089157,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
16,generic_atr_pct_zscore_252,0.001518410878925865,natr_14 的 252 日分位 zscore,hist_gradient_boosting
17,generic_pa_bar_range_rel_10,0.0015066493694066985,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
18,generic_woy,0.0013118003617056024,年内周序,hist_gradient_boosting
19,generic_context_score,0.0012925898961576217,"大环境配合分 [0, 1]",hist_gradient_boosting
20,generic_pa_pullback_bar_ratio,0.0012624020217250804,回调K线数比,hist_gradient_boosting
21,generic_mfi_14,0.0012478961599847367,资金流量指数,hist_gradient_boosting
22,generic_pa_leg_body_cv_20,0.0011287128635237471,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
23,generic_log_ret_1,0.00108519527830279,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
24,generic_pa_bo_vol_ratio_20,0.0010369730892741587,突破量比,hist_gradient_boosting
25,generic_dow,0.0010201149256300706,星期几,hist_gradient_boosting
26,generic_pa_double_top_60,0.0009816939945340348,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
27,generic_oi_concentration_20,0.000959739176764877,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
28,generic_entropy_60,0.0009436651137554319,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
29,generic_pa_bar_range_rel_3,0.0009377843589957932,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
30,generic_breakout_dist_atr_20,0.0009064203336112872,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
31,generic_ultimate_osc,0.0009017157298036871,终极震荡指标,hist_gradient_boosting
