rank,feature,importance,feature_meaning,model_kind
1,feature_bp_confirmed,0.03711262095520632,突破回踩确认标记,random_forest
2,generic_vol_ma_20,0.035787497182500044,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
3,generic_vol_ma_10,0.03186910513358921,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
4,generic_natr_14,0.0283754358208596,标准化 ATR,random_forest
5,generic_vol_ma_5,0.019713978448144532,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
6,generic_pa_bar_overlap_avg_10,0.016729715444952286,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
7,generic_htf_trend_score_day,0.015348596604357287,日线视角趋势得分,random_forest
8,feature_trend_score,0.014896250179913213,趋势强弱分数,random_forest
9,generic_pa_ema_slope_60,0.014253868038832499,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
10,generic_oi_ma_20,0.01299909363300215,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
11,generic_slope_60,0.012862460659129526,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
12,generic_month_sin,0.0118474193336741,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
13,generic_atr_pct_zscore_252,0.011608298974564734,natr_14 的 252 日分位 zscore,random_forest
14,generic_pa_trend_channel_slope,0.010795297154017766,通道斜率,random_forest
15,generic_pa_leg_ratio,0.01070842525945442,腿幅比,random_forest
16,generic_hurst_20,0.009880947465955872,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
17,generic_context_score,0.00974565893562026,"大环境配合分 [0, 1]",random_forest
18,generic_avg_range_20,0.009511327928929132,平均振幅,random_forest
19,generic_pa_dist_measured_move,0.009094309678292313,距等距目标距离%,random_forest
20,generic_pa_leg_ema_sep_20,0.00893952522077098,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
21,generic_pa_overlap_ratio_20,0.008861219752058792,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
22,generic_chaikin_osc,0.008850858665012581,佳庆震荡指标,random_forest
23,generic_pa_bar_overlap_avg_5,0.008321872230311025,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
24,generic_doy,0.008013632204996667,年内天序,random_forest
