rank,feature,importance,feature_meaning,model_kind
1,feature_trend_score,0.06610730933634508,趋势强弱分数,random_forest
2,generic_pa_dist_to_ema_60,0.04544658791434346,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
3,generic_momentum_3,0.03568755970055188,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
4,generic_roc_3,0.032349147831018235,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
5,generic_log_ret_20,0.02919360390786631,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
6,generic_rsi_24,0.026407665898746123,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
7,generic_roc_10,0.026138735688614547,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
8,generic_aroon_osc,0.023157907837688736,Aroon 震荡,random_forest
9,generic_zscore_close_10,0.022844878805918012,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
10,generic_rsi_6,0.022839189765825593,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
11,generic_log_ret_3,0.022719637576777058,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
12,generic_bias_3,0.02271613773708734,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
13,generic_momentum_20,0.022697423676771907,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
14,generic_pa_space_to_high_20,0.022665228127356378,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
15,generic_aroon_down,0.019806086277172782,Aroon 下行,random_forest
16,generic_cci_14,0.019659004583545373,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
17,generic_pa_pullback_depth_3,0.019536637479510278,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
18,generic_roc_20,0.019509570817948147,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
19,generic_log_ret_10,0.019482629584919513,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
20,generic_pct_ret_3,0.019470682762414253,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
21,generic_momentum_5,0.01946597327643818,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
22,generic_bias_5,0.01945215533829789,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
23,generic_rsi_14,0.016661683518128145,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
24,generic_bias_10,0.016358907486278287,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
25,generic_rsi_3,0.016346009607996623,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
26,generic_log_ret_5,0.016289012211645377,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
27,generic_pa_breakout_down_20,0.016230720907580966,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
28,generic_log_ret_1,0.016223779823898585,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
29,generic_bb_pctb,0.016214213754224306,布林带 %B,random_forest
30,generic_momentum_10,0.016167608685457528,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
31,generic_days_since_20d_low,0.013185423883738218,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
