rank,feature,importance,feature_meaning,model_kind
1,generic_pa_dist_swing_high,0.1291373526143101,距最近 Swing High,hist_gradient_boosting
2,generic_pa_dist_swing_low,0.0945173445120265,距最近 Swing Low,hist_gradient_boosting
3,generic_pa_swing_high_idx,0.05008856259155836,最近 swing high 索引,hist_gradient_boosting
4,generic_pa_swing_low_idx,0.03042988901195154,最近 swing low 索引,hist_gradient_boosting
5,generic_vol_zscore_20,0.00763288052251702,成交量 Z-Score,hist_gradient_boosting
6,generic_context_score,0.006513971239257048,"大环境配合分 [0, 1]",hist_gradient_boosting
7,generic_dow,0.006366012385999653,星期几,hist_gradient_boosting
8,generic_pa_follow_through_3,0.004609887338551166,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
9,generic_price_pos_3,0.004402366774397796,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
10,generic_oi_acceleration_5,0.0037623147382617552,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
11,generic_oi_ma_5,0.0035514851901697155,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
12,generic_htf_trend_score_day,0.0033803634493416355,日线视角趋势得分,hist_gradient_boosting
13,generic_pa_shadow_pressure_10,0.0032995296988398795,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
14,generic_transition_risk,0.0032040418766099052,过渡风险分,hist_gradient_boosting
15,generic_hurst_20,0.0030650645511859365,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
16,generic_macd_hist,0.0027568563328989417,MACD 柱状图,hist_gradient_boosting
17,generic_days_to_month_end,0.0026164608715013213,距月末天数,hist_gradient_boosting
18,generic_pa_leg_accel_10,0.00253042728909599,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
19,generic_oi_concentration_20,0.002522391185244851,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
20,generic_obv_ma_20,0.002461884050366588,OBV 移动平均,hist_gradient_boosting
21,generic_hurst_60,0.002421230819120009,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
22,generic_doy,0.0023621418202152875,年内天序,hist_gradient_boosting
23,generic_macd_dif,0.0023432333405658166,MACD 快慢线差,hist_gradient_boosting
24,feature_bp_confirmed,0.0020832417453850636,突破回踩确认标记,hist_gradient_boosting
25,generic_range_ratio_60,0.0020336069863050588,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
26,generic_pa_shadow_pressure_5,0.0019612820516456964,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
27,generic_pa_channel_width_atr,0.0019253559403117348,通道宽度 / ATR,hist_gradient_boosting
28,generic_rsi_3,0.0018837572850827211,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
29,generic_chaikin_osc,0.0017986691266598613,佳庆震荡指标,hist_gradient_boosting
30,generic_dom,0.001689945368675246,日期,hist_gradient_boosting
31,generic_atr_pct_zscore_252,0.0015864214425940215,natr_14 的 252 日分位 zscore,hist_gradient_boosting
