rank,feature,importance,feature_meaning,model_kind
1,generic_pa_leg_close_cons_10,0.040578410191911024,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
2,generic_pa_close_pos_bias_10,0.03825994402283568,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
3,generic_atr_pct_zscore_252,0.029076401437724823,natr_14 的 252 日分位 zscore,random_forest
4,generic_pa_consec_bear,0.026832930035558856,连续阴线根数,random_forest
5,generic_pa_bar_overlap_avg_10,0.01749044854171102,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
6,generic_natr_14,0.017059104998597224,标准化 ATR,random_forest
7,generic_entropy_60,0.016692558277932246,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
8,generic_oi_ma_20,0.016028066572032863,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
9,generic_htf_trend_score_day,0.015775969709426935,日线视角趋势得分,random_forest
10,generic_pa_bar_overlap_avg_5,0.01293837030530697,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
11,generic_avg_range_20,0.012518123937353798,平均振幅,random_forest
12,generic_range_ratio_60,0.011911645378796477,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
13,generic_vol_ma_20,0.011119395391976868,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
14,generic_dom,0.01044077378677677,日期,random_forest
15,generic_pv_corr_20,0.009370080940027743,价量相关系数,random_forest
16,generic_hist_vol_60,0.008829383602153644,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
17,generic_pa_leg_body_cv_20,0.008757719838086429,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
18,generic_transition_risk,0.008314974662436964,过渡风险分,random_forest
19,generic_days_to_month_end,0.00827466367753937,距月末天数,random_forest
20,generic_vol_of_vol_20,0.007679652420517555,波动率的波动率,random_forest
21,generic_pa_range_maturity_20,0.0075326826858788925,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
22,generic_mtf_conflict_score,0.007471533206719227,多周期分歧度,random_forest
23,generic_pa_swing_high_idx,0.007367647999455501,最近 swing high 索引,random_forest
24,generic_regime_age,0.007352560131174357,自上次切换以来的 bar 数,random_forest
25,generic_pa_trading_range_10,0.007348250893356866,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
26,generic_pa_overlap_ratio_20,0.007270229417114044,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
27,generic_pa_swing_low_idx,0.007219082707040356,最近 swing low 索引,random_forest
