rank,feature,importance,feature_meaning,model_kind
1,feature_trend_score,0.2335796614605675,趋势强弱分数,random_forest
2,generic_adx,0.059559917739320165,平均方向指数,random_forest
3,generic_pa_ema_slope_20,0.046242346645897214,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
4,generic_trend_score,0.03908776903227442,"综合趋势得分 [-1, 1]",random_forest
5,generic_tsi,0.03476871420163879,真实强度指数,random_forest
6,generic_bias_60,0.024400904970241406,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
7,generic_rsi_24,0.02419345149968066,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
8,generic_pa_dist_to_ema_60,0.021905785462367384,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
9,generic_pa_ema_slope_60,0.021310475384673407,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
10,generic_log_ret_20,0.02104767177513445,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
11,generic_zscore_close_60,0.020850409886909366,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
12,generic_aroon_osc,0.019553139541293847,Aroon 震荡,random_forest
13,generic_rsi_14,0.01910611266741766,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
14,generic_macd_dif,0.01890067432134558,MACD 快慢线差,random_forest
15,generic_pa_pullback_depth_60,0.01720849339246127,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
16,generic_pa_leg_ema_sep_10,0.015452792706630698,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
17,generic_roc_20,0.014333657903737786,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
18,generic_aroon_up,0.014170635525592414,Aroon 上行,random_forest
19,generic_macd_dea,0.013968666682514513,MACD 信号线,random_forest
20,generic_days_since_20d_low,0.013927683086511008,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
21,generic_pct_ret_20,0.013623168995322284,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
22,generic_aroon_down,0.012797496458249779,Aroon 下行,random_forest
23,generic_price_pos_60,0.01238878522701861,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
24,generic_days_since_20d_high,0.011577305041437096,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
25,generic_plus_di,0.01133079004582361,+DI 正方向指标,random_forest
26,generic_minus_di,0.011327630314766765,-DI 负方向指标,random_forest
27,feature_trend_dir,0.010965953869435762,趋势方向编码,random_forest
28,generic_pa_high_slope_20,0.010564896279588846,高点斜率,random_forest
29,generic_pa_always_in_dir,0.009973025330743885,Always In 方向,random_forest
30,generic_pa_leg_ema_sep_20,0.008077429887311471,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
31,generic_days_since_60d_low,0.007918774859134087,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
32,generic_days_since_60d_high,0.007266503221870969,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
33,generic_slope_20,0.006858186190534183,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
34,generic_pa_dist_to_ema_20,0.006482925366269523,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
35,generic_pa_low_slope_20,0.006381187295496418,低点斜率,random_forest
36,generic_pa_breakout_pullback_20,0.00585172756532362,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
37,generic_supertrend_dir,0.005792245775829552,SuperTrend 方向,random_forest
38,generic_momentum_20,0.005444437435761367,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
39,generic_pa_space_to_high_60,0.005436721735574864,未在 FEATURES.md 登记（自定义/衍生特征）,random_forest
40,generic_ma_alignment,0.004791774926696072,均线排列,random_forest
