rank,feature,importance,feature_meaning,model_kind
1,generic_pa_swing_high_idx,0.07676139279749143,最近 swing high 索引,hist_gradient_boosting
2,generic_pa_swing_low_idx,0.054504608739249484,最近 swing low 索引,hist_gradient_boosting
3,feature_breakout_score,0.04973344369387408,突破质量分数,hist_gradient_boosting
4,generic_pa_bo_body_ratio_10,0.03561500784687185,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
5,generic_momentum_5,0.019431020211998978,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
6,generic_oi_concentration_20,0.008345274225177057,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
7,generic_oi_ma_5,0.00496474099389758,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
8,generic_vol_ratio_5,0.004028011403922578,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
9,generic_oi_ma_20,0.0034139083948178848,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
10,generic_vol_zscore_20,0.0030727400564262894,成交量 Z-Score,hist_gradient_boosting
11,generic_breakout_dist_atr_down_10,0.0029006725466288095,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
12,generic_pa_bo_close_pos_10,0.0026826214781785485,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
13,generic_pa_dist_swing_high,0.002567662581546689,距最近 Swing High,hist_gradient_boosting
14,generic_is_week_end,0.0024311952461900654,交易周末日,hist_gradient_boosting
15,generic_pa_breakout_up_10,0.002341453139787101,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
16,generic_entropy_60,0.0023199447010624485,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
17,generic_gap_pct,0.0022776694939138733,缺口百分比,hist_gradient_boosting
18,generic_vol_ratio_20,0.002224269232252607,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
19,generic_range_height_atr_5,0.0022131441777398417,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
20,generic_oi_acceleration_5,0.0021575189051760146,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
21,generic_vol_of_vol_20,0.002001026471696421,波动率的波动率,hist_gradient_boosting
22,generic_bb_width_zscore_252,0.00167988323142787,bb_width 的 252 日 zscore,hist_gradient_boosting
23,generic_gap,0.0016316746618725657,缺口,hist_gradient_boosting
24,generic_htf_trend_score_day,0.0016212912776606414,日线视角趋势得分,hist_gradient_boosting
25,generic_pa_dist_swing_low,0.001581982751715505,距最近 Swing Low,hist_gradient_boosting
26,generic_pa_breakout_down_10,0.0015790160705122143,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
27,generic_atr_pct_zscore_252,0.0015233907979482393,natr_14 的 252 日分位 zscore,hist_gradient_boosting
28,generic_macd_dea,0.0015085573919312683,MACD 信号线,hist_gradient_boosting
29,generic_hurst_60,0.0013528066287524787,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
30,generic_pa_range_over_atr_10,0.0012066975794848462,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
31,generic_pa_trading_range_20,0.001204472568582286,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
32,generic_pa_leg_body_cv_10,0.0011799974486541205,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
33,generic_bias_10,0.0011607140208321025,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
34,generic_slope_60,0.0011510723069209454,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
35,generic_days_since_60d_low,0.0011191804839843684,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
36,generic_pa_scalp_score,0.0010865469907469134,Scalp可行性,hist_gradient_boosting
37,generic_consecutive_hh_20,0.0010264716963780025,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
38,generic_pa_body_ratio,0.0010108966200601532,实体占比,hist_gradient_boosting
39,generic_pa_space_to_low_20,0.000976779786220942,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
40,generic_pa_prior_leg_slope,0.0009693630832124563,前腿斜率,hist_gradient_boosting
41,generic_bias_3,0.0009560130177970935,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
42,generic_roc_3,0.0009270878760639553,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
43,generic_woy,0.000884070998614613,年内周序,hist_gradient_boosting
44,generic_dow,0.0008744292847034929,星期几,hist_gradient_boosting
45,generic_pa_trend_strength_20,0.0008610792192882041,未在 FEATURES.md 登记（自定义/衍生特征）,hist_gradient_boosting
