symbol,trade_date,field,day_value,minute_value,rel_error,is_mismatch,tolerance
RB0,2020-06-04,open,3633.0,3639.0,0.0016488046166529267,1,0.001
RB0,2020-06-04,high,3679.0,3679.0,0.0,0,0.001
RB0,2020-06-04,low,3605.0,3591.0,0.003883495145631068,1,0.001
RB0,2020-06-04,close,3606.0,3605.0,0.00027731558513588466,0,0.001
RB0,2020-06-04,volume,1924866.0,2047965.0,0.0601079608294087,1,0.001
RB0,2020-10-28,open,3620.0,3639.0,0.005221214619400934,1,0.001
RB0,2020-10-28,high,3670.0,3670.0,0.0,0,0.001
RB0,2020-10-28,low,3615.0,3615.0,0.0,0,0.001
RB0,2020-10-28,close,3668.0,3662.0,0.0016357688113413304,1,0.001
RB0,2020-10-28,volume,1189477.0,1134544.0,0.0461824818806921,1,0.001
