tradeid,datetime,direction,offset,price,volume
1,2019-04-26 00:00:00+08:00,多,开,14225.0,1.0
2,2019-04-29 00:00:00+08:00,空,平,14135.0,1.0
3,2020-11-23 00:00:00+08:00,多,开,15960.0,1.0
4,2020-12-03 00:00:00+08:00,空,平,16370.0,1.0
5,2021-05-06 00:00:00+08:00,多,开,19080.0,1.0
6,2021-05-11 00:00:00+08:00,空,平,19670.0,1.0
7,2021-08-31 00:00:00+08:00,多,开,21430.0,1.0
8,2021-09-01 00:00:00+08:00,空,平,21115.0,1.0
9,2021-09-14 00:00:00+08:00,多,开,23505.0,1.0
10,2021-09-15 00:00:00+08:00,空,平,22500.0,1.0
11,2022-03-08 00:00:00+08:00,多,开,24020.0,1.0
12,2022-03-09 00:00:00+08:00,空,平,21200.0,1.0
13,2024-03-29 00:00:00+08:00,多,开,19500.0,1.0
14,2024-04-16 00:00:00+08:00,空,平,20585.0,1.0
