tradeid,datetime,direction,offset,price,volume
1,2021-09-16 00:00:00+08:00,多,开,3117.0,1.0
2,2021-09-17 00:00:00+08:00,空,平,3022.0,1.0
3,2021-09-28 00:00:00+08:00,多,开,3385.0,1.0
4,2021-10-13 00:00:00+08:00,空,平,3861.0,1.0
5,2022-03-08 00:00:00+08:00,多,开,3266.0,1.0
6,2022-03-10 00:00:00+08:00,空,平,3185.0,1.0
7,2023-08-10 00:00:00+08:00,多,开,2368.0,1.0
8,2023-08-16 00:00:00+08:00,空,平,2371.0,1.0
9,2024-11-20 00:00:00+08:00,多,开,2561.0,1.0
10,2024-11-28 00:00:00+08:00,空,平,2557.0,1.0
11,2024-12-25 00:00:00+08:00,多,开,2662.0,1.0
