tradeid,datetime,direction,offset,price,volume
1,2019-04-02 00:00:00+08:00,多,开,13850.0,1.0
2,2019-04-03 00:00:00+08:00,空,平,13765.0,1.0
3,2019-04-17 00:00:00+08:00,多,开,13885.0,1.0
4,2019-04-29 00:00:00+08:00,空,平,14095.0,1.0
5,2019-05-27 00:00:00+08:00,多,开,14220.0,1.0
6,2019-05-30 00:00:00+08:00,空,平,14125.0,1.0
7,2019-08-20 00:00:00+08:00,多,开,14380.0,1.0
8,2019-08-23 00:00:00+08:00,空,平,14260.0,1.0
9,2019-09-02 00:00:00+08:00,多,开,14250.0,1.0
10,2019-09-10 00:00:00+08:00,空,平,14410.0,1.0
11,2020-06-15 00:00:00+08:00,多,开,13615.0,1.0
12,2020-07-14 00:00:00+08:00,空,平,14460.0,1.0
13,2020-07-30 00:00:00+08:00,多,开,14500.0,1.0
14,2020-08-10 00:00:00+08:00,空,平,14385.0,1.0
15,2020-08-27 00:00:00+08:00,多,开,14680.0,1.0
16,2020-08-28 00:00:00+08:00,空,平,14555.0,1.0
17,2020-11-12 00:00:00+08:00,多,开,15180.0,1.0
18,2020-12-03 00:00:00+08:00,空,平,16370.0,1.0
19,2020-12-11 00:00:00+08:00,多,开,16335.0,1.0
20,2020-12-22 00:00:00+08:00,空,平,16030.0,1.0
21,2021-02-26 00:00:00+08:00,多,开,17450.0,1.0
22,2021-03-01 00:00:00+08:00,空,平,17085.0,1.0
23,2021-03-12 00:00:00+08:00,多,开,17520.0,1.0
24,2021-03-23 00:00:00+08:00,空,平,17025.0,1.0
25,2021-04-02 00:00:00+08:00,多,开,17400.0,1.0
26,2021-05-11 00:00:00+08:00,空,平,19670.0,1.0
27,2021-07-12 00:00:00+08:00,多,开,19005.0,1.0
28,2021-07-20 00:00:00+08:00,空,平,18965.0,1.0
29,2021-07-30 00:00:00+08:00,多,开,19750.0,1.0
30,2021-08-18 00:00:00+08:00,空,平,20005.0,1.0
31,2021-08-30 00:00:00+08:00,多,开,20950.0,1.0
32,2021-09-14 00:00:00+08:00,空,平,22900.0,1.0
33,2022-01-27 00:00:00+08:00,多,开,21460.0,1.0
34,2022-02-14 00:00:00+08:00,空,平,22430.0,1.0
35,2022-03-01 00:00:00+08:00,多,开,22710.0,1.0
36,2022-03-08 00:00:00+08:00,空,平,23245.0,1.0
37,2022-03-31 00:00:00+08:00,多,开,22970.0,1.0
38,2022-04-01 00:00:00+08:00,空,平,22730.0,1.0
39,2022-11-30 00:00:00+08:00,多,开,18920.0,1.0
40,2022-12-12 00:00:00+08:00,空,平,18840.0,1.0
41,2023-02-08 00:00:00+08:00,多,开,19030.0,1.0
42,2023-02-10 00:00:00+08:00,空,平,18775.0,1.0
43,2023-08-31 00:00:00+08:00,多,开,18840.0,1.0
44,2023-09-04 00:00:00+08:00,空,平,19020.0,1.0
45,2024-03-18 00:00:00+08:00,多,开,19280.0,1.0
46,2024-03-20 00:00:00+08:00,空,平,19150.0,1.0
47,2024-03-29 00:00:00+08:00,多,开,19500.0,1.0
48,2024-04-16 00:00:00+08:00,空,平,20585.0,1.0
49,2024-05-07 00:00:00+08:00,多,开,20720.0,1.0
50,2024-05-09 00:00:00+08:00,空,平,20370.0,1.0
51,2024-06-07 00:00:00+08:00,多,开,21265.0,1.0
52,2024-06-11 00:00:00+08:00,空,平,21020.0,1.0
53,2024-10-17 00:00:00+08:00,多,开,20755.0,1.0
54,2024-10-31 00:00:00+08:00,空,平,20630.0,1.0
55,2024-11-06 00:00:00+08:00,多,开,21050.0,1.0
56,2024-11-12 00:00:00+08:00,空,平,21205.0,1.0
