tradeid,datetime,direction,offset,price,volume
1,2019-04-23 00:00:00+08:00,多,开,49070.0,1.0
2,2019-04-24 00:00:00+08:00,空,平,49050.0,1.0
3,2019-11-06 00:00:00+08:00,多,开,47300.0,1.0
4,2019-11-14 00:00:00+08:00,空,平,46980.0,1.0
5,2019-12-10 00:00:00+08:00,多,开,48350.0,1.0
6,2020-01-03 00:00:00+08:00,空,平,49110.0,1.0
7,2020-06-08 00:00:00+08:00,多,开,45520.0,1.0
8,2020-06-12 00:00:00+08:00,空,平,46350.0,1.0
9,2020-06-22 00:00:00+08:00,多,开,47900.0,1.0
10,2020-06-29 00:00:00+08:00,空,平,48050.0,1.0
11,2020-07-14 00:00:00+08:00,多,开,52560.0,1.0
12,2020-07-16 00:00:00+08:00,空,平,52060.0,1.0
13,2020-07-30 00:00:00+08:00,多,开,51760.0,1.0
14,2020-08-03 00:00:00+08:00,空,平,51060.0,1.0
15,2020-09-02 00:00:00+08:00,多,开,52700.0,1.0
16,2020-09-03 00:00:00+08:00,空,平,51960.0,1.0
17,2020-11-16 00:00:00+08:00,多,开,52110.0,1.0
18,2020-11-18 00:00:00+08:00,空,平,52460.0,1.0
19,2020-11-27 00:00:00+08:00,多,开,55160.0,1.0
20,2020-12-23 00:00:00+08:00,空,平,57870.0,1.0
21,2021-01-05 00:00:00+08:00,多,开,58220.0,1.0
22,2021-01-11 00:00:00+08:00,空,平,58790.0,1.0
23,2021-03-12 00:00:00+08:00,多,开,67260.0,1.0
24,2021-03-26 00:00:00+08:00,空,平,65210.0,1.0
25,2021-04-16 00:00:00+08:00,多,开,68130.0,1.0
26,2021-05-11 00:00:00+08:00,空,平,75120.0,1.0
27,2021-05-19 00:00:00+08:00,多,开,75740.0,1.0
28,2021-05-20 00:00:00+08:00,空,平,73420.0,1.0
29,2021-08-09 00:00:00+08:00,多,开,70160.0,1.0
30,2021-08-10 00:00:00+08:00,空,平,68540.0,1.0
31,2022-01-21 00:00:00+08:00,多,开,71190.0,1.0
32,2022-01-25 00:00:00+08:00,空,平,70020.0,1.0
33,2022-02-21 00:00:00+08:00,多,开,71510.0,1.0
34,2022-02-24 00:00:00+08:00,空,平,70690.0,1.0
35,2022-03-31 00:00:00+08:00,多,开,73710.0,1.0
36,2022-04-01 00:00:00+08:00,空,平,73400.0,1.0
37,2022-04-15 00:00:00+08:00,多,开,73820.0,1.0
38,2022-04-25 00:00:00+08:00,空,平,73980.0,1.0
39,2023-01-19 00:00:00+08:00,多,开,70910.0,1.0
40,2023-01-30 00:00:00+08:00,空,平,69300.0,1.0
41,2023-02-09 00:00:00+08:00,多,开,68920.0,1.0
42,2023-02-14 00:00:00+08:00,空,平,68380.0,1.0
43,2023-03-06 00:00:00+08:00,多,开,69820.0,1.0
44,2023-03-08 00:00:00+08:00,空,平,68970.0,1.0
45,2023-04-10 00:00:00+08:00,多,开,68810.0,1.0
46,2023-04-11 00:00:00+08:00,空,平,68280.0,1.0
47,2023-07-14 00:00:00+08:00,多,开,68970.0,1.0
48,2023-07-18 00:00:00+08:00,空,平,68270.0,1.0
49,2023-08-30 00:00:00+08:00,多,开,69100.0,1.0
50,2023-09-07 00:00:00+08:00,空,平,69070.0,1.0
51,2023-09-15 00:00:00+08:00,多,开,69570.0,1.0
52,2023-09-19 00:00:00+08:00,空,平,68910.0,1.0
53,2023-12-27 00:00:00+08:00,多,开,69230.0,1.0
54,2023-12-29 00:00:00+08:00,空,平,68830.0,1.0
55,2024-03-01 00:00:00+08:00,多,开,68870.0,1.0
56,2024-03-11 00:00:00+08:00,空,平,69350.0,1.0
57,2024-03-22 00:00:00+08:00,多,开,72920.0,1.0
58,2024-03-25 00:00:00+08:00,空,平,72180.0,1.0
59,2024-04-25 00:00:00+08:00,多,开,79250.0,1.0
60,2024-05-08 00:00:00+08:00,空,平,79590.0,1.0
61,2024-05-20 00:00:00+08:00,多,开,84530.0,1.0
62,2024-05-22 00:00:00+08:00,空,平,85660.0,1.0
63,2024-10-17 00:00:00+08:00,多,开,76920.0,1.0
64,2024-10-18 00:00:00+08:00,空,平,76300.0,1.0
65,2024-10-29 00:00:00+08:00,多,开,76620.0,1.0
66,2024-11-01 00:00:00+08:00,空,平,76100.0,1.0
