tradeid,datetime,direction,offset,price,volume
1,2019-05-10 00:00:00+08:00,多,开,2695.0,1.0
2,2019-05-13 00:00:00+08:00,空,平,2657.0,1.0
3,2020-03-16 00:00:00+08:00,多,开,2740.0,1.0
4,2020-03-19 00:00:00+08:00,空,平,2712.0,1.0
5,2020-05-26 00:00:00+08:00,多,开,2789.0,1.0
6,2020-06-11 00:00:00+08:00,空,平,2791.0,1.0
7,2020-07-02 00:00:00+08:00,多,开,2886.0,1.0
8,2020-07-13 00:00:00+08:00,空,平,2878.0,1.0
9,2020-09-14 00:00:00+08:00,多,开,3066.0,1.0
10,2020-09-16 00:00:00+08:00,空,平,3060.0,1.0
11,2021-05-13 00:00:00+08:00,多,开,3762.0,1.0
12,2021-05-14 00:00:00+08:00,空,平,3657.0,1.0
13,2022-02-25 00:00:00+08:00,多,开,4009.0,1.0
14,2022-02-28 00:00:00+08:00,空,平,3855.0,1.0
15,2022-09-30 00:00:00+08:00,多,开,4142.0,1.0
16,2022-10-11 00:00:00+08:00,空,平,4067.0,1.0
17,2022-11-02 00:00:00+08:00,多,开,4234.0,1.0
18,2022-11-14 00:00:00+08:00,空,平,4171.0,1.0
19,2022-12-09 00:00:00+08:00,多,开,4420.0,1.0
20,2022-12-13 00:00:00+08:00,空,平,4362.0,1.0
21,2024-03-05 00:00:00+08:00,多,开,3140.0,1.0
22,2024-03-25 00:00:00+08:00,空,平,3292.0,1.0
23,2024-11-08 00:00:00+08:00,多,开,3112.0,1.0
24,2024-11-11 00:00:00+08:00,空,平,3023.0,1.0
