tradeid,datetime,direction,offset,price,volume
1,2019-01-22 00:00:00+08:00,多,开,4752.0,1.0
2,2019-02-12 00:00:00+08:00,空,平,4748.0,1.0
3,2019-08-12 00:00:00+08:00,多,开,4792.0,1.0
4,2019-08-19 00:00:00+08:00,空,平,4722.0,1.0
5,2019-08-27 00:00:00+08:00,多,开,4966.0,1.0
6,2019-08-28 00:00:00+08:00,空,平,4870.0,1.0
7,2019-11-21 00:00:00+08:00,多,开,5626.0,1.0
8,2019-11-26 00:00:00+08:00,空,平,5496.0,1.0
9,2019-12-23 00:00:00+08:00,多,开,6050.0,1.0
10,2020-01-14 00:00:00+08:00,空,平,6254.0,1.0
11,2020-07-15 00:00:00+08:00,多,开,5220.0,1.0
12,2020-08-10 00:00:00+08:00,空,平,5752.0,1.0
13,2022-02-21 00:00:00+08:00,多,开,10364.0,1.0
14,2022-02-28 00:00:00+08:00,空,平,11100.0,1.0
15,2023-06-19 00:00:00+08:00,多,开,7188.0,1.0
16,2023-06-21 00:00:00+08:00,空,平,6976.0,1.0
17,2024-09-20 00:00:00+08:00,多,开,8124.0,1.0
18,2024-10-09 00:00:00+08:00,空,平,8644.0,1.0
