tradeid,datetime,direction,offset,price,volume
1,2019-12-11 00:00:00+08:00,多,开,48750.0,1.0
2,2020-01-03 00:00:00+08:00,空,平,49110.0,1.0
3,2020-06-08 00:00:00+08:00,多,开,45520.0,1.0
4,2020-06-12 00:00:00+08:00,空,平,46350.0,1.0
5,2020-11-27 00:00:00+08:00,多,开,55160.0,1.0
6,2020-12-23 00:00:00+08:00,空,平,57870.0,1.0
7,2021-05-07 00:00:00+08:00,多,开,73580.0,1.0
8,2021-05-11 00:00:00+08:00,空,平,75120.0,1.0
9,2023-01-19 00:00:00+08:00,多,开,70910.0,1.0
10,2023-01-30 00:00:00+08:00,空,平,69300.0,1.0
11,2024-04-25 00:00:00+08:00,多,开,79250.0,1.0
12,2024-05-08 00:00:00+08:00,空,平,79590.0,1.0
