tradeid,datetime,direction,offset,price,volume
1,2019-01-25 00:00:00+08:00,多,开,536.0,1.0
2,2019-02-13 00:00:00+08:00,空,平,621.0,1.0
3,2019-05-20 00:00:00+08:00,多,开,707.5,1.0
4,2019-05-29 00:00:00+08:00,空,平,732.0,1.0
5,2019-06-21 00:00:00+08:00,多,开,829.0,1.0
6,2019-06-24 00:00:00+08:00,空,平,805.5,1.0
7,2020-06-08 00:00:00+08:00,多,开,750.5,1.0
8,2020-06-12 00:00:00+08:00,空,平,746.5,1.0
9,2020-07-22 00:00:00+08:00,多,开,842.0,1.0
10,2020-07-24 00:00:00+08:00,空,平,819.0,1.0
11,2023-11-02 00:00:00+08:00,多,开,920.0,1.0
12,2023-11-16 00:00:00+08:00,空,平,956.5,1.0
