tradeid,datetime,direction,offset,price,volume
1,2019-05-29 00:00:00+08:00,多,开,2866.0,1.0
2,2019-06-06 00:00:00+08:00,空,平,2904.0,1.0
3,2019-10-22 00:00:00+08:00,多,开,3086.0,1.0
4,2019-10-24 00:00:00+08:00,空,平,3035.0,1.0
5,2020-07-07 00:00:00+08:00,多,开,2929.0,1.0
6,2020-07-08 00:00:00+08:00,空,平,2894.0,1.0
7,2020-09-21 00:00:00+08:00,多,开,3151.0,1.0
8,2020-09-22 00:00:00+08:00,空,平,3097.0,1.0
9,2021-01-07 00:00:00+08:00,多,开,3548.0,1.0
10,2021-01-19 00:00:00+08:00,空,平,3650.0,1.0
11,2022-12-12 00:00:00+08:00,多,开,4450.0,1.0
12,2022-12-13 00:00:00+08:00,空,平,4372.0,1.0
13,2024-05-14 00:00:00+08:00,多,开,3551.0,1.0
14,2024-05-29 00:00:00+08:00,空,平,3549.0,1.0
