tradeid,datetime,direction,offset,price,volume
1,2019-01-29 00:00:00+08:00,多,开,4846.0,1.0
2,2019-01-30 00:00:00+08:00,空,平,4786.0,1.0
3,2019-11-05 00:00:00+08:00,多,开,5328.0,1.0
4,2019-11-26 00:00:00+08:00,空,平,5470.0,1.0
5,2019-12-30 00:00:00+08:00,多,开,6326.0,1.0
6,2020-01-14 00:00:00+08:00,空,平,6254.0,1.0
7,2020-07-20 00:00:00+08:00,多,开,5468.0,1.0
8,2020-08-10 00:00:00+08:00,空,平,5752.0,1.0
9,2021-05-19 00:00:00+08:00,多,开,8350.0,1.0
10,2021-05-20 00:00:00+08:00,空,平,7962.0,1.0
11,2022-02-23 00:00:00+08:00,多,开,10670.0,1.0
12,2022-02-28 00:00:00+08:00,空,平,11100.0,1.0
13,2024-03-11 00:00:00+08:00,多,开,7770.0,1.0
14,2024-03-27 00:00:00+08:00,空,平,8154.0,1.0
15,2024-09-23 00:00:00+08:00,多,开,8168.0,1.0
16,2024-10-09 00:00:00+08:00,空,平,8644.0,1.0
17,2024-11-11 00:00:00+08:00,多,开,10130.0,1.0
18,2024-11-13 00:00:00+08:00,空,平,9950.0,1.0
