tradeid,datetime,direction,offset,price,volume
1,2019-07-01 00:00:00+08:00,多,开,4070.0,1.0
2,2019-07-05 00:00:00+08:00,空,平,3995.0,1.0
3,2020-05-22 00:00:00+08:00,多,开,3570.0,1.0
4,2020-05-25 00:00:00+08:00,空,平,3516.0,1.0
5,2020-11-18 00:00:00+08:00,多,开,3920.0,1.0
6,2020-11-25 00:00:00+08:00,空,平,3896.0,1.0
7,2020-12-22 00:00:00+08:00,多,开,4470.0,1.0
8,2020-12-23 00:00:00+08:00,空,平,4355.0,1.0
9,2022-12-15 00:00:00+08:00,多,开,3993.0,1.0
10,2022-12-19 00:00:00+08:00,空,平,3988.0,1.0
11,2023-11-21 00:00:00+08:00,多,开,4000.0,1.0
12,2023-11-23 00:00:00+08:00,空,平,3928.0,1.0
