tradeid,datetime,direction,offset,price,volume
1,2019-01-21 00:00:00+08:00,多,开,528.5,1.0
2,2019-02-13 00:00:00+08:00,空,平,621.0,1.0
3,2019-03-08 00:00:00+08:00,多,开,624.0,1.0
4,2019-03-11 00:00:00+08:00,空,平,604.0,1.0
5,2019-03-15 00:00:00+08:00,多,开,626.0,1.0
6,2019-03-20 00:00:00+08:00,空,平,610.0,1.0
7,2019-05-16 00:00:00+08:00,多,开,660.0,1.0
8,2019-05-29 00:00:00+08:00,空,平,732.0,1.0
9,2019-06-11 00:00:00+08:00,多,开,730.0,1.0
10,2019-06-26 00:00:00+08:00,空,平,786.0,1.0
11,2019-07-16 00:00:00+08:00,多,开,902.5,1.0
12,2019-07-23 00:00:00+08:00,空,平,757.5,1.0
13,2020-01-15 00:00:00+08:00,多,开,671.0,1.0
14,2020-01-16 00:00:00+08:00,空,平,659.0,1.0
15,2020-03-18 00:00:00+08:00,多,开,670.0,1.0
16,2020-03-19 00:00:00+08:00,空,平,648.0,1.0
17,2020-06-01 00:00:00+08:00,多,开,746.0,1.0
18,2020-06-12 00:00:00+08:00,空,平,746.5,1.0
19,2020-06-29 00:00:00+08:00,多,开,765.0,1.0
20,2020-06-30 00:00:00+08:00,空,平,738.0,1.0
21,2020-07-22 00:00:00+08:00,多,开,842.0,1.0
22,2020-07-24 00:00:00+08:00,空,平,819.0,1.0
23,2020-08-04 00:00:00+08:00,多,开,877.5,1.0
24,2020-08-11 00:00:00+08:00,空,平,824.5,1.0
25,2020-11-27 00:00:00+08:00,多,开,902.5,1.0
26,2020-12-08 00:00:00+08:00,空,平,918.0,1.0
27,2020-12-16 00:00:00+08:00,多,开,996.0,1.0
28,2020-12-23 00:00:00+08:00,空,平,1061.5,1.0
29,2021-01-04 00:00:00+08:00,多,开,990.0,1.0
30,2021-01-28 00:00:00+08:00,空,平,1008.5,1.0
31,2021-03-03 00:00:00+08:00,多,开,1153.0,1.0
32,2021-03-09 00:00:00+08:00,空,平,1107.5,1.0
33,2021-05-07 00:00:00+08:00,多,开,1184.0,1.0
34,2021-05-13 00:00:00+08:00,空,平,1245.5,1.0
35,2021-07-06 00:00:00+08:00,多,开,1228.0,1.0
36,2021-07-09 00:00:00+08:00,空,平,1174.5,1.0
37,2022-01-24 00:00:00+08:00,多,开,757.0,1.0
38,2022-02-09 00:00:00+08:00,空,平,788.0,1.0
39,2022-03-17 00:00:00+08:00,多,开,812.0,1.0
40,2022-04-11 00:00:00+08:00,空,平,871.5,1.0
41,2022-12-05 00:00:00+08:00,多,开,790.5,1.0
42,2022-12-07 00:00:00+08:00,空,平,764.0,1.0
43,2022-12-16 00:00:00+08:00,多,开,830.5,1.0
44,2022-12-19 00:00:00+08:00,空,平,806.0,1.0
45,2023-01-03 00:00:00+08:00,多,开,857.0,1.0
46,2023-01-05 00:00:00+08:00,空,平,839.5,1.0
47,2023-01-11 00:00:00+08:00,多,开,842.0,1.0
48,2023-01-16 00:00:00+08:00,空,平,839.0,1.0
49,2023-03-14 00:00:00+08:00,多,开,920.0,1.0
50,2023-03-16 00:00:00+08:00,空,平,911.0,1.0
51,2023-07-06 00:00:00+08:00,多,开,828.0,1.0
52,2023-07-07 00:00:00+08:00,空,平,814.0,1.0
53,2023-07-19 00:00:00+08:00,多,开,840.5,1.0
54,2023-07-28 00:00:00+08:00,空,平,838.0,1.0
55,2023-09-12 00:00:00+08:00,多,开,853.5,1.0
56,2023-09-25 00:00:00+08:00,空,平,842.0,1.0
57,2023-10-25 00:00:00+08:00,多,开,867.0,1.0
58,2023-11-16 00:00:00+08:00,空,平,956.5,1.0
59,2023-12-08 00:00:00+08:00,多,开,950.5,1.0
60,2023-12-18 00:00:00+08:00,空,平,924.5,1.0
61,2024-01-02 00:00:00+08:00,多,开,972.5,1.0
62,2024-01-10 00:00:00+08:00,空,平,981.0,1.0
63,2024-02-02 00:00:00+08:00,多,开,968.5,1.0
64,2024-02-05 00:00:00+08:00,空,平,941.0,1.0
65,2024-11-08 00:00:00+08:00,多,开,799.0,1.0
66,2024-11-11 00:00:00+08:00,空,平,772.0,1.0
