tradeid,datetime,direction,offset,price,volume
1,2019-01-21 00:00:00+08:00,多,开,4688.0,1.0
2,2019-02-12 00:00:00+08:00,空,平,4748.0,1.0
3,2019-08-23 00:00:00+08:00,多,开,4858.0,1.0
4,2019-08-30 00:00:00+08:00,空,平,4838.0,1.0
5,2019-09-05 00:00:00+08:00,多,开,4844.0,1.0
6,2019-09-06 00:00:00+08:00,空,平,4758.0,1.0
7,2019-10-31 00:00:00+08:00,多,开,5252.0,1.0
8,2019-11-26 00:00:00+08:00,空,平,5470.0,1.0
9,2019-12-30 00:00:00+08:00,多,开,6326.0,1.0
10,2020-01-14 00:00:00+08:00,空,平,6254.0,1.0
11,2020-06-22 00:00:00+08:00,多,开,5186.0,1.0
12,2020-06-29 00:00:00+08:00,空,平,5000.0,1.0
13,2020-07-07 00:00:00+08:00,多,开,5088.0,1.0
14,2020-07-08 00:00:00+08:00,空,平,4986.0,1.0
15,2020-07-24 00:00:00+08:00,多,开,5684.0,1.0
16,2020-07-31 00:00:00+08:00,空,平,5534.0,1.0
17,2020-08-14 00:00:00+08:00,多,开,5664.0,1.0
18,2020-08-17 00:00:00+08:00,空,平,5616.0,1.0
19,2020-09-15 00:00:00+08:00,多,开,6088.0,1.0
20,2020-09-22 00:00:00+08:00,空,平,6210.0,1.0
21,2020-10-21 00:00:00+08:00,多,开,5958.0,1.0
22,2020-11-23 00:00:00+08:00,空,平,6684.0,1.0
23,2020-12-14 00:00:00+08:00,多,开,6530.0,1.0
24,2020-12-15 00:00:00+08:00,空,平,6650.0,1.0
25,2021-03-23 00:00:00+08:00,多,开,7864.0,1.0
26,2021-03-26 00:00:00+08:00,空,平,7818.0,1.0
27,2021-05-07 00:00:00+08:00,多,开,7890.0,1.0
28,2021-05-20 00:00:00+08:00,空,平,7880.0,1.0
29,2021-07-30 00:00:00+08:00,多,开,8550.0,1.0
30,2021-08-02 00:00:00+08:00,空,平,8280.0,1.0
31,2021-09-16 00:00:00+08:00,多,开,8456.0,1.0
32,2021-09-17 00:00:00+08:00,空,平,8214.0,1.0
33,2021-10-18 00:00:00+08:00,多,开,9470.0,1.0
34,2021-10-22 00:00:00+08:00,空,平,9482.0,1.0
35,2021-11-01 00:00:00+08:00,多,开,9748.0,1.0
36,2021-11-05 00:00:00+08:00,空,平,9440.0,1.0
37,2022-03-10 00:00:00+08:00,多,开,12536.0,1.0
38,2022-03-14 00:00:00+08:00,空,平,12060.0,1.0
39,2022-04-27 00:00:00+08:00,多,开,11410.0,1.0
40,2022-05-09 00:00:00+08:00,空,平,11512.0,1.0
41,2022-05-23 00:00:00+08:00,多,开,11616.0,1.0
42,2022-06-09 00:00:00+08:00,空,平,11772.0,1.0
43,2023-03-06 00:00:00+08:00,多,开,8424.0,1.0
44,2023-03-07 00:00:00+08:00,空,平,8244.0,1.0
45,2023-08-02 00:00:00+08:00,多,开,7570.0,1.0
46,2023-08-03 00:00:00+08:00,空,平,7430.0,1.0
47,2023-08-28 00:00:00+08:00,多,开,7800.0,1.0
48,2023-09-07 00:00:00+08:00,空,平,7644.0,1.0
49,2023-11-28 00:00:00+08:00,多,开,7410.0,1.0
50,2023-11-29 00:00:00+08:00,空,平,7314.0,1.0
51,2024-03-07 00:00:00+08:00,多,开,7698.0,1.0
52,2024-03-27 00:00:00+08:00,空,平,8154.0,1.0
53,2024-04-08 00:00:00+08:00,多,开,8518.0,1.0
54,2024-04-09 00:00:00+08:00,空,平,8230.0,1.0
55,2024-06-13 00:00:00+08:00,多,开,7730.0,1.0
56,2024-06-17 00:00:00+08:00,空,平,7556.0,1.0
57,2024-07-29 00:00:00+08:00,多,开,7840.0,1.0
58,2024-08-06 00:00:00+08:00,空,平,7708.0,1.0
59,2024-10-17 00:00:00+08:00,多,开,8922.0,1.0
60,2024-11-13 00:00:00+08:00,空,平,9950.0,1.0
61,2024-11-26 00:00:00+08:00,多,开,9680.0,1.0
62,2024-12-10 00:00:00+08:00,空,平,10054.0,1.0
