tradeid,datetime,direction,offset,price,volume
1,2019-03-04 00:00:00+08:00,多,开,3815.0,1.0
2,2019-03-06 00:00:00+08:00,空,平,3744.0,1.0
3,2019-03-13 00:00:00+08:00,多,开,3825.0,1.0
4,2019-03-15 00:00:00+08:00,空,平,3742.0,1.0
5,2019-04-23 00:00:00+08:00,多,开,3775.0,1.0
6,2019-05-09 00:00:00+08:00,空,平,3716.0,1.0
7,2019-07-22 00:00:00+08:00,多,开,3999.0,1.0
8,2019-07-23 00:00:00+08:00,空,平,3925.0,1.0
9,2020-01-15 00:00:00+08:00,多,开,3570.0,1.0
10,2020-01-22 00:00:00+08:00,空,平,3534.0,1.0
11,2020-06-01 00:00:00+08:00,多,开,3580.0,1.0
12,2020-06-12 00:00:00+08:00,空,平,3574.0,1.0
13,2020-06-19 00:00:00+08:00,多,开,3615.0,1.0
14,2020-06-29 00:00:00+08:00,空,平,3571.0,1.0
15,2020-08-04 00:00:00+08:00,多,开,3832.0,1.0
16,2020-08-13 00:00:00+08:00,空,平,3779.0,1.0
17,2020-11-18 00:00:00+08:00,多,开,3920.0,1.0
18,2020-11-25 00:00:00+08:00,空,平,3896.0,1.0
19,2020-12-08 00:00:00+08:00,多,开,3921.0,1.0
20,2020-12-09 00:00:00+08:00,空,平,3904.0,1.0
21,2021-01-08 00:00:00+08:00,多,开,4455.0,1.0
22,2021-01-12 00:00:00+08:00,空,平,4320.0,1.0
23,2021-02-25 00:00:00+08:00,多,开,4615.0,1.0
24,2021-03-05 00:00:00+08:00,空,平,4693.0,1.0
25,2021-03-18 00:00:00+08:00,多,开,4781.0,1.0
26,2021-03-23 00:00:00+08:00,空,平,4643.0,1.0
27,2021-03-29 00:00:00+08:00,多,开,4946.0,1.0
28,2021-04-12 00:00:00+08:00,空,平,4965.0,1.0
29,2021-04-21 00:00:00+08:00,多,开,5158.0,1.0
30,2021-05-13 00:00:00+08:00,空,平,5913.0,1.0
31,2021-07-15 00:00:00+08:00,多,开,5568.0,1.0
32,2021-07-16 00:00:00+08:00,空,平,5456.0,1.0
33,2021-07-30 00:00:00+08:00,多,开,5763.0,1.0
34,2021-08-02 00:00:00+08:00,空,平,5627.0,1.0
35,2021-09-23 00:00:00+08:00,多,开,5651.0,1.0
36,2021-09-24 00:00:00+08:00,空,平,5501.0,1.0
37,2022-02-11 00:00:00+08:00,多,开,4990.0,1.0
38,2022-02-14 00:00:00+08:00,空,平,4843.0,1.0
39,2022-02-21 00:00:00+08:00,多,开,4785.0,1.0
40,2022-02-24 00:00:00+08:00,空,平,4666.0,1.0
41,2022-03-17 00:00:00+08:00,多,开,4920.0,1.0
42,2022-04-08 00:00:00+08:00,空,平,5000.0,1.0
43,2022-12-22 00:00:00+08:00,多,开,4047.0,1.0
44,2022-12-23 00:00:00+08:00,空,平,3943.0,1.0
45,2023-01-03 00:00:00+08:00,多,开,4100.0,1.0
46,2023-01-04 00:00:00+08:00,空,平,4015.0,1.0
47,2023-01-12 00:00:00+08:00,多,开,4152.0,1.0
48,2023-01-16 00:00:00+08:00,空,平,4084.0,1.0
49,2023-03-14 00:00:00+08:00,多,开,4328.0,1.0
50,2023-03-16 00:00:00+08:00,空,平,4295.0,1.0
51,2023-11-17 00:00:00+08:00,多,开,3982.0,1.0
52,2023-11-20 00:00:00+08:00,空,平,3918.0,1.0
53,2024-01-03 00:00:00+08:00,多,开,4048.0,1.0
54,2024-01-05 00:00:00+08:00,空,平,3991.0,1.0
55,2024-11-08 00:00:00+08:00,多,开,3443.0,1.0
56,2024-11-11 00:00:00+08:00,空,平,3348.0,1.0
