tradeid,datetime,direction,offset,price,volume
1,2020-09-01 00:00:00+08:00,多,开,3746.0,1.0
2,2020-09-03 00:00:00+08:00,空,平,3730.0,1.0
3,2020-12-18 00:00:00+08:00,多,开,3866.0,1.0
4,2020-12-21 00:00:00+08:00,空,平,3772.0,1.0
5,2021-01-05 00:00:00+08:00,多,开,3898.0,1.0
6,2021-01-11 00:00:00+08:00,空,平,3920.0,1.0
7,2021-02-23 00:00:00+08:00,多,开,4432.0,1.0
8,2021-03-01 00:00:00+08:00,空,平,4736.0,1.0
9,2021-05-13 00:00:00+08:00,多,开,4890.0,1.0
10,2021-05-14 00:00:00+08:00,空,平,4680.0,1.0
11,2021-06-28 00:00:00+08:00,多,开,5166.0,1.0
12,2021-06-29 00:00:00+08:00,空,平,5054.0,1.0
13,2021-07-14 00:00:00+08:00,多,开,5160.0,1.0
14,2021-07-15 00:00:00+08:00,空,平,5014.0,1.0
15,2021-07-22 00:00:00+08:00,多,开,5234.0,1.0
16,2021-08-04 00:00:00+08:00,空,平,5300.0,1.0
17,2022-01-17 00:00:00+08:00,多,开,5390.0,1.0
18,2022-01-18 00:00:00+08:00,空,平,5266.0,1.0
19,2022-01-27 00:00:00+08:00,多,开,5430.0,1.0
20,2022-02-16 00:00:00+08:00,空,平,5566.0,1.0
21,2022-03-08 00:00:00+08:00,多,开,6362.0,1.0
22,2022-03-09 00:00:00+08:00,空,平,6208.0,1.0
23,2022-03-31 00:00:00+08:00,多,开,6100.0,1.0
24,2022-04-01 00:00:00+08:00,空,平,5974.0,1.0
25,2022-04-13 00:00:00+08:00,多,开,6106.0,1.0
26,2022-04-25 00:00:00+08:00,空,平,5978.0,1.0
27,2022-05-23 00:00:00+08:00,多,开,6706.0,1.0
28,2022-06-13 00:00:00+08:00,空,平,7314.0,1.0
29,2023-01-30 00:00:00+08:00,多,开,5838.0,1.0
30,2023-01-31 00:00:00+08:00,空,平,5732.0,1.0
31,2023-08-31 00:00:00+08:00,多,开,6148.0,1.0
32,2023-09-08 00:00:00+08:00,空,平,6026.0,1.0
33,2024-02-28 00:00:00+08:00,多,开,5944.0,1.0
34,2024-03-05 00:00:00+08:00,空,平,5868.0,1.0
35,2024-07-04 00:00:00+08:00,多,开,6090.0,1.0
36,2024-07-05 00:00:00+08:00,空,平,6020.0,1.0
