tradeid,datetime,direction,offset,price,volume
1,2019-02-25 00:00:00+08:00,多,开,13715.0,1.0
2,2019-03-05 00:00:00+08:00,空,平,13605.0,1.0
3,2019-04-18 00:00:00+08:00,多,开,14000.0,1.0
4,2019-04-29 00:00:00+08:00,空,平,14095.0,1.0
5,2019-08-13 00:00:00+08:00,多,开,14155.0,1.0
6,2019-09-10 00:00:00+08:00,空,平,14410.0,1.0
7,2019-12-19 00:00:00+08:00,多,开,14100.0,1.0
8,2019-12-26 00:00:00+08:00,空,平,14070.0,1.0
9,2021-04-30 00:00:00+08:00,多,开,18835.0,1.0
10,2021-05-11 00:00:00+08:00,空,平,19670.0,1.0
11,2021-07-06 00:00:00+08:00,多,开,19285.0,1.0
12,2021-07-07 00:00:00+08:00,空,平,18915.0,1.0
13,2021-08-02 00:00:00+08:00,多,开,20150.0,1.0
14,2021-08-03 00:00:00+08:00,空,平,19745.0,1.0
15,2022-03-04 00:00:00+08:00,多,开,23810.0,1.0
16,2022-03-08 00:00:00+08:00,空,平,23285.0,1.0
17,2024-03-22 00:00:00+08:00,多,开,19510.0,1.0
18,2024-04-16 00:00:00+08:00,空,平,20585.0,1.0
19,2024-10-25 00:00:00+08:00,多,开,21025.0,1.0
20,2024-10-29 00:00:00+08:00,空,平,20815.0,1.0
21,2024-11-08 00:00:00+08:00,多,开,21650.0,1.0
22,2024-11-12 00:00:00+08:00,空,平,21205.0,1.0
