tradeid,datetime,direction,offset,price,volume
1,2019-12-10 00:00:00+08:00,多,开,48350.0,1.0
2,2020-01-03 00:00:00+08:00,空,平,49110.0,1.0
3,2020-06-02 00:00:00+08:00,多,开,44360.0,1.0
4,2020-06-12 00:00:00+08:00,空,平,46350.0,1.0
5,2020-11-17 00:00:00+08:00,多,开,53520.0,1.0
6,2020-11-18 00:00:00+08:00,空,平,52720.0,1.0
7,2021-04-16 00:00:00+08:00,多,开,68130.0,1.0
8,2021-05-11 00:00:00+08:00,空,平,75120.0,1.0
9,2021-09-14 00:00:00+08:00,多,开,71480.0,1.0
10,2021-09-15 00:00:00+08:00,空,平,69810.0,1.0
11,2022-01-13 00:00:00+08:00,多,开,71860.0,1.0
12,2022-01-17 00:00:00+08:00,空,平,70640.0,1.0
13,2022-02-11 00:00:00+08:00,多,开,73320.0,1.0
14,2022-02-14 00:00:00+08:00,空,平,71650.0,1.0
15,2022-03-08 00:00:00+08:00,多,开,74900.0,1.0
16,2022-03-09 00:00:00+08:00,空,平,71880.0,1.0
17,2022-10-17 00:00:00+08:00,多,开,63700.0,1.0
18,2022-10-18 00:00:00+08:00,空,平,62650.0,1.0
