tradeid,datetime,direction,offset,price,volume
1,2019-01-22 00:00:00+08:00,多,开,2560.0,1.0
2,2019-01-23 00:00:00+08:00,空,平,2493.0,1.0
3,2019-09-10 00:00:00+08:00,多,开,2264.0,1.0
4,2019-09-16 00:00:00+08:00,空,平,2310.0,1.0
5,2020-07-03 00:00:00+08:00,多,开,1789.0,1.0
6,2020-07-17 00:00:00+08:00,空,平,1789.0,1.0
7,2020-09-02 00:00:00+08:00,多,开,2028.0,1.0
8,2020-09-09 00:00:00+08:00,空,平,2008.0,1.0
9,2021-09-08 00:00:00+08:00,多,开,3044.0,1.0
10,2021-09-15 00:00:00+08:00,空,平,2987.0,1.0
11,2021-09-24 00:00:00+08:00,多,开,3262.0,1.0
12,2021-10-13 00:00:00+08:00,空,平,3861.0,1.0
13,2022-09-07 00:00:00+08:00,多,开,2698.0,1.0
14,2022-09-20 00:00:00+08:00,空,平,2672.0,1.0
15,2023-08-02 00:00:00+08:00,多,开,2368.0,1.0
16,2023-08-07 00:00:00+08:00,空,平,2301.0,1.0
17,2024-07-12 00:00:00+08:00,多,开,2584.0,1.0
18,2024-07-16 00:00:00+08:00,空,平,2549.0,1.0
19,2024-11-19 00:00:00+08:00,多,开,2532.0,1.0
20,2024-11-28 00:00:00+08:00,空,平,2557.0,1.0
