tradeid,datetime,direction,offset,price,volume
1,2019-03-07 00:00:00+08:00,多,开,6770.0,1.0
2,2019-03-08 00:00:00+08:00,空,平,6620.0,1.0
3,2019-12-13 00:00:00+08:00,多,开,4930.0,1.0
4,2019-12-31 00:00:00+08:00,空,平,4940.0,1.0
5,2020-12-07 00:00:00+08:00,多,开,3706.0,1.0
6,2020-12-09 00:00:00+08:00,空,平,3626.0,1.0
7,2021-09-27 00:00:00+08:00,多,开,5138.0,1.0
8,2021-09-30 00:00:00+08:00,空,平,5062.0,1.0
9,2022-05-05 00:00:00+08:00,多,开,6416.0,1.0
10,2022-05-10 00:00:00+08:00,空,平,6200.0,1.0
11,2023-06-02 00:00:00+08:00,多,开,5534.0,1.0
12,2023-06-12 00:00:00+08:00,空,平,5392.0,1.0
13,2023-07-10 00:00:00+08:00,多,开,5748.0,1.0
14,2023-07-17 00:00:00+08:00,空,平,5818.0,1.0
15,2023-07-31 00:00:00+08:00,多,开,6100.0,1.0
16,2023-08-02 00:00:00+08:00,空,平,5990.0,1.0
17,2023-09-13 00:00:00+08:00,多,开,6326.0,1.0
18,2023-09-20 00:00:00+08:00,空,平,6274.0,1.0
19,2023-11-17 00:00:00+08:00,多,开,6040.0,1.0
20,2023-11-21 00:00:00+08:00,空,平,5932.0,1.0
21,2024-07-04 00:00:00+08:00,多,开,6090.0,1.0
22,2024-07-05 00:00:00+08:00,空,平,6020.0,1.0
