contract_code,root_symbol,exchange,contract_size,price_tick,lot_step,slippage_ticks_base,last_trade_date,session_template_id,source,known_at
CU1802.SHF,CU,SHFE,5.0,10.0,1,1.0,2018-02-09,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2017-02-16T00:00:00+08:00
CU1803.SHF,CU,SHFE,5.0,10.0,1,1.0,2018-03-15,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2017-03-16T00:00:00+08:00
CU1804.SHF,CU,SHFE,5.0,10.0,1,1.0,2018-04-16,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2017-04-18T00:00:00+08:00
CU1805.SHF,CU,SHFE,5.0,10.0,1,1.0,2018-05-15,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2017-05-16T00:00:00+08:00
CU1806.SHF,CU,SHFE,5.0,10.0,1,1.0,2018-06-15,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2017-06-16T00:00:00+08:00
CU1807.SHF,CU,SHFE,5.0,10.0,1,1.0,2018-07-16,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2017-07-18T00:00:00+08:00
CU1808.SHF,CU,SHFE,5.0,10.0,1,1.0,2018-08-15,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2017-08-16T00:00:00+08:00
CU1809.SHF,CU,SHFE,5.0,10.0,1,1.0,2018-09-17,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2017-09-18T00:00:00+08:00
CU1810.SHF,CU,SHFE,5.0,10.0,1,1.0,2018-10-15,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2017-10-17T00:00:00+08:00
CU1811.SHF,CU,SHFE,5.0,10.0,1,1.0,2018-11-15,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2017-11-16T00:00:00+08:00
CU1812.SHF,CU,SHFE,5.0,10.0,1,1.0,2018-12-17,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2017-12-18T00:00:00+08:00
CU1901.SHF,CU,SHFE,5.0,10.0,1,1.0,2019-01-15,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2018-01-16T00:00:00+08:00
CU1902.SHF,CU,SHFE,5.0,10.0,1,1.0,2019-02-15,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2018-02-12T00:00:00+08:00
CU1903.SHF,CU,SHFE,5.0,10.0,1,1.0,2019-03-15,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2018-03-16T00:00:00+08:00
CU1904.SHF,CU,SHFE,5.0,10.0,1,1.0,2019-04-15,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2018-04-17T00:00:00+08:00
CU1905.SHF,CU,SHFE,5.0,10.0,1,1.0,2019-05-15,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2018-05-16T00:00:00+08:00
CU1906.SHF,CU,SHFE,5.0,10.0,1,1.0,2019-06-17,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2018-06-19T00:00:00+08:00
CU1907.SHF,CU,SHFE,5.0,10.0,1,1.0,2019-07-15,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2018-07-17T00:00:00+08:00
CU1908.SHF,CU,SHFE,5.0,10.0,1,1.0,2019-08-15,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2018-08-16T00:00:00+08:00
CU1909.SHF,CU,SHFE,5.0,10.0,1,1.0,2019-09-16,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2018-09-18T00:00:00+08:00
CU1910.SHF,CU,SHFE,5.0,10.0,1,1.0,2019-10-15,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2018-10-16T00:00:00+08:00
CU1911.SHF,CU,SHFE,5.0,10.0,1,1.0,2019-11-15,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2018-11-16T00:00:00+08:00
CU1912.SHF,CU,SHFE,5.0,10.0,1,1.0,2019-12-16,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2018-12-18T00:00:00+08:00
CU2001.SHF,CU,SHFE,5.0,10.0,1,1.0,2020-01-15,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2019-01-16T00:00:00+08:00
CU2002.SHF,CU,SHFE,5.0,10.0,1,1.0,2020-02-17,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2019-02-18T00:00:00+08:00
CU2003.SHF,CU,SHFE,5.0,10.0,1,1.0,2020-03-16,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2019-03-18T00:00:00+08:00
CU2004.SHF,CU,SHFE,5.0,10.0,1,1.0,2020-04-15,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2019-04-16T00:00:00+08:00
CU2005.SHF,CU,SHFE,5.0,10.0,1,1.0,2020-05-15,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2019-05-16T00:00:00+08:00
CU2006.SHF,CU,SHFE,5.0,10.0,1,1.0,2020-06-15,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2019-06-18T00:00:00+08:00
CU2007.SHF,CU,SHFE,5.0,10.0,1,1.0,2020-07-15,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2019-07-16T00:00:00+08:00
CU2008.SHF,CU,SHFE,5.0,10.0,1,1.0,2020-08-17,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2019-08-16T00:00:00+08:00
CU2009.SHF,CU,SHFE,5.0,10.0,1,1.0,2020-09-15,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2019-09-17T00:00:00+08:00
CU2010.SHF,CU,SHFE,5.0,10.0,1,1.0,2020-10-15,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2019-10-16T00:00:00+08:00
CU2011.SHF,CU,SHFE,5.0,10.0,1,1.0,2020-11-16,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2019-11-18T00:00:00+08:00
CU2012.SHF,CU,SHFE,5.0,10.0,1,1.0,2020-12-15,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2019-12-17T00:00:00+08:00
CU2101.SHF,CU,SHFE,5.0,10.0,1,1.0,2021-01-15,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2020-01-16T00:00:00+08:00
CU2102.SHF,CU,SHFE,5.0,10.0,1,1.0,2021-02-05,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2020-02-18T00:00:00+08:00
CU2103.SHF,CU,SHFE,5.0,10.0,1,1.0,2021-03-15,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2020-03-17T00:00:00+08:00
CU2104.SHF,CU,SHFE,5.0,10.0,1,1.0,2021-04-15,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2020-04-16T00:00:00+08:00
CU2105.SHF,CU,SHFE,5.0,10.0,1,1.0,2021-05-17,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2020-05-18T00:00:00+08:00
CU2106.SHF,CU,SHFE,5.0,10.0,1,1.0,2021-06-15,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2020-06-16T00:00:00+08:00
CU2107.SHF,CU,SHFE,5.0,10.0,1,1.0,2021-07-15,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2020-07-16T00:00:00+08:00
CU2108.SHF,CU,SHFE,5.0,10.0,1,1.0,2021-08-16,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2020-08-18T00:00:00+08:00
CU2109.SHF,CU,SHFE,5.0,10.0,1,1.0,2021-09-15,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2020-09-16T00:00:00+08:00
CU2110.SHF,CU,SHFE,5.0,10.0,1,1.0,2021-10-15,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2020-10-16T00:00:00+08:00
CU2111.SHF,CU,SHFE,5.0,10.0,1,1.0,2021-11-15,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2020-11-17T00:00:00+08:00
CU2112.SHF,CU,SHFE,5.0,10.0,1,1.0,2021-12-15,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2020-12-16T00:00:00+08:00
CU2201.SHF,CU,SHFE,5.0,10.0,1,1.0,2022-01-17,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2021-01-18T00:00:00+08:00
CU2202.SHF,CU,SHFE,5.0,10.0,1,1.0,2022-02-15,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2021-02-08T00:00:00+08:00
CU2203.SHF,CU,SHFE,5.0,10.0,1,1.0,2022-03-15,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2021-03-16T00:00:00+08:00
CU2204.SHF,CU,SHFE,5.0,10.0,1,1.0,2022-04-15,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2021-04-16T00:00:00+08:00
CU2205.SHF,CU,SHFE,5.0,10.0,1,1.0,2022-05-16,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2021-05-18T00:00:00+08:00
CU2206.SHF,CU,SHFE,5.0,10.0,1,1.0,2022-06-15,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2021-06-16T00:00:00+08:00
CU2207.SHF,CU,SHFE,5.0,10.0,1,1.0,2022-07-15,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2021-07-16T00:00:00+08:00
CU2208.SHF,CU,SHFE,5.0,10.0,1,1.0,2022-08-15,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2021-08-17T00:00:00+08:00
CU2209.SHF,CU,SHFE,5.0,10.0,1,1.0,2022-09-15,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2021-09-16T00:00:00+08:00
CU2210.SHF,CU,SHFE,5.0,10.0,1,1.0,2022-10-17,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2021-10-18T00:00:00+08:00
CU2211.SHF,CU,SHFE,5.0,10.0,1,1.0,2022-11-15,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2021-11-16T00:00:00+08:00
CU2212.SHF,CU,SHFE,5.0,10.0,1,1.0,2022-12-15,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2021-12-16T00:00:00+08:00
CU2301.SHF,CU,SHFE,5.0,10.0,1,1.0,2023-01-16,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2022-01-18T00:00:00+08:00
CU2302.SHF,CU,SHFE,5.0,10.0,1,1.0,2023-02-15,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2022-02-16T00:00:00+08:00
CU2303.SHF,CU,SHFE,5.0,10.0,1,1.0,2023-03-15,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2022-03-16T00:00:00+08:00
CU2304.SHF,CU,SHFE,5.0,10.0,1,1.0,2023-04-17,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2022-04-18T00:00:00+08:00
CU2305.SHF,CU,SHFE,5.0,10.0,1,1.0,2023-05-15,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2022-05-17T00:00:00+08:00
CU2306.SHF,CU,SHFE,5.0,10.0,1,1.0,2023-06-15,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2022-06-16T00:00:00+08:00
CU2307.SHF,CU,SHFE,5.0,10.0,1,1.0,2023-07-17,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2022-07-18T00:00:00+08:00
CU2308.SHF,CU,SHFE,5.0,10.0,1,1.0,2023-08-15,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2022-08-16T00:00:00+08:00
CU2309.SHF,CU,SHFE,5.0,10.0,1,1.0,2023-09-15,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2022-09-16T00:00:00+08:00
CU2310.SHF,CU,SHFE,5.0,10.0,1,1.0,2023-10-16,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2022-10-18T00:00:00+08:00
CU2311.SHF,CU,SHFE,5.0,10.0,1,1.0,2023-11-15,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2022-11-16T00:00:00+08:00
CU2312.SHF,CU,SHFE,5.0,10.0,1,1.0,2023-12-15,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2022-12-16T00:00:00+08:00
CU2401.SHF,CU,SHFE,5.0,10.0,1,1.0,2024-01-15,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2023-01-17T00:00:00+08:00
CU2402.SHF,CU,SHFE,5.0,10.0,1,1.0,2024-02-19,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2023-02-16T00:00:00+08:00
CU2403.SHF,CU,SHFE,5.0,10.0,1,1.0,2024-03-15,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2023-03-16T00:00:00+08:00
CU2404.SHF,CU,SHFE,5.0,10.0,1,1.0,2024-04-15,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2023-04-18T00:00:00+08:00
CU2405.SHF,CU,SHFE,5.0,10.0,1,1.0,2024-05-15,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2023-05-16T00:00:00+08:00
CU2406.SHF,CU,SHFE,5.0,10.0,1,1.0,2024-06-17,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2023-06-16T00:00:00+08:00
CU2407.SHF,CU,SHFE,5.0,10.0,1,1.0,2024-07-15,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2023-07-18T00:00:00+08:00
CU2408.SHF,CU,SHFE,5.0,10.0,1,1.0,2024-08-15,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2023-08-16T00:00:00+08:00
CU2409.SHF,CU,SHFE,5.0,10.0,1,1.0,2024-09-18,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2023-09-18T00:00:00+08:00
CU2410.SHF,CU,SHFE,5.0,10.0,1,1.0,2024-10-15,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2023-10-17T00:00:00+08:00
CU2411.SHF,CU,SHFE,5.0,10.0,1,1.0,2024-11-15,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2023-11-16T00:00:00+08:00
CU2412.SHF,CU,SHFE,5.0,10.0,1,1.0,2024-12-16,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2023-12-18T00:00:00+08:00
CU2501.SHF,CU,SHFE,5.0,10.0,1,1.0,2025-01-15,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2024-01-16T00:00:00+08:00
CU2502.SHF,CU,SHFE,5.0,10.0,1,1.0,2025-02-17,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2024-02-20T00:00:00+08:00
CU2503.SHF,CU,SHFE,5.0,10.0,1,1.0,2025-03-17,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2024-03-18T00:00:00+08:00
CU2504.SHF,CU,SHFE,5.0,10.0,1,1.0,2025-04-15,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2024-04-16T00:00:00+08:00
CU2505.SHF,CU,SHFE,5.0,10.0,1,1.0,2025-05-15,SHFE_CU_NIGHT_0100,SHFE_CONTRACT_ARCHIVE_VIA_TUSHARE_FUT_BASIC,2024-05-16T00:00:00+08:00
