schedule_id,root_symbol,contract_code,effective_from,effective_to,margin_rate_long,margin_rate_short,open_fee_rate,close_fee_rate,close_today_fee_rate,fee_per_lot_open,fee_per_lot_close,fee_per_lot_close_today,source,source_url_or_file,known_at
SHFE-CU1803-20180103,CU,CU1803.SHF,2018-01-03T09:00:00+08:00,,0.07,0.07,5e-05,5e-05,5e-05,0.0,0.0,0.0,SHFE_JS_OFFICIAL,https://www.shfe.com.cn/data/tradedata/future/dailydata/js20180102.dat,2018-01-03T09:00:00+08:00
SHFE-CU1803-20180104,CU,CU1803.SHF,2018-01-03T21:00:00+08:00,,0.07,0.07,5e-05,5e-05,5e-05,0.0,0.0,0.0,SHFE_JS_OFFICIAL,https://www.shfe.com.cn/data/tradedata/future/dailydata/js20180103.dat,2018-01-03T21:00:00+08:00
SHFE-CU1803-20180105,CU,CU1803.SHF,2018-01-04T21:00:00+08:00,,0.07,0.07,5e-05,5e-05,5e-05,0.0,0.0,0.0,SHFE_JS_OFFICIAL,https://www.shfe.com.cn/data/tradedata/future/dailydata/js20180104.dat,2018-01-04T21:00:00+08:00
SHFE-CU1803-20180108,CU,CU1803.SHF,2018-01-05T21:00:00+08:00,,0.07,0.07,5e-05,5e-05,5e-05,0.0,0.0,0.0,SHFE_JS_OFFICIAL,https://www.shfe.com.cn/data/tradedata/future/dailydata/js20180105.dat,2018-01-05T21:00:00+08:00
SHFE-CU1803-20180109,CU,CU1803.SHF,2018-01-08T21:00:00+08:00,,0.07,0.07,5e-05,5e-05,5e-05,0.0,0.0,0.0,SHFE_JS_OFFICIAL,https://www.shfe.com.cn/data/tradedata/future/dailydata/js20180108.dat,2018-01-08T21:00:00+08:00
SHFE-CU1803-20180110,CU,CU1803.SHF,2018-01-09T21:00:00+08:00,,0.07,0.07,5e-05,5e-05,5e-05,0.0,0.0,0.0,SHFE_JS_OFFICIAL,https://www.shfe.com.cn/data/tradedata/future/dailydata/js20180109.dat,2018-01-09T21:00:00+08:00
SHFE-CU1803-20180111,CU,CU1803.SHF,2018-01-10T21:00:00+08:00,,0.07,0.07,5e-05,5e-05,5e-05,0.0,0.0,0.0,SHFE_JS_OFFICIAL,https://www.shfe.com.cn/data/tradedata/future/dailydata/js20180110.dat,2018-01-10T21:00:00+08:00
SHFE-CU1803-20180112,CU,CU1803.SHF,2018-01-11T21:00:00+08:00,,0.07,0.07,5e-05,5e-05,5e-05,0.0,0.0,0.0,SHFE_JS_OFFICIAL,https://www.shfe.com.cn/data/tradedata/future/dailydata/js20180111.dat,2018-01-11T21:00:00+08:00
SHFE-CU1803-20180115,CU,CU1803.SHF,2018-01-12T21:00:00+08:00,,0.07,0.07,5e-05,5e-05,5e-05,0.0,0.0,0.0,SHFE_JS_OFFICIAL,https://www.shfe.com.cn/data/tradedata/future/dailydata/js20180112.dat,2018-01-12T21:00:00+08:00
SHFE-CU1803-20180116,CU,CU1803.SHF,2018-01-15T21:00:00+08:00,,0.07,0.07,5e-05,5e-05,5e-05,0.0,0.0,0.0,SHFE_JS_OFFICIAL,https://www.shfe.com.cn/data/tradedata/future/dailydata/js20180115.dat,2018-01-15T21:00:00+08:00
SHFE-CU1803-20180117,CU,CU1803.SHF,2018-01-16T21:00:00+08:00,,0.07,0.07,5e-05,5e-05,5e-05,0.0,0.0,0.0,SHFE_JS_OFFICIAL,https://www.shfe.com.cn/data/tradedata/future/dailydata/js20180116.dat,2018-01-16T21:00:00+08:00
SHFE-CU1803-20180118,CU,CU1803.SHF,2018-01-17T21:00:00+08:00,,0.07,0.07,5e-05,5e-05,5e-05,0.0,0.0,0.0,SHFE_JS_OFFICIAL,https://www.shfe.com.cn/data/tradedata/future/dailydata/js20180117.dat,2018-01-17T21:00:00+08:00
SHFE-CU1803-20180119,CU,CU1803.SHF,2018-01-18T21:00:00+08:00,,0.07,0.07,5e-05,5e-05,5e-05,0.0,0.0,0.0,SHFE_JS_OFFICIAL,https://www.shfe.com.cn/data/tradedata/future/dailydata/js20180118.dat,2018-01-18T21:00:00+08:00
